799,799,Kai Yu,Baidu,Yihong Gong,None,Assessing SATNet's Ability to Solve the Symbol Grounding Problem.
800,800,Jean-Pascal Pfister,Cambridge University,Mate Lengyel,University of Cambridge,Towards Better Generalization of Adaptive Gradient Methods.
801,801,Chong Wang,ByteDance Inc.,David Blei,Columbia University,Adam with Bandit Sampling for Deep Learning.
802,802,Wu-Jun Li,Nanjing University,Zhihua Zhang,Shanghai Jiao Tong University,Random Reshuffling: Simple Analysis with Vast Improvements.
803,803,Shobha Venkataraman,AT&T Labs -- Research,Oliver Spatscheck,None,"Explore Aggressively, Update Conservatively: Stochastic Extragradient Methods with Variable Stepsize Scaling."
804,804,Alexander Ihler,UC Irvine,Padhraic Smyth,"University of California, Irvine",Boosting First-Order Methods by Shifting Objective: New Schemes with Faster Worst-Case Rates.
805,805,Charles Kemp,Carnegie Mellon University,Alan Jern,Rose-Hulman Institute of Technology,A Catalyst Framework for Minimax Optimization.
806,806,Matt Streeter,Duolingo,Andreas Krause,ETH Zurich,Global Convergence and Variance Reduction for a Class of Nonconvex-Nonconcave Minimax Problems.
807,807,Vivek Farias,Massachusetts Institute of Technology,Devavrat Shah,Massachusetts Institute of Technology,On the Almost Sure Convergence of Stochastic Gradient Descent in Non-Convex Problems.
808,808,Samy Bengio,Apple,Dennis Strelow,None,Hybrid Variance-Reduced SGD Algorithms For Minimax Problems with Nonconvex-Linear Function.
809,809,Martin A Zinkevich,Yahoo! Inc.,John Langford,None,An Improved Analysis of Stochastic Gradient Descent with Momentum.
810,810,Liang Sun,Opera Solutions,Jieping Ye,Arizona State University,Robustness Analysis of Non-Convex Stochastic Gradient Descent using Biased Expectations.
811,811,Lei ShiUpdateMe,"University of California, Berkeley",Tom Griffiths,Princeton,Online Robust Regression via SGD on the l1 loss.
812,812,Chun-Nan Hsu,USC,Yuh-Jye Lee,National Taiwan University of Science and Technology,Stochastic Optimization with Heavy-Tailed Noise via Accelerated Gradient Clipping.
813,813,Mingyuan Zhou,University of Texas at Austin,Larry Carin,None,Large-Scale Methods for Distributionally Robust Optimization.
814,814,Mike Mozer,Google Research and U. Colorado Boulder,Edward Vul,Massachusetts Institute of Technology,Least Squares Regression with Markovian Data: Fundamental Limits and Algorithms.
815,815,Samuel J Gershman,Harvard University,Josh Tenenbaum,MIT,Stochastic Recursive Gradient Descent Ascent for Stochastic Nonconvex-Strongly-Concave Minimax Problems.
816,816,Vinod Nair,University of Toronto,Geoffrey E Hinton,Google & University of Toronto,Provable Overlapping Community Detection in Weighted Graphs.
817,817,Erik Sudderth,Brown University,Erik Sudderth,Brown University,Improving Inference for Neural Image Compression.
818,818,Jon McAuliffe,UC Berkeley and Voleon,Jon McAuliffe,UC Berkeley and Voleon,Bongard-LOGO: A New Benchmark for Human-Level Concept Learning and Reasoning.
