,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
919,919,Gal Chechik,"NVIDIA, BIU",Samy Bengio,Apple,Generating Correct Answers for Progressive Matrices Intelligence Tests.
920,920,Kurt T Miller,PDT Partners,Michael Jordan,UC Berkeley,GramGAN: Deep 3D Texture Synthesis From 2D Exemplars.
921,921,Vinod Nair,University of Toronto,Geoffrey E Hinton,Google & University of Toronto,Network-to-Network Translation with Conditional Invertible Neural Networks.
922,922,Kai Yu,Baidu,Yihong Gong,None,Lightweight Generative Adversarial Networks for Text-Guided Image Manipulation.
923,923,Arthur Gretton,"Gatsby Unit, UCL",Bharath Sriperumbudur,The Pennsylvania State University,Instance Selection for GANs.
924,924,Zenglin Xu,University of Electronic Science & Technology of China,Zhirong Yang,Aalto University,Quantifying Learnability and Describability of Visual Concepts Emerging in Representation Learning.
925,925,George Konidaris,Duke University,Andrew G Barto,University of Massachusetts,ICAM: Interpretable Classification via Disentangled Representations and Feature Attribution Mapping.
926,926,Daniel Hsu,Columbia University,Tong Zhang,Tencent,Smoothed Geometry for Robust Attribution.
927,927,Jean-Pascal Pfister,Cambridge University,Mate Lengyel,University of Cambridge,Neural Networks with Recurrent Generative Feedback.
928,928,James Bergstra,Kindred,Yoshua Bengio,University of Montreal,COT-GAN: Generating Sequential Data via Causal Optimal Transport.
929,929,Xiao-Ming Wu,Columbia University,Shuo-Yen Robert Li,None,ICE-BeeM: Identifiable Conditional Energy-Based Deep Models Based on Nonlinear ICA.
930,930,Katherine Heller,Duke,Nick Chater,None,Unsupervised Learning of Lagrangian Dynamics from Images for Prediction and Control.
931,931,Feng Zhou,Carnegie Mellon University,Fernando D De la Torre,Carnegie Mellon University,Implicit Rank-Minimizing Autoencoder.
932,932,Matthew Wilder,University of Colorado at Boulder,Mike Mozer,Google Research and U. Colorado Boulder,Elastic-InfoGAN: Unsupervised Disentangled Representation Learning in Class-Imbalanced Data.
933,933,Raghu Meka,None,Inderjit Dhillon,UT Austin & Amazon,Set2Graph: Learning Graphs From Sets.
934,934,Hamid R Maei,Stanford University,Rich Sutton,"DeepMind, U Alberta",Efficient Generation of Structured Objects with Constrained Adversarial Networks.
935,935,Samuel J Gershman,Harvard University,Josh Tenenbaum,MIT,Improving GAN Training with Probability Ratio Clipping and Sample Reweighting.
936,936,Gal Chechik,"NVIDIA, BIU",Samy Bengio,Apple,"Regularized linear autoencoders recover the principal components, eventually."
937,937,Samory Kpotufe,Princeton University,Samory Kpotufe,Princeton University,BoxE: A Box Embedding Model for Knowledge Base Completion.
938,938,Marius Kloft,TU Kaiserslautern,Alexander Zien,LIFE Biosystems GmbH,BlockGAN: Learning 3D Object-aware Scene Representations from Unlabelled Images.
