939,939,Katherine Heller,Duke,Nick Chater,None,Learning Object-Centric Representations of Multi-Object Scenes from Multiple Views.
940,940,Mike Mozer,Google Research and U. Colorado Boulder,Edward Vul,Massachusetts Institute of Technology,Deep Statistical Solvers.
941,941,Liang Sun,Opera Solutions,Jieping Ye,Arizona State University,Learning of Discrete Graphical Models with Neural Networks.
942,942,Marius Leordeanu,None,Rahul Sukthankar,Intel Labs and CMU,Efficient Marginalization of Discrete and Structured Latent Variables via Sparsity.
943,943,Martin Allen,Connecticut College,Shlomo Zilberstein,Univ of Mass,Falcon: Fast Spectral Inference on Encrypted Data.
944,944,Tao Hu,"JFRC, HHMI",Dmitri B Chklovskii,HHMI,Solver-in-the-Loop: Learning from Differentiable Physics to Interact with Iterative PDE-Solvers.
945,945,Marco Cuturi,Google Brain  &  CREST - ENSAE,Alexandre d'Aspremont,CNRS - ENS,Learning Composable Energy Surrogates for PDE Order Reduction.
946,946,Edward Vul,Massachusetts Institute of Technology,Josh Tenenbaum,MIT,AvE: Assistance via Empowerment.
947,947,Brian Kulis,UC Berkeley,Trevor Darrell,UC Berkeley,EcoLight: Intersection Control in Developing Regions Under Extreme Budget and Network Constraints.
948,948,Laura Dietz,"University of Massachusetts, Amherst",Tobias Scheffer,Universität Potsdam,RetroXpert: Decompose Retrosynthesis Prediction Like A Chemist.
949,949,Daniel Hsu,Columbia University,Tong Zhang,Tencent,Barking up the right tree: an approach to search over molecule synthesis DAGs.
950,950,Robert E Tillman,Carnegie Mellon University,Peter Spirtes,Carnegie Mellon University,Synthesizing Tasks for Block-based Programming.
951,951,David P Wipf,AWS,Sri Nagarajan,UCSF,Deep Imitation Learning for Bimanual Robotic Manipulation.
952,952,Ben Taskar,University of Washington,Ben Taskar,University of Washington,PRANK: motion Prediction based on RANKing.
953,953,Xiaolin Yang,Carnegie Mellon University,Eric Xing,Petuum Inc. /  Carnegie Mellon University,Meta-trained agents implement Bayes-optimal agents.
954,954,Chunxiao Zhou,NIH (National Institutes of Health),Yongmei Michelle Wang,None,On the equivalence of molecular graph convolution and molecular wave function with poor basis set.
955,955,Jaakko Luttinen,Aalto University,Alexander Ilin,Helsinki University of Technology,Dynamic allocation of limited memory resources in reinforcement learning.
956,956,Peter Orbanz,Columbia University,Peter Orbanz,Columbia University,Ensembling geophysical models with Bayesian Neural Networks.
957,957,Brian Kulis,UC Berkeley,Trevor Darrell,UC Berkeley,Neurosymbolic Transformers for Multi-Agent Communication.
958,958,Kurt T Miller,PDT Partners,Michael Jordan,UC Berkeley,Avoiding Side Effects By Considering Future Tasks.
