,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
999,999,Arthur Gretton,"Gatsby Unit, UCL",Bharath Sriperumbudur,The Pennsylvania State University,A causal view of compositional zero-shot recognition.
1000,1000,Alexandre Bouchard-Côté,UBC,Dan Klein,UC Berkeley,CompRess: Self-Supervised Learning by Compressing Representations.
1001,1001,Garvesh Raskutti,SAMSI,Bin Yu,None,Big Self-Supervised Models are Strong Semi-Supervised Learners.
1002,1002,Xiao-Ming Wu,Columbia University,Shuo-Yen Robert Li,None,Provably Consistent Partial-Label Learning.
1003,1003,Kamalika Chaudhuri,UCSD,Daniel Hsu,Columbia University,Multifaceted Uncertainty Estimation for Label-Efficient Deep Learning.
1004,1004,Matthew Wilder,University of Colorado at Boulder,Mike Mozer,Google Research and U. Colorado Boulder,Unsupervised Translation of Programming Languages.
1005,1005,Hanna Wallach,Microsoft,Andrew McCallum,UMass Amherst,Uncertainty-aware Self-training for Few-shot Text Classification.
1006,1006,Michael Wick,Oracle Labs,Andrew McCallum,UMass Amherst,Discriminative Sounding Objects Localization via Self-supervised Audiovisual Matching.
1007,1007,Yacov Crammer,Technion,Mark Dredze,Johns Hopkins,Teaching a GAN What Not to Learn.
1008,1008,Umar Syed,University of Pennsylvania,Nina Mishra,Microsoft Research,A Randomized Algorithm to Reduce the Support of Discrete Measures.
1009,1009,Alekh Agarwal,UC Berkeley,Martin J Wainwright,UC Berkeley,Statistical Efficiency of Thompson Sampling for Combinatorial Semi-Bandits.
1010,1010,Jian Peng,TTI Chicago,Jinbo Xu,Toyota Tech Inst at Chicago,Follow the Perturbed Leader: Optimism and Fast Parallel Algorithms for Smooth Minimax Games.
1011,1011,Maxim Raginsky,University of Illinois at Urbana-Champaign,Svetlana Lazebnik,UIUC,Better Full-Matrix Regret via Parameter-Free Online Learning.
1012,1012,Alexandre Bouchard-Côté,UBC,Dan Klein,UC Berkeley,Locally-Adaptive Nonparametric Online Learning.
1013,1013,Aaron Courville,U. Montreal,Yoshua Bengio,University of Montreal,Online Learning with Primary and Secondary Losses.
1014,1014,Sahand N Negahban,"University of California, Berkeley",Bin Yu,None,Online Linear Optimization with Many Hints.
1015,1015,Peter Orbanz,Columbia University,Peter Orbanz,Columbia University,Exploiting the Surrogate Gap in Online Multiclass Classification.
1016,1016,Arthur Gretton,"Gatsby Unit, UCL",Bharath Sriperumbudur,The Pennsylvania State University,Temporal Variability in Implicit Online Learning.
1017,1017,Samuel J Gershman,Harvard University,Josh Tenenbaum,MIT,Prediction with Corrupted Expert Advice.
1018,1018,Jong Kyoung Kim,POSTECH,Seungjin Choi,BARO AI,A mathematical model for automatic differentiation in machine learning.
