,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
1019,1019,Arkadas Ozakin,Georgia Institute of Technology,Alexander Gray,Skytree Inc. and Georgia Tech,Online Non-Convex Optimization with Imperfect Feedback.
1020,1020,Piyush Rai,Duke University,Hal Daumé III,Univ of Maryland / Microsoft Research,Adaptive Importance Sampling for Finite-Sum Optimization and Sampling with Decreasing Step-Sizes.
1021,1021,Mike Mozer,Google Research and U. Colorado Boulder,Edward Vul,Massachusetts Institute of Technology,Differentially-Private Federated Linear Bandits.
1022,1022,Brian Kulis,UC Berkeley,Trevor Darrell,UC Berkeley,Learning Strategy-Aware Linear Classifiers.
1023,1023,Bryan C Russell,U Washington,Andrew Zisserman,DeepMind & University of Oxford,BRP-NAS: Prediction-based NAS using GCNs.
1024,1024,Arthur Gretton,"Gatsby Unit, UCL",Bharath Sriperumbudur,The Pennsylvania State University,Neural Architecture Generator Optimization.
1025,1025,Xiaolin Yang,Carnegie Mellon University,Eric Xing,Petuum Inc. /  Carnegie Mellon University,Bridging the Gap between Sample-based and One-shot Neural Architecture Search with BONAS.
1026,1026,Jonathan W Pillow,UT Austin,Jonathan W Pillow,UT Austin,AutoSync: Learning to Synchronize for Data-Parallel Distributed Deep Learning.
1027,1027,Arthur Gretton,"Gatsby Unit, UCL",Arthur Gretton,"Gatsby Unit, UCL",Agnostic Learning with Multiple Objectives.
1028,1028,Marek Petrik,IBM,Shlomo Zilberstein,Univ of Mass,Training Stronger Baselines for Learning to Optimize.
1029,1029,Theodore Perkins,Ottawa Hospital Research Institute,Theodore Perkins,Ottawa Hospital Research Institute,GPU-Accelerated Primal Learning for Extremely Fast Large-Scale Classification.
1030,1030,Sahand N Negahban,"University of California, Berkeley",Bin Yu,None,Group Knowledge Transfer: Federated Learning of Large CNNs at the Edge.
1031,1031,Shuai Huang,Arizona State University,Jieping Ye,Arizona State University,Geometric Dataset Distances via Optimal Transport.
1032,1032,Martin A Zinkevich,Yahoo! Inc.,John Langford,None,Efficient Algorithms for Device Placement of DNN Graph Operators.
1033,1033,Edward Vul,Massachusetts Institute of Technology,Josh Tenenbaum,MIT,Automatically Learning Compact Quality-aware Surrogates for Optimization Problems.
1034,1034,Bharath Sriperumbudur,The Pennsylvania State University,Gert Lanckriet,U.C. San Diego,Bayesian Optimization for Iterative Learning.
1035,1035,Yusuke Watanabe,The Institute of Statistical Mathematics,Kenji Fukumizu,Institute of Statistical Mathematics / Preferred Networks / RIKEN AIP,Model Selection for Production System via Automated Online Experiments.
1036,1036,Anne Hsu,UC Berkeley,Tom Griffiths,Princeton,Interpretable and Personalized Apprenticeship Scheduling: Learning Interpretable Scheduling Policies from Heterogeneous User Demonstrations.
1037,1037,Pari Ram,IBM Research,Alexander Gray,Skytree Inc. and Georgia Tech,Neural Power Units.
1038,1038,Sahand N Negahban,"University of California, Berkeley",Bin Yu,None,Diversity-Guided Multi-Objective Bayesian Optimization With Batch Evaluations.
