,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
1079,1079,Vijay Desai,None,Ciamac C Moallemi,Columbia University,Joints in Random Forests.
1080,1080,Lei ShiUpdateMe,"University of California, Berkeley",Tom Griffiths,Princeton,Approximate Cross-Validation for Structured Models.
1081,1081,Ingo Steinwart,Los Alamos National Laboratory,Andreas Christmann,University of Bayreuth,A convex optimization formulation for multivariate regression.
1082,1082,Yusuke Fujiwara,ATR,Yukiyasu Kamitani,None,Adaptive Reduced Rank Regression.
1083,1083,Le Song,Carnegie Mellon University,Eric Xing,Petuum Inc. /  Carnegie Mellon University,Self-Distillation Amplifies Regularization in Hilbert Space.
1084,1084,Arkadas Ozakin,Georgia Institute of Technology,Alexander Gray,Skytree Inc. and Georgia Tech,Why Do Deep Residual Networks Generalize Better than Deep Feedforward Networks? --- A Neural Tangent Kernel Perspective.
1085,1085,Yoshinobu Kawahara,Osaka University / RIKEN,Jeff A Bilmes,"University of Washington, Seattle",Neural Path Features and Neural Path Kernel : Understanding the role of gates in deep learning.
1086,1086,Jean-Pascal Pfister,Cambridge University,Mate Lengyel,University of Cambridge,Explicit Regularisation in Gaussian Noise Injections.
1087,1087,Han Liu,Carnegie Mellon University,Xi Chen,NYU,Rational neural networks.
1088,1088,Samy Bengio,Apple,Dennis Strelow,None,On the Similarity between the Laplace and Neural Tangent Kernels.
1089,1089,Robert C Wilson,Princeton University,Leif Finkel,None,Neural Anisotropy Directions.
1090,1090,Matthew Wilder,University of Colorado at Boulder,Mike Mozer,Google Research and U. Colorado Boulder,Ode to an ODE.
1091,1091,Sundeep Rangan,Qualcomm,Vivek K Goyal,Massachusetts Institute of Technology,Label-Aware Neural Tangent Kernel: Toward Better Generalization and Local Elasticity.
1092,1092,Siamac Fazli,TU Berlin,Klaus-Robert Müller,TU Berlin,Limits to Depth Efficiencies of Self-Attention.
1093,1093,Barry W Chai,Stanford,Fei-Fei Li,Princeton University,On the linearity of large non-linear models: when and why the tangent kernel is constant.
1094,1094,Elad Hazan,Princeton University,Satyen Kale,Google,Implicit Bias in Deep Linear Classification: Initialization Scale vs Training Accuracy.
1095,1095,Martin A Zinkevich,Yahoo! Inc.,John Langford,None,Directional Pruning of Deep Neural Networks.
1096,1096,Charles Kemp,Carnegie Mellon University,Alan Jern,Rose-Hulman Institute of Technology,Winning the Lottery with Continuous Sparsification.
1097,1097,Samuel Rota Bulò,Università Ca' Foscari,Marcello Pelillo,Università Ca' Foscari di Venezia,Analytic Characterization of the Hessian in Shallow ReLU Models: A Tale of Symmetry.
1098,1098,Arthur Gretton,"Gatsby Unit, UCL",Bharath Sriperumbudur,The Pennsylvania State University,On the universality of deep learning.
