,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
1159,1159,Yacov Crammer,Technion,Mark Dredze,Johns Hopkins,Timeseries Anomaly Detection using Temporal Hierarchical One-Class Network.
1160,1160,Jonathan W Pillow,UT Austin,Jonathan W Pillow,UT Austin,How Can I Explain This to You? An Empirical Study of Deep Neural Network Explanation Methods.
1161,1161,Amarnag Subramanya,Google Inc.,Jeff A Bilmes,"University of Washington, Seattle",PEP: Parameter Ensembling by Perturbation.
1162,1162,Ian H Stevenson,University of Connecticut,Konrad Koerding,None,Wisdom of the Ensemble: Improving Consistency of Deep Learning Models.
1163,1163,Gideon S Mann,Google Inc.,Dan Walker,None,Unifying Activation- and Timing-based Learning Rules for Spiking Neural Networks.
1164,1164,Odalric-Ambrym Maillard,INRIA,Remi Munos,Google DeepMind,Dirichlet Graph Variational Autoencoder.
1165,1165,Charles Kemp,Carnegie Mellon University,Charles Kemp,Carnegie Mellon University,Gradient Boosted Normalizing Flows.
1166,1166,Robert C Wilson,Princeton University,Leif Finkel,None,Improved Guarantees for k-means++ and k-means++ Parallel.
1167,1167,Ofer Dekel,Microsoft Research,Ofer Dekel,Microsoft Research,Estimation of Skill Distribution from a Tournament.
1168,1168,Joel Veness,DeepMind,Alan Blair,None,Transfer Learning via $\ell_1$ Regularization.
1169,1169,George Konidaris,Duke University,Andrew G Barto,University of Massachusetts,Robust Meta-learning for Mixed Linear Regression with Small Batches.
1170,1170,Youngmin Cho,"University of California, San Diego",Lawrence Saul,UC San Diego,Efficient Projection-free Algorithms for Saddle Point Problems.
1171,1171,Joel Veness,DeepMind,Alan Blair,None,A Single-Loop Smoothed Gradient Descent-Ascent Algorithm for Nonconvex-Concave Min-Max Problems.
1172,1172,Mingyuan Zhou,University of Texas at Austin,Larry Carin,None,A Fair Classifier Using Kernel Density Estimation.
1173,1173,Chenghui Cai,Cantor Fitzgerald,Lawrence Carin,Duke University,List-Decodable Mean Estimation via Iterative Multi-Filtering.
1174,1174,James Bergstra,Kindred,Yoshua Bengio,University of Montreal,On Learning Ising Models under Huber's Contamination Model.
1175,1175,Wu-Jun Li,Nanjing University,Zhihua Zhang,Shanghai Jiao Tong University,Worst-Case Analysis for Randomly Collected Data.
1176,1176,Daniel Cavagnaro,Cal State Fullerton,Jay Myung,Ohio State University,Extrapolation Towards Imaginary 0-Nearest Neighbour and Its Improved Convergence Rate.
1177,1177,Charles Kemp,Carnegie Mellon University,Alan Jern,Rose-Hulman Institute of Technology,A General Method for Robust Learning from Batches.
1178,1178,Sebastian Gerwinn,MPI for Biological Cybernetics & University of Tübingen,Matthias Bethge,University Tübingen,Optimal Prediction of the Number of Unseen Species with Multiplicity.
