,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
1259,1259,John Duchi,UC Berkeley,Yoram Singer,Princeton,Optimal Algorithms for Stochastic Multi-Armed Bandits with Heavy Tailed Rewards.
1260,1260,Samy Bengio,Apple,Dennis Strelow,None,Bias no more: high-probability data-dependent regret bounds for adversarial bandits and MDPs.
1261,1261,Guillermo Cecchi,IBM Research,Jean-Baptiste Poline,CEA-INSERM,Stage-wise Conservative Linear Bandits.
1262,1262,Ruben Coen-Cagli,Albert Einstein College of Medicine,Odelia Schwartz,Albert Einstein College of Medicine,Analysis and Design of Thompson Sampling for Stochastic Partial Monitoring.
1263,1263,Menachem Fromer,Hebrew University,Amir Globerson,"Tel Aviv University, Google",Tight First- and Second-Order Regret Bounds for Adversarial Linear Bandits.
1264,1264,Dilip Krishnan,NYU,Rob Fergus,DeepMind / NYU,Delay and Cooperation in Nonstochastic Linear Bandits.
1265,1265,Arthur Gretton,"Gatsby Unit, UCL",Bharath Sriperumbudur,The Pennsylvania State University,An Empirical Process Approach to the Union Bound: Practical Algorithms for Combinatorial and Linear Bandits.
1266,1266,Andrea Montanari,Stanford,José Bento,Boston College,Simultaneously Learning Stochastic and Adversarial Episodic MDPs with Known Transition.
1267,1267,Michael Wick,Oracle Labs,Andrew McCallum,UMass Amherst,Dynamic Regret of Convex and Smooth Functions.
1268,1268,Nino Shervashidze,"INRIA, Laboratoire d'Informatique de l'ENS",Karsten Borgwardt,ETH Zurich,Minimax Regret of Switching-Constrained Online Convex Optimization: No Phase Transition.
1269,1269,Sundeep Rangan,Qualcomm,Vivek K Goyal,Massachusetts Institute of Technology,Online learning with dynamics: A minimax perspective.
1270,1270,Guillermo Cecchi,IBM Research,Jean-Baptiste Poline,CEA-INSERM,A Tight Lower Bound and Efficient Reduction for Swap Regret.
1271,1271,Peter Sollich,King's College London,Camille Coti,INRIA Saclay-Île de France,Making Non-Stochastic Control (Almost) as Easy as Stochastic.
1272,1272,Joel Veness,DeepMind,Alan Blair,None,Non-Stochastic Control with Bandit Feedback.
1273,1273,HongJing Lu,UCLA,Alan L Yuille,UCLA,Learning Implicit Functions for Topology-Varying Dense 3D Shape Correspondence.
1274,1274,Baback Moghaddam,Caltech,Kevin P Murphy,Google,Fully Convolutional Mesh Autoencoder using Efficient Spatially Varying Kernels.
1275,1275,Zhen James Xiang,Princeton University,Peter J Ramadge,Princeton,Geo-PIFu: Geometry and Pixel Aligned Implicit Functions for Single-view Human Reconstruction.
1276,1276,Chunxiao Zhou,NIH (National Institutes of Health),Yongmei Michelle Wang,None,Generative 3D Part Assembly via Dynamic Graph Learning.
1277,1277,Kai Yu,Baidu,Yihong Gong,None,Online Adaptation for Consistent Mesh Reconstruction in the Wild.
1278,1278,Vinod Nair,University of Toronto,Geoffrey E Hinton,Google & University of Toronto,Learning Deformable Tetrahedral Meshes for 3D Reconstruction.
