1279,1279,Bing Bai,NEC Labs America,Mehryar Mohri,Google Research & Courant Institute of Mathematical Sciences,Weakly Supervised Deep Functional Maps for Shape Matching.
1280,1280,Odalric-Ambrym Maillard,INRIA,Remi Munos,Google DeepMind,Neural Star Domain as Primitive Representation.
1281,1281,Lin Xiao,Facebook AI Research,Lin Xiao,Facebook AI Research,Robust Multi-Object Matching via Iterative Reweighting of the Graph Connection Laplacian.
1282,1282,John Duchi,UC Berkeley,Yoram Singer,Princeton,Grasp Proposal Networks: An End-to-End Solution for Visual Learning of Robotic Grasps.
1283,1283,Laura Dietz,"University of Massachusetts, Amherst",Tobias Scheffer,Universität Potsdam,CaSPR: Learning Canonical Spatiotemporal Point Cloud Representations.
1284,1284,Marius Kloft,TU Kaiserslautern,Alexander Zien,LIFE Biosystems GmbH,ShapeFlow: Learnable Deformation Flows Among 3D Shapes.
1285,1285,Robert Legenstein,Graz University of Technology,Wolfgang Maass,Graz University of Technology,Neural Mesh Flow: 3D Manifold Mesh Generation via Diffeomorphic  Flows.
1286,1286,Jack Culpepper,UC Berkeley,Bruno Olshausen,Redwood Center/UC Berkeley,The Origins and Prevalence of Texture Bias in Convolutional Neural Networks.
1287,1287,Bernhard Nessler,TU-Graz,Wolfgang Maass,Graz University of Technology,Texture Interpolation for Probing Visual Perception.
1288,1288,Arkadas Ozakin,Georgia Institute of Technology,Alexander Gray,Skytree Inc. and Georgia Tech,Byzantine Resilient Distributed Multi-Task Learning.
1289,1289,Elad Hazan,Princeton University,Nimrod Megiddo,IBM Almaden Research Center,FrugalML: How to use ML Prediction APIs more accurately and cheaply.
1290,1290,Volkan Cevher,EPFL,Volkan Cevher,EPFL,Improving Auto-Augment via Augmentation-Wise Weight Sharing.
1291,1291,Russ Salakhutdinov,Carnegie Mellon University,Russ Salakhutdinov,Carnegie Mellon University,ISTA-NAS: Efficient and Consistent Neural Architecture Search by Sparse Coding.
1292,1292,Yiming Ying,State University of New York at Albany,Mark A Girolami,University of Glasgow,RandAugment: Practical Automated Data Augmentation with a Reduced Search Space.
1293,1293,Emily Fox,"University of Washington, Apple",Alan S Willsky,Massachusetts Institute of Technology,Meta-Neighborhoods.
1294,1294,Raghu Meka,None,Inderjit Dhillon,UT Austin & Amazon,A Closer Look at the Training Strategy for Modern Meta-Learning.
1295,1295,Emily Fox,"University of Washington, Apple",Alan S Willsky,Massachusetts Institute of Technology,Transferable Calibration with Lower Bias and Variance in Domain Adaptation.
1296,1296,Katherine Heller,Duke,Nick Chater,None,Unsupervised Learning of Object Landmarks via Self-Training Correspondence.
1297,1297,Honglak Lee,U. Michigan,Andrew Y Ng,DeepLearning.AI,Autofocused oracles for model-based design.
1298,1298,Vijay Desai,None,Ciamac C Moallemi,Columbia University,Hierarchical Neural Architecture Search for Deep Stereo Matching.
