,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
1299,1299,Youngmin Cho,"University of California, San Diego",Lawrence Saul,UC San Diego,UWSOD: Toward Fully-Supervised-Level Capacity Weakly Supervised Object Detection.
1300,1300,Edward Vul,Massachusetts Institute of Technology,Josh Tenenbaum,MIT,Hierarchical Granularity Transfer Learning.
1301,1301,Mario J Fritz,MPI Informatics,Trevor Darrell,UC Berkeley,PyGlove: Symbolic Programming for Automated Machine Learning.
1302,1302,Garvesh Raskutti,SAMSI,Bin Yu,None,"Fast, Accurate, and Simple Models for Tabular Data via Augmented Distillation."
1303,1303,Menachem Fromer,Hebrew University,Amir Globerson,"Tel Aviv University, Google",RNNPool: Efficient Non-linear Pooling for RAM Constrained Inference.
1304,1304,Amarnag Subramanya,Google Inc.,Jeff A Bilmes,"University of Washington, Seattle","TinyTL: Reduce Memory, Not Parameters for Efficient On-Device Learning."
1305,1305,Aaron Courville,U. Montreal,Yoshua Bengio,University of Montreal,Distributed Distillation for On-Device Learning.
1306,1306,Allie Fletcher,UCLA,Sundeep Rangan,Qualcomm,Unsupervised Sound Separation Using Mixture Invariant Training.
1307,1307,Kate Saenko,UMass Lowell,Trevor Darrell,UC Berkeley,Neural Networks with Small Weights and Depth-Separation Barriers.
1308,1308,Arthur Gretton,"Gatsby Unit, UCL",Bharath Sriperumbudur,The Pennsylvania State University,The Implications of Local Correlation on Learning Some Deep Functions.
1309,1309,Boaz Nadler,Weizmann Institute of Science,Xueyuan Zhou,None,Instance Based Approximations to Profile Maximum Likelihood.
1310,1310,Rob Fergus,DeepMind / NYU,Antonio Torralba,Massachusetts Institute of Technology,Continual Learning of Control Primitives : Skill Discovery via Reset-Games.
1311,1311,Xiao-Ming Wu,Columbia University,Shuo-Yen Robert Li,None,Unsupervised Semantic Aggregation and Deformable Template Matching for Semi-Supervised Learning.
1312,1312,Kaushik Sinha,The Ohio State University,Mikhail Belkin,Ohio State University,Multilabel Classification by Hierarchical Partitioning and Data-dependent Grouping.
1313,1313,Bharath Sriperumbudur,The Pennsylvania State University,Gert Lanckriet,U.C. San Diego,Transductive Information Maximization for Few-Shot Learning.
1314,1314,Sahand N Negahban,"University of California, Berkeley",Bin Yu,None,Meta-Learning Requires Meta-Augmentation.
1315,1315,Shuheng Zhou,ETH Zurich,Shuheng Zhou,ETH Zurich,Co-Tuning for Transfer Learning.
1316,1316,Liefeng Bo,Intel Labs,Cristian Sminchisescu,Lund University/Google,What Makes for Good Views for Contrastive Learning?.
1317,1317,Arthur Choi,UCLA,Adnan Darwiche,UCLA,Self-Supervised Relational Reasoning for Representation Learning.
1318,1318,Andrew McCallum,UMass Amherst,Sameer Singh,"University of California, Irvine",Not All Unlabeled Data are Equal: Learning to Weight Data in Semi-supervised Learning.
