,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
1319,1319,Yoshinobu Kawahara,Osaka University / RIKEN,Jeff A Bilmes,"University of Washington, Seattle",Distribution Aligning Refinery of Pseudo-label for Imbalanced Semi-supervised Learning.
1320,1320,Alexander Ihler,UC Irvine,Padhraic Smyth,"University of California, Irvine",Supervised Contrastive Learning.
1321,1321,Stefan Klampfl,Graz University of Technology,Wolfgang Maass,Graz University of Technology,Curriculum Learning by Dynamic Instance Hardness.
1322,1322,Bryan C Russell,U Washington,Andrew Zisserman,DeepMind & University of Oxford,SuperLoss: A Generic Loss for Robust Curriculum Learning.
1323,1323,Arthur Gretton,"Gatsby Unit, UCL",Bharath Sriperumbudur,The Pennsylvania State University,Neural Topographic Factor Analysis for fMRI Data.
1324,1324,Ingo Steinwart,Los Alamos National Laboratory,Andreas Christmann,University of Bayreuth,Self-supervised learning through the eyes of a child.
1325,1325,Sahand N Negahban,"University of California, Berkeley",Bin Yu,None,Learnability with Indirect Supervision Signals.
1326,1326,Liefeng Bo,Intel Labs,Cristian Sminchisescu,Lund University/Google,Learning from Label Proportions: A Mutual Contamination Framework.
1327,1327,Liam MacDermed,Google,Charles Isbell,Georgia Tech,Learning identifiable and interpretable latent models of high-dimensional neural activity using pi-VAE.
1328,1328,Mike Mozer,Google Research and U. Colorado Boulder,Edward Vul,Massachusetts Institute of Technology,Identifying signal and noise structure in neural population activity with Gaussian process factor models.
1329,1329,Bernhard Nessler,TU-Graz,Wolfgang Maass,Graz University of Technology,Neuronal Gaussian Process Regression.
1330,1330,Peter Orbanz,Columbia University,Peter Orbanz,Columbia University,Estimating Fluctuations in Neural Representations of Uncertain Environments.
1331,1331,Amarnag Subramanya,Google Inc.,Jeff A Bilmes,"University of Washington, Seattle",Understanding spiking networks through convex optimization.
1332,1332,Garvesh Raskutti,SAMSI,Bin Yu,None,Factorized Neural Processes for Neural Processes: K-Shot Prediction of Neural Responses.
1333,1333,Charles Kemp,Carnegie Mellon University,Charles Kemp,Carnegie Mellon University,Efficient estimation of neural tuning during naturalistic behavior.
1334,1334,Bernhard Nessler,TU-Graz,Wolfgang Maass,Graz University of Technology,A new inference approach for training shallow and deep generalized linear models of noisy interacting neurons.
1335,1335,Shakir Mohamed,DeepMind,Finale P Doshi-Velez,Harvard,Optimal Adaptive Electrode Selection to Maximize Simultaneously Recorded Neuron Yield.
1336,1336,Bill Triggs,CNRS,Bill Triggs,CNRS,Non-reversible Gaussian processes for identifying latent dynamical structure in neural data.
1337,1337,Rob Nowak,Wisconsin,Rob Nowak,Wisconsin,Minimax Dynamics of Optimally Balanced Spiking Networks of Excitatory and Inhibitory Neurons.
1338,1338,Wenming Zheng,Southeast University,Zhouchen Lin,Microsoft Research Asia,"Predictive coding in balanced neural networks with noise, chaos and delays."
