,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
1379,1379,Aaron Courville,U. Montreal,Yoshua Bengio,University of Montreal,Exploiting Higher Order Smoothness in Derivative-free Optimization and Continuous Bandits.
1380,1380,Chenghui Cai,Cantor Fitzgerald,Lawrence Carin,Duke University,The Statistical Complexity of Early-Stopped Mirror Descent.
1381,1381,Youngmin Cho,"University of California, San Diego",Lawrence Saul,UC San Diego,Statistical and Topological Properties of Sliced Probability Divergences.
1382,1382,Xiao-Ming Wu,Columbia University,Shuo-Yen Robert Li,None,Sharper Generalization Bounds for Pairwise Learning.
1383,1383,Vijay Desai,None,Ciamac C Moallemi,Columbia University,Can Implicit Bias Explain Generalization? Stochastic Convex Optimization as a Case Study.
1384,1384,Alexandre Bouchard-Côté,UBC,Dan Klein,UC Berkeley,Asymptotic Guarantees for Generative Modeling Based on the Smooth Wasserstein Distance.
1385,1385,Ofer Dekel,Microsoft Research,Ofer Dekel,Microsoft Research,Towards Problem-dependent Optimal Learning Rates.
1386,1386,Joao V Graca,L2F INESC-ID Lisboa,Fernando Pereira,Google,On Uniform Convergence and Low-Norm Interpolation Learning.
1387,1387,Alexandre Bouchard-Côté,UBC,Dan Klein,UC Berkeley,Estimating weighted areas under the ROC curve.
1388,1388,Martin Allen,Connecticut College,Shlomo Zilberstein,Univ of Mass,Generalization error in high-dimensional perceptrons: Approaching Bayes error with convex optimization.
1389,1389,Nir Ailon,Technion,Claire Monteleoni,University of Colorado Boulder,On Second Order Behaviour in Augmented Neural ODEs.
1390,1390,Peter Sollich,King's College London,Camille Coti,INRIA Saclay-Île de France,Simplifying Hamiltonian and Lagrangian Neural Networks via Explicit Constraints.
1391,1391,Stephen Gould,ANU,Daphne Koller,insitro,Object-Centric Learning with Slot Attention.
1392,1392,Nino Shervashidze,"INRIA, Laboratoire d'Informatique de l'ENS",Karsten Borgwardt,ETH Zurich,Learning to Execute Programs with Instruction Pointer Attention Graph Neural Networks.
1393,1393,Laura Dietz,"University of Massachusetts, Amherst",Tobias Scheffer,Universität Potsdam,Probabilistic Time Series Forecasting with Shape and Temporal Diversity.
1394,1394,Matt Streeter,Duolingo,Andreas Krause,ETH Zurich,A shooting formulation of deep learning.
1395,1395,Andrew Guillory,University of Washington,Jeff A Bilmes,"University of Washington, Seattle",Training Linear Finite-State Machines.
1396,1396,Roger Luo,Snap Inc.,Vittorio Ferrari,University of Edinburgh,"Benchmarking Deep Inverse Models over time, and the Neural-Adjoint method."
1397,1397,Lei ShiUpdateMe,"University of California, Berkeley",Tom Griffiths,Princeton,Learning Continuous System Dynamics from Irregularly-Sampled Partial Observations.
1398,1398,Baback Moghaddam,Caltech,Kevin P Murphy,Google,Fast Transformers with Clustered Attention.
