1399,1399,Yoshinobu Kawahara,Osaka University / RIKEN,Jeff A Bilmes,"University of Washington, Seattle",SMYRF - Efficient Attention using Asymmetric Clustering.
1400,1400,Mario J Fritz,MPI Informatics,Trevor Darrell,UC Berkeley,Sparse and Continuous Attention Mechanisms.
1401,1401,Vinayak Rao,Purdue University,Yee Whye Teh,"University of Oxford, DeepMind",Modeling Continuous Stochastic Processes with Dynamic Normalizing Flows.
1402,1402,Tao Hu,"JFRC, HHMI",Dmitri B Chklovskii,HHMI,Denoising Diffusion Probabilistic Models.
1403,1403,Michael Wick,Oracle Labs,Andrew McCallum,UMass Amherst,Untangling tradeoffs between recurrence and self-attention in artificial neural networks.
1404,1404,Aurelie C Lozano,IBM Research,Naoki Abe,None,Neural Controlled Differential Equations for Irregular Time Series.
1405,1405,Stefan Klampfl,Graz University of Technology,Wolfgang Maass,Graz University of Technology,Erdos Goes Neural: an Unsupervised Learning Framework for Combinatorial Optimization on Graphs.
1406,1406,Allie Fletcher,UCLA,Sundeep Rangan,Qualcomm,Unsupervised Joint k-node Graph Representations with Compositional Energy-Based Models.
1407,1407,Wolf Vanpaemel,KULeuven,Wolf Vanpaemel,KULeuven,Pointer Graph Networks.
1408,1408,Katherine Heller,Duke,Nick Chater,None,Can Graph Neural Networks Count Substructures?.
1409,1409,Liam MacDermed,Google,Charles Isbell,Georgia Tech,Distance Encoding: Design Provably More Powerful Neural Networks for Graph Representation Learning.
1410,1410,Lin Xiao,Facebook AI Research,Lin Xiao,Facebook AI Research,Graph Random Neural Networks for Semi-Supervised Learning on Graphs.
1411,1411,Zhen James Xiang,Princeton University,Peter J Ramadge,Princeton,Graph Contrastive Learning with Augmentations.
1412,1412,Bharath Sriperumbudur,The Pennsylvania State University,Bernhard Schölkopf,"MPI for Intelligent Systems, Tübingen",Scattering GCN: Overcoming Oversmoothness in Graph Convolutional Networks.
1413,1413,Samory Kpotufe,Princeton University,Samory Kpotufe,Princeton University,Graph Stochastic Neural Networks for Semi-supervised Learning.
1414,1414,Mike Mozer,Google Research and U. Colorado Boulder,Edward Vul,Massachusetts Institute of Technology,DiffGCN: Graph Convolutional Networks via Differential Operators and Algebraic Multigrid Pooling.
1415,1415,Chonghai Hu,Zhejiang University,Weike Pan,Hong Kong UST,SAC: Accelerating and Structuring Self-Attention via Sparse Adaptive Connection.
1416,1416,Vinayak Rao,Purdue University,Yee Whye Teh,"University of Oxford, DeepMind",Curvature Regularization to Prevent Distortion in Graph Embedding.
1417,1417,Zhen James Xiang,Princeton University,Peter J Ramadge,Princeton,GCOMB: Learning Budget-constrained Combinatorial Algorithms over Billion-sized Graphs.
1418,1418,Daniel Hsu,Columbia University,Tong Zhang,Tencent,Subgraph Neural Networks.
