,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
1419,1419,Martin A Zinkevich,Yahoo! Inc.,John Langford,None,PGM-Explainer: Probabilistic Graphical Model Explanations for Graph Neural Networks.
1420,1420,Yacov Crammer,Technion,Mark Dredze,Johns Hopkins,Factor Graph Neural Networks.
1421,1421,Ingo Steinwart,Los Alamos National Laboratory,Andreas Christmann,University of Bayreuth,WOR and $p$'s: Sketches for $\ell_p$-Sampling Without Replacement.
1422,1422,Roger Luo,Snap Inc.,Vittorio Ferrari,University of Edinburgh,Statistical Guarantees of Distributed Nearest Neighbor Classification.
1423,1423,Vinayak Rao,Purdue University,Yee Whye Teh,"University of Oxford, DeepMind",Regression with reject option and application to kNN.
1424,1424,Marius Leordeanu,None,Rahul Sukthankar,Intel Labs and CMU,A Statistical Mechanics Framework for Task-Agnostic Sample Design in Machine Learning.
1425,1425,Sahand N Negahban,"University of California, Berkeley",Bin Yu,None,Uncertainty Quantification for Inferring Hawkes Networks.
1426,1426,Samuel J Gershman,Harvard University,Josh Tenenbaum,MIT,Fourier Features Let Networks Learn High Frequency Functions in Low Dimensional Domains.
1427,1427,Yusuke Fujiwara,ATR,Yukiyasu Kamitani,None,SE(3)-Transformers: 3D Roto-Translation Equivariant Attention Networks.
1428,1428,Shobha Venkataraman,AT&T Labs -- Research,Oliver Spatscheck,None,A Stochastic Path Integral Differential EstimatoR  Expectation Maximization Algorithm.
1429,1429,Bill Triggs,CNRS,Bill Triggs,CNRS,Beyond Perturbations: Learning Guarantees with Arbitrary Adversarial Test Examples.
1430,1430,Siamac Fazli,TU Berlin,Klaus-Robert Müller,TU Berlin,Confidence sequences for sampling without replacement.
1431,1431,Liefeng Bo,Intel Labs,Cristian Sminchisescu,Lund University/Google,Truthful Data Acquisition via Peer Prediction.
1432,1432,Katherine Heller,Duke,Nick Chater,None,Axioms for Learning from Pairwise Comparisons.
1433,1433,Charles Kemp,Carnegie Mellon University,Charles Kemp,Carnegie Mellon University,Testing Determinantal Point Processes.
1434,1434,Liam MacDermed,Google,Charles Isbell,Georgia Tech,Coded Sequential Matrix Multiplication For Straggler Mitigation.
1435,1435,Brian Kulis,UC Berkeley,Trevor Darrell,UC Berkeley,Functional Regularization for Representation Learning: A Unified Theoretical Perspective.
1436,1436,Odalric-Ambrym Maillard,INRIA,Remi Munos,Google DeepMind,Adaptive Sampling for Stochastic Risk-Averse Learning.
1437,1437,Shakir Mohamed,DeepMind,Finale P Doshi-Velez,Harvard,High-Dimensional Sparse Linear Bandits.
1438,1438,Zhihua Zhang,Shanghai Jiao Tong University,guang dai,zju,Adversarial Bandits with Corruptions.
