,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
1459,1459,Kurt T Miller,PDT Partners,Michael Jordan,UC Berkeley,Decentralized Langevin Dynamics for Bayesian Learning.
1460,1460,Lei ShiUpdateMe,"University of California, Berkeley",Tom Griffiths,Princeton,Hamiltonian Monte Carlo using an adjoint-differentiated Laplace approximation: Bayesian inference for latent Gaussian models and beyond.
1461,1461,Laura Dietz,"University of Massachusetts, Amherst",Tobias Scheffer,Universität Potsdam,Decision-Making with Auto-Encoding Variational Bayes.
1462,1462,Kwang In Kim,Saarland University,Matthias Hein,University of Tübingen,"Robust, Accurate Stochastic Optimization for Variational Inference."
1463,1463,Eric K Garcia,University of Washington,Maya R Gupta,University of Washington,"Advances in Black-Box VI: Normalizing Flows, Importance Weighting, and Optimization."
1464,1464,Robert C Wilson,Princeton University,Leif Finkel,None,Efficient Low Rank Gaussian Variational Inference for Neural Networks.
1465,1465,Kaushik Sinha,The Ohio State University,Mikhail Belkin,Ohio State University,Liberty or Depth: Deep Bayesian Neural Nets Do Not Need Complex Weight Posterior Approximations.
1466,1466,Amarnag Subramanya,Google Inc.,Jeff A Bilmes,"University of Washington, Seattle",Projected Stein Variational Gradient Descent.
1467,1467,Erik Sudderth,Brown University,Erik Sudderth,Brown University,Lipschitz Bounds and Provably Robust Training by Laplacian Smoothing.
1468,1468,Vinod Nair,University of Toronto,Geoffrey E Hinton,Google & University of Toronto,SnapBoost: A Heterogeneous Boosting Machine.
1469,1469,Garvesh Raskutti,SAMSI,Bin Yu,None,The Wasserstein Proximal Gradient Algorithm.
1470,1470,Michael Wick,Oracle Labs,Andrew McCallum,UMass Amherst, Unbalanced Sobolev Descent .
1471,1471,Sahand N Negahban,"University of California, Berkeley",Bin Yu,None,Steering Distortions to Preserve Classes and Neighbors in Supervised Dimensionality Reduction.
1472,1472,Guillermo Cecchi,IBM Research,Jean-Baptiste Poline,CEA-INSERM,Multiparameter Persistence Image for Topological Machine Learning.
1473,1473,Aaron Courville,U. Montreal,Yoshua Bengio,University of Montreal,Learning with Differentiable Pertubed Optimizers.
1474,1474,Ilya Sutskever,OpenAI,Josh Tenenbaum,MIT,Learning with Optimized Random Features: Exponential Speedup by Quantum Machine Learning without Sparsity and Low-Rank Assumptions.
1475,1475,Le Song,Carnegie Mellon University,Eric Xing,Petuum Inc. /  Carnegie Mellon University,Learning outside the Black-Box: The pursuit of interpretable models.
1476,1476,Russ Salakhutdinov,Carnegie Mellon University,Geoffrey E Hinton,Google & University of Toronto,Variance Reduction via Accelerated Dual Averaging for Finite-Sum Optimization.
1477,1477,Marco Cuturi,Google Brain  &  CREST - ENSAE,Alexandre d'Aspremont,CNRS - ENS,Random Reshuffling is Not Always Better.
1478,1478,Chenghui Cai,Cantor Fitzgerald,Lawrence Carin,Duke University,Optimistic Dual Extrapolation for Coherent Non-monotone Variational Inequalities.
