,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
1519,1519,Jonathan Chang,Facebook,David Blei,Columbia University,A Unified View of Label Shift Estimation.
1520,1520,Samuel J Gershman,Harvard University,Josh Tenenbaum,MIT,Calibrating Deep Neural Networks using Focal Loss.
1521,1521,Erik Sudderth,Brown University,Erik Sudderth,Brown University,"Distribution-free binary classification: prediction sets, confidence intervals and calibration."
1522,1522,Paris Smaragdis,University of Illinois Urbana-Champaign,Bhiksha Raj,Carnegie Mellon University,Log-Likelihood Ratio Minimizing Flows: Towards Robust and Quantifiable Neural Distribution Alignment.
1523,1523,Matthew B Blaschko,KU Leuven,Andreas Bartels,Centre for Integrative Neuroscience,Your GAN is Secretly an Energy-based Model and You Should Use Discriminator Driven Latent Sampling.
1524,1524,Matthias Seeger,Amazon,Matthias Seeger,Amazon,Exchangeable Neural ODE for Set Modeling.
1525,1525,Percy Liang,Stanford University,Michael Jordan,UC Berkeley,Understanding Anomaly Detection with Deep Invertible Networks through Hierarchies of Distributions and Features.
1526,1526,Peter Orbanz,Columbia University,Peter Orbanz,Columbia University,Further Analysis of Outlier Detection with Deep Generative Models.
1527,1527,Jaakko Luttinen,Aalto University,Alexander Ilin,Helsinki University of Technology,Sample Complexity of Uniform Convergence for Multicalibration.
1528,1528,Amarnag Subramanya,Google Inc.,Jeff A Bilmes,"University of Washington, Seattle",Certifiably Adversarially Robust Detection of Out-of-Distribution Data.
1529,1529,Sahand N Negahban,"University of California, Berkeley",Bin Yu,None,Can I Trust My Fairness Metric? Assessing Fairness with Unlabeled Data and Bayesian Inference.
1530,1530,Alekh Agarwal,UC Berkeley,Martin J Wainwright,UC Berkeley,Towards Maximizing the Representation Gap between In-Domain & Out-of-Distribution Examples.
1531,1531,Jack Culpepper,UC Berkeley,Bruno Olshausen,Redwood Center/UC Berkeley,Reducing Adversarially Robust Learning to Non-Robust PAC Learning.
1532,1532,Sahand N Negahban,"University of California, Berkeley",Bin Yu,None,Tensor Completion Made Practical.
1533,1533,Alexander Ihler,UC Irvine,Padhraic Smyth,"University of California, Irvine",Online Matrix Completion with Side Information.
1534,1534,Marco Cuturi,Google Brain  &  CREST - ENSAE,Alexandre d'Aspremont,CNRS - ENS,Truncated Linear Regression in High Dimensions.
1535,1535,Kurt T Miller,PDT Partners,Michael Jordan,UC Berkeley,Finer Metagenomic Reconstruction via Biodiversity Optimization.
1536,1536,Le Song,Carnegie Mellon University,Eric Xing,Petuum Inc. /  Carnegie Mellon University,Implicit Regularization in Deep Learning May Not Be Explainable by Norms.
1537,1537,Andrew Guillory,University of Washington,Jeff A Bilmes,"University of Washington, Seattle",On the Tightness of Semidefinite Relaxations for Certifying Robustness to Adversarial Examples.
1538,1538,Mingyuan Zhou,University of Texas at Austin,Larry Carin,None,Towards a Better Global Loss Landscape of GANs.
