,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
1539,1539,Emily Fox,"University of Washington, Apple",Alan S Willsky,Massachusetts Institute of Technology,Implicit Regularization and Convergence for Weight Normalization.
1540,1540,Matthias Seeger,Amazon,Matthias Seeger,Amazon,Most ReLU Networks Suffer from $\ell^2$ Adversarial Perturbations.
1541,1541,Honglak Lee,U. Michigan,Andrew Y Ng,DeepLearning.AI,Geometric Exploration for Online Control.
1542,1542,Kwang In Kim,Saarland University,Matthias Hein,University of Tübingen,The Smoothed Possibility of Social Choice.
1543,1543,Sundeep Rangan,Qualcomm,Vivek K Goyal,Massachusetts Institute of Technology,Optimally Deceiving a Learning Leader in Stackelberg Games.
1544,1544,Charles Kemp,Carnegie Mellon University,Charles Kemp,Carnegie Mellon University,Explainable Voting.
1545,1545,Rob Nowak,Wisconsin,Rob Nowak,Wisconsin,Optimization and Generalization of Shallow Neural Networks with Quadratic Activation Functions.
1546,1546,Sahand N Negahban,"University of California, Berkeley",Bin Yu,None,"Overfitting Can Be Harmless for Basis Pursuit, But Only to a Degree."
1547,1547,Elad Hazan,Princeton University,Satyen Kale,Google,A Benchmark for Systematic Generalization in Grounded Language Understanding.
1548,1548,Shobha Venkataraman,AT&T Labs -- Research,Oliver Spatscheck,None,Direct Feedback Alignment Scales to Modern Deep Learning Tasks and Architectures.
1549,1549,Liang Sun,Opera Solutions,Jieping Ye,Arizona State University,Kernelized information bottleneck leads to biologically plausible 3-factor Hebbian learning in deep networks.
1550,1550,Hanna Wallach,Microsoft,Andrew McCallum,UMass Amherst,Meta-Learning through Hebbian Plasticity in Random Networks.
1551,1551,Bernhard Nessler,TU-Graz,Wolfgang Maass,Graz University of Technology,Stable and expressive recurrent vision models.
1552,1552,Emily Fox,"University of Washington, Apple",Alan S Willsky,Massachusetts Institute of Technology,Identifying Learning Rules From Neural Network Observables.
1553,1553,George Konidaris,Duke University,Andrew G Barto,University of Massachusetts,Deep active inference agents using Monte-Carlo methods.
1554,1554,Guillermo Cecchi,IBM Research,Jean-Baptiste Poline,CEA-INSERM,Learning Compositional Rules via Neural Program Synthesis.
1555,1555,Hanna Wallach,Microsoft,Andrew McCallum,UMass Amherst,A Local Temporal Difference Code for Distributional Reinforcement Learning.
1556,1556,Alekh Agarwal,UC Berkeley,Martin J Wainwright,UC Berkeley,Inferring learning rules from animal decision-making.
1557,1557,Elad Hazan,Princeton University,Satyen Kale,Google,A Biologically Plausible Neural Network for Slow Feature Analysis.
1558,1558,Le Song,Carnegie Mellon University,Eric Xing,Petuum Inc. /  Carnegie Mellon University,R-learning in actor-critic model offers a biologically relevant mechanism for sequential decision-making.
