,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
1559,1559,Allie Fletcher,UCLA,Sundeep Rangan,Qualcomm,Deep Graph Pose: a semi-supervised deep graphical model for improved animal pose tracking.
1560,1560,Hamed Pirsiavash,University of California Irvine,Charless Fowlkes,UC Irvine,Characterizing emergent representations in a space of candidate learning rules for deep networks.
1561,1561,Ingo Steinwart,Los Alamos National Laboratory,Andreas Christmann,University of Bayreuth,A simple normative network approximates local non-Hebbian learning in the cortex.
1562,1562,Jon McAuliffe,UC Berkeley and Voleon,Jon McAuliffe,UC Berkeley and Voleon,A meta-learning approach to (re)discover plasticity rules that carve a desired function into a neural network.
1563,1563,Jian Peng,TTI Chicago,Jinbo Xu,Toyota Tech Inst at Chicago,Detection as Regression: Certified Object Detection with Median Smoothing.
1564,1564,John Duchi,UC Berkeley,Yoram Singer,Princeton,Certifying Confidence via Randomized Smoothing.
1565,1565,Peter Orbanz,Columbia University,Peter Orbanz,Columbia University,Reliable Graph Neural Networks via Robust Aggregation.
1566,1566,Siamac Fazli,TU Berlin,Klaus-Robert Müller,TU Berlin,PLLay: Efficient Topological Layer based on Persistent Landscapes.
1567,1567,Tai Sing Lee,Carnegie Mellon University,Tai Sing Lee,Carnegie Mellon University,Network Diffusions via Neural Mean-Field Dynamics.
1568,1568,Hamed Pirsiavash,University of California Irvine,Charless Fowlkes,UC Irvine,Learning the Geometry of Wave-Based Imaging.
1569,1569,James Bergstra,Kindred,Yoshua Bengio,University of Montreal,Neuron Shapley: Discovering the Responsible Neurons.
1570,1570,Charles Kemp,Carnegie Mellon University,Charles Kemp,Carnegie Mellon University,Certified Robustness of Graph Convolution Networks for Graph Classification under Topological Attacks.
1571,1571,Samy Bengio,Apple,Dennis Strelow,None,Sharp Representation Theorems for ReLU Networks with Precise Dependence on Depth.
1572,1572,Shuheng Zhou,ETH Zurich,Shuheng Zhou,ETH Zurich,Temporal Spike Sequence Learning via Backpropagation for Deep Spiking Neural Networks.
1573,1573,Yang Wang,University of Manitoba,Greg Mori,Borealis AI,Likelihood Regret: An Out-of-Distribution Detection Score For Variational Auto-encoder.
1574,1574,Liang Sun,Opera Solutions,Jieping Ye,Arizona State University,Sample-Efficient Optimization in the Latent Space of Deep Generative Models via Weighted Retraining.
1575,1575,Xiao-Ming Wu,Columbia University,Shuo-Yen Robert Li,None,Discovering Symbolic Models from Deep Learning with Inductive Biases.
1576,1576,Garvesh Raskutti,SAMSI,Bin Yu,None,Compositional Explanations of Neurons.
1577,1577,Amarnag Subramanya,Google Inc.,Jeff A Bilmes,"University of Washington, Seattle",Automatic Perturbation Analysis for Scalable Certified Robustness and Beyond.
1578,1578,Jonathan Huang,google.com,Carlos Guestrin,University of Washington,Over-parameterized Adversarial Training: An Analysis Overcoming the Curse of Dimensionality.
