,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
1579,1579,Zhirong Yang,Aalto University,Erkki Oja,Aalto University,Telescoping Density-Ratio Estimation.
1580,1580,Amarnag Subramanya,Google Inc.,Jeff A Bilmes,"University of Washington, Seattle",On Testing of Samplers.
1581,1581,Michael Wick,Oracle Labs,Andrew McCallum,UMass Amherst,Path Sample-Analytic Gradient Estimators for Stochastic Binary Networks.
1582,1582,Menachem Fromer,Hebrew University,Amir Globerson,"Tel Aviv University, Google",Deep Direct Likelihood Knockoffs.
1583,1583,Corinna Cortes,Google Research,Afshin Rostamizadeh,Google Research,Generalised Bayesian Filtering via Sequential Monte Carlo.
1584,1584,Garvesh Raskutti,SAMSI,Bin Yu,None,Feature Shift Detection: Localizing Which Features Have Shifted via Conditional Distribution Tests.
1585,1585,Shakir Mohamed,DeepMind,Finale P Doshi-Velez,Harvard,Bayesian Optimization of Risk Measures.
1586,1586,Joseph Schlecht,University of Arizona,Kobus Barnard,University of Arizona,Differentiable Expected Hypervolume Improvement for Parallel Multi-Objective Bayesian Optimization.
1587,1587,Samuel Rota Bulò,Università Ca' Foscari,Marcello Pelillo,Università Ca' Foscari di Venezia,Variance reduction for Random Coordinate Descent-Langevin Monte Carlo.
1588,1588,James Bergstra,Kindred,Yoshua Bengio,University of Montreal,A Contour Stochastic  Gradient Langevin Dynamics Algorithm for Simulations of Multi-modal Distributions.
1589,1589,Mingyuan Zhou,University of Texas at Austin,Larry Carin,None,Sequential Bayesian Experimental Design with Variable Cost Structure.
1590,1590,Jean-Pascal Pfister,Cambridge University,Mate Lengyel,University of Cambridge,Asymptotically Optimal Exact Minibatch Metropolis-Hastings.
1591,1591,George Konidaris,Duke University,Andrew G Barto,University of Massachusetts,Primal Dual Interpretation of the Proximal Stochastic Gradient Langevin Algorithm.
1592,1592,Joao V Graca,L2F INESC-ID Lisboa,Fernando Pereira,Google,Replica-Exchange Nos\'e-Hoover Dynamics for Bayesian Learning on Large Datasets.
1593,1593,Chong Wang,ByteDance Inc.,David Blei,Columbia University,Stein Self-Repulsive Dynamics: Benefits From Past Samples.
1594,1594,Jonathan Huang,google.com,Carlos Guestrin,University of Washington,Neural Bridge Sampling for Evaluating Safety-Critical Autonomous Systems.
1595,1595,Raman Arora,Johns Hopkins University,Raman Arora,Johns Hopkins University,Sparse Spectrum Warped Input Measures for Nonstationary Kernel Learning.
1596,1596,Ingo Steinwart,Los Alamos National Laboratory,Andreas Christmann,University of Bayreuth,Bootstrapping neural processes.
1597,1597,Guillermo Cecchi,IBM Research,Jean-Baptiste Poline,CEA-INSERM,Sparse Learning with CART.
1598,1598,Chonghai Hu,Zhejiang University,Weike Pan,Hong Kong UST,Smooth And Consistent Probabilistic Regression Trees.
