1599,1599,Matthias Seeger,Amazon,Matthias Seeger,Amazon,Simple and Principled Uncertainty Estimation with Deterministic Deep Learning via Distance Awareness.
1600,1600,M. Pawan Kumar,Stanford University,Daphne Koller,insitro,Bayesian Deep Ensembles via the Neural Tangent Kernel.
1601,1601,Robert C Wilson,Princeton University,Leif Finkel,None,Predictive inference is free with the jackknife+-after-bootstrap.
1602,1602,Barry W Chai,Stanford,Fei-Fei Li,Princeton University,Hyperparameter Ensembles for Robustness and Uncertainty Quantification.
1603,1603,Arkadas Ozakin,Georgia Institute of Technology,Alexander Gray,Skytree Inc. and Georgia Tech,Depth Uncertainty in Neural Networks.
1604,1604,Sahand N Negahban,"University of California, Berkeley",Bin Yu,None,A Bayesian Perspective on Training Speed and Model Selection.
1605,1605,Edward Vul,Massachusetts Institute of Technology,Josh Tenenbaum,MIT,Learning under Model Misspecification: Applications to Variational and Ensemble methods.
1606,1606,Bing Bai,NEC Labs America,Mehryar Mohri,Google Research & Courant Institute of Mathematical Sciences,Counterfactual Predictions under Runtime Confounding.
1607,1607,Aurelie C Lozano,IBM Research,Naoki Abe,None,Matérn Gaussian Processes on Riemannian Manifolds.
1608,1608,Amarnag Subramanya,Google Inc.,Jeff A Bilmes,"University of Washington, Seattle",Stationary Activations for Uncertainty Calibration in Deep Learning.
1609,1609,Rob Fergus,DeepMind / NYU,Antonio Torralba,Massachusetts Institute of Technology,Task-Agnostic Amortized Inference of Gaussian Process Hyperparameters.
1610,1610,Yoshinobu Kawahara,Osaka University / RIKEN,Jeff A Bilmes,"University of Washington, Seattle",On the Expressiveness of Approximate Inference in Bayesian Neural Networks.
1611,1611,Sennay Ghebreab,None,Arnold Smeulders,None,The Strong Screening Rule for SLOPE.
1612,1612,Hamed Valizadegan,Michigan State University,Jianchang Mao,Yahoo! Labs,Co-exposure Maximization in Online Social Networks.
1613,1613,Chonghai Hu,Zhejiang University,Weike Pan,Hong Kong UST,Fast Convergence of Langevin Dynamics on Manifold: Geodesics meet Log-Sobolev.
1614,1614,Stefan Klampfl,Graz University of Technology,Wolfgang Maass,Graz University of Technology,"MinMax Methods for Optimal Transport and Beyond: Regularization, Approximation and Numerics."
1615,1615,George Konidaris,Duke University,Andrew G Barto,University of Massachusetts,Semialgebraic Optimization for Lipschitz Constants of ReLU Networks.
1616,1616,Ilya Sutskever,OpenAI,Josh Tenenbaum,MIT,Parabolic Approximation Line Search for DNNs.
1617,1617,Raman Arora,Johns Hopkins University,Raman Arora,Johns Hopkins University,Batch normalization provably avoids ranks collapse for randomly initialised deep networks.
1618,1618,Ian H Stevenson,University of Connecticut,Konrad Koerding,None,Breaking Reversibility Accelerates Langevin Dynamics for Non-Convex Optimization.
