1679,1679,Garvesh Raskutti,SAMSI,Bin Yu,None,"Demystifying Contrastive Self-Supervised Learning: Invariances, Augmentations and Dataset Biases."
1680,1680,Stephen Gould,ANU,Daphne Koller,insitro,Bootstrap Your Own Latent - A New Approach to Self-Supervised Learning.
1681,1681,Jong Kyoung Kim,POSTECH,Seungjin Choi,BARO AI,Unsupervised Learning of Visual Features by Contrasting Cluster Assignments.
1682,1682,Liefeng Bo,Intel Labs,Cristian Sminchisescu,Lund University/Google,LoCo: Local Contrastive Representation Learning.
1683,1683,Ruben Coen-Cagli,Albert Einstein College of Medicine,Odelia Schwartz,Albert Einstein College of Medicine,Self-Adaptively Learning to Demoiré from Focused and Defocused Image Pairs.
1684,1684,Russ Salakhutdinov,Carnegie Mellon University,Geoffrey E Hinton,Google & University of Toronto,Noise2Same: Optimizing A Self-Supervised Bound for Image Denoising.
1685,1685,Shobha Venkataraman,AT&T Labs -- Research,Oliver Spatscheck,None,Domain Generalization for Medical Imaging Classification with Linear-Dependency Regularization.
1686,1686,Tomer D Ullman,Massachusetts Institute of Technology,Josh Tenenbaum,MIT,Differentiable Augmentation for Data-Efficient GAN Training.
1687,1687,M. Pawan Kumar,Stanford University,Daphne Koller,insitro,Comprehensive Attention Self-Distillation for Weakly-Supervised Object Detection.
1688,1688,Vivek Farias,Massachusetts Institute of Technology,Devavrat Shah,Massachusetts Institute of Technology,ContraGAN: Contrastive Learning for Conditional Image Generation.
1689,1689,Stefan Klampfl,Graz University of Technology,Wolfgang Maass,Graz University of Technology,Inverting Gradients - How easy is it to break privacy in federated learning?.
1690,1690,Piyush Rai,Duke University,Hal Daumé III,Univ of Maryland / Microsoft Research,Principal Neighbourhood Aggregation for Graph Nets.
1691,1691,Paris Smaragdis,University of Illinois Urbana-Champaign,Bhiksha Raj,Carnegie Mellon University,Learning Graph Structure With A Finite-State Automaton Layer.
1692,1692,Cosmin A Bejan,The University of Texas at Dallas,Sanda Harabagiu,University of Texas at Dallas,Graph Cross Networks with Vertex Infomax Pooling.
1693,1693,Amarnag Subramanya,Google Inc.,Jeff A Bilmes,"University of Washington, Seattle",How hard is to distinguish graphs with graph neural networks?.
1694,1694,Allie Fletcher,UCLA,Sundeep Rangan,Qualcomm,Weisfeiler and Leman go sparse: Towards scalable higher-order graph embeddings.
1695,1695,David P Wipf,AWS,Sri Nagarajan,UCSF,COPT: Coordinated Optimal Transport on Graphs.
1696,1696,Siamac Fazli,TU Berlin,Klaus-Robert Müller,TU Berlin,Building powerful and equivariant graph neural networks with structural message-passing.
1697,1697,Charles Kemp,Carnegie Mellon University,Charles Kemp,Carnegie Mellon University,Rethinking pooling in graph neural networks.
1698,1698,Bharath Sriperumbudur,The Pennsylvania State University,Bernhard Schölkopf,"MPI for Intelligent Systems, Tübingen",Random Walk Graph Neural Networks.
