1739,1739,Ruben Coen-Cagli,Albert Einstein College of Medicine,Odelia Schwartz,Albert Einstein College of Medicine,Deep Archimedean Copulas.
1740,1740,Matthias Seeger,Amazon,Matthias Seeger,Amazon,Constraining Variational Inference with Geometric Jensen-Shannon Divergence.
1741,1741,Alexandre Bouchard-Côté,UBC,Dan Klein,UC Berkeley,CO-Optimal Transport.
1742,1742,Edward Vul,Massachusetts Institute of Technology,Josh Tenenbaum,MIT,OTLDA: A Geometry-aware Optimal Transport Approach for Topic Modeling.
1743,1743,Baback Moghaddam,Caltech,Kevin P Murphy,Google,Robust Recursive Partitioning for Heterogeneous Treatment Effects with Uncertainty Quantification.
1744,1744,Pari Ram,IBM Research,Alexander Gray,Skytree Inc. and Georgia Tech,Computing Valid p-value for Optimal Changepoint by Selective Inference using Dynamic Programming.
1745,1745,Yang Wang,University of Manitoba,Greg Mori,Borealis AI,Improved Variational Bayesian Phylogenetic Inference with Normalizing Flows.
1746,1746,Kai Yu,Baidu,Yihong Gong,None,HM-ANN: Efficient Billion-Point Nearest Neighbor Search on Heterogeneous Memory.
1747,1747,Joseph Schlecht,University of Arizona,Kobus Barnard,University of Arizona,Noise-Contrastive Estimation for Multivariate Point Processes.
1748,1748,Brian Kulis,UC Berkeley,Trevor Darrell,UC Berkeley,Adaptive Learned Bloom Filter (Ada-BF): Efficient Utilization of the Classifier with Application to Real-Time Information Filtering on the Web.
1749,1749,Yacov Crammer,Technion,Mark Dredze,Johns Hopkins,Nimble: Lightweight and Parallel GPU Task Scheduling for Deep Learning.
1750,1750,Bing Bai,NEC Labs America,Mehryar Mohri,Google Research & Courant Institute of Mathematical Sciences,Baxter Permutation Process.
1751,1751,Jian Peng,TTI Chicago,Jinbo Xu,Toyota Tech Inst at Chicago,A mathematical theory of cooperative communication.
1752,1752,Mike Mozer,Google Research and U. Colorado Boulder,Edward Vul,Massachusetts Institute of Technology,All your loss are belong to Bayes.
1753,1753,Ben Taskar,University of Washington,Ben Taskar,University of Washington,The Potts-Ising model for discrete multivariate data.
1754,1754,Mladen Kolar,University of Chicago,Eric Xing,Petuum Inc. /  Carnegie Mellon University,Bidirectional Convolutional Poisson Gamma Dynamical Systems.
1755,1755,Mladen Kolar,University of Chicago,Eric Xing,Petuum Inc. /  Carnegie Mellon University,Variational Bayesian Unlearning.
1756,1756,Russ Salakhutdinov,Carnegie Mellon University,Russ Salakhutdinov,Carnegie Mellon University,Theory-Inspired Path-Regularized Differential Network Architecture Search.
1757,1757,Shobha Venkataraman,AT&T Labs -- Research,Oliver Spatscheck,None,Cream of the Crop: Distilling Prioritized Paths For One-Shot Neural Architecture Search.
1758,1758,Samuel Rota Bulò,Università Ca' Foscari,Marcello Pelillo,Università Ca' Foscari di Venezia,Differentiable Neural Architecture Search in Equivalent Space with Exploration Enhancement.
