,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
1759,1759,Arthur Choi,UCLA,Adnan Darwiche,UCLA,AutoBSS: An Efficient Algorithm for Block Stacking Style Search.
1760,1760,Matthias Hein,University of Tübingen,Matthias Hein,University of Tübingen,Semi-Supervised Neural Architecture Search.
1761,1761,Hamed Pirsiavash,University of California Irvine,Charless Fowlkes,UC Irvine,Does Unsupervised Architecture Representation Learning Help Neural Architecture Search?.
1762,1762,Shuheng Zhou,ETH Zurich,Shuheng Zhou,ETH Zurich,A Study on Encodings for Neural Architecture Search.
1763,1763,Paris Smaragdis,University of Illinois Urbana-Champaign,Bhiksha Raj,Carnegie Mellon University,Evolving Normalization-Activation Layers.
1764,1764,Martin Allen,Connecticut College,Shlomo Zilberstein,Univ of Mass,Interstellar: Searching Recurrent Architecture for  	Knowledge Graph Embedding.
1765,1765,Matthias Hein,University of Tübingen,Matthias Hein,University of Tübingen,Auto Learning Attention.
1766,1766,Charles Kemp,Carnegie Mellon University,Charles Kemp,Carnegie Mellon University,Transferable Graph Optimizers for ML Compilers.
1767,1767,Samy Bengio,Apple,Dennis Strelow,None,Adapting Neural Architectures Between Domains.
1768,1768,Ilya Sutskever,OpenAI,Josh Tenenbaum,MIT,Revisiting Parameter Sharing for Automatic Neural Channel Number Search.
1769,1769,Peter Orbanz,Columbia University,Peter Orbanz,Columbia University,Neuron-level Structured Pruning using Polarization Regularizer.
1770,1770,Zhen James Xiang,Princeton University,Peter J Ramadge,Princeton,HAWQ-V2: Hessian Aware trace-Weighted Quantization of Neural Networks.
1771,1771,Allie Fletcher,UCLA,Sundeep Rangan,Qualcomm,MCUNet: Tiny Deep Learning on IoT Devices.
1772,1772,Joao V Graca,L2F INESC-ID Lisboa,Fernando Pereira,Google,Compressing Images by Encoding Their Latent Representations with Relative Entropy Coding.
1773,1773,Ingo Steinwart,Los Alamos National Laboratory,Andreas Christmann,University of Bayreuth,Bi-level Score Matching for Learning Energy-based Latent Variable Models.
1774,1774,Matthew B Blaschko,KU Leuven,Andreas Bartels,Centre for Integrative Neuroscience,NVAE: A Deep Hierarchical Variational Autoencoder.
1775,1775,Nino Shervashidze,"INRIA, Laboratoire d'Informatique de l'ENS",Karsten Borgwardt,ETH Zurich,Reciprocal Adversarial Learning via Characteristic Functions.
1776,1776,Matthias Hein,University of Tübingen,Matthias Hein,University of Tübingen,Stochastic Stein Discrepancies.
1777,1777,Rob Nowak,Wisconsin,Rob Nowak,Wisconsin,Hierarchical Gaussian Process Priors for Bayesian Neural Network Weights.
1778,1778,Tai Sing Lee,Carnegie Mellon University,Tai Sing Lee,Carnegie Mellon University,Incorporating Interpretable Output Constraints in Bayesian Neural Networks.
