1779,1779,Arthur Gretton,"Gatsby Unit, UCL",Bharath Sriperumbudur,The Pennsylvania State University,Quantile Propagation for Wasserstein-Approximate Gaussian Processes.
1780,1780,Arthur Choi,UCLA,Adnan Darwiche,UCLA,Mixed Hamiltonian Monte Carlo for Mixed Discrete and Continuous Variables.
1781,1781,Andrew Guillory,University of Washington,Jeff A Bilmes,"University of Washington, Seattle",Walsh-Hadamard Variational Inference for Bayesian Deep Learning.
1782,1782,Ian H Stevenson,University of Connecticut,Konrad Koerding,None,f-Divergence Variational Inference.
1783,1783,Mingyuan Zhou,University of Texas at Austin,Larry Carin,None,Flexible mean field variational inference using mixtures of non-overlapping exponential families.
1784,1784,Umar Syed,University of Pennsylvania,Nina Mishra,Microsoft Research,"On the Ergodicity, Bias and Asymptotic Normality of Randomized Midpoint Sampling Method."
1785,1785,Anne Hsu,UC Berkeley,Tom Griffiths,Princeton,Improving Online Rent-or-Buy Algorithms with Sequential Decision Making and ML Predictions.
1786,1786,Jean-Pascal Pfister,Cambridge University,Mate Lengyel,University of Cambridge,Community detection using fast low-cardinality semidefinite programming .
1787,1787,Edward Vul,Massachusetts Institute of Technology,Josh Tenenbaum,MIT,Online Optimization with Memory and Competitive Control.
1788,1788,Martin Allen,Connecticut College,Shlomo Zilberstein,Univ of Mass,Simple and Fast Algorithm for Binary Integer and Online Linear Programming.
1789,1789,Anne Hsu,UC Berkeley,Tom Griffiths,Princeton,Online Convex Optimization Over Erdos-Renyi Random Networks.
1790,1790,Wolf Vanpaemel,KULeuven,Wolf Vanpaemel,KULeuven,Thunder: a Fast Coordinate Selection Solver for  Sparse Learning.
1791,1791,David P Wipf,AWS,Sri Nagarajan,UCSF,Deterministic Approximation for Submodular Maximization over a Matroid in Nearly Linear Time.
1792,1792,Hamed Valizadegan,Michigan State University,Jianchang Mao,Yahoo! Labs,The Primal-Dual method for Learning Augmented Algorithms.
1793,1793,Baback Moghaddam,Caltech,Kevin P Murphy,Google,Fully Dynamic Algorithm for Constrained Submodular Optimization.
1794,1794,Mike Mozer,Google Research and U. Colorado Boulder,Edward Vul,Massachusetts Institute of Technology,Submodular Maximization Through Barrier Functions.
1795,1795,Edward Vul,Massachusetts Institute of Technology,Josh Tenenbaum,MIT,Improved Algorithms for Online Submodular Maximization via First-order Regret Bounds.
1796,1796,Ingo Steinwart,Los Alamos National Laboratory,Andreas Christmann,University of Bayreuth,Robust Sequence Submodular Maximization.
1797,1797,Paris Smaragdis,University of Illinois Urbana-Champaign,Bhiksha Raj,Carnegie Mellon University,Continuous Submodular Maximization: Beyond DR-Submodularity.
1798,1798,Theodore Perkins,Ottawa Hospital Research Institute,Theodore Perkins,Ottawa Hospital Research Institute,Efficient Online Learning of Optimal Rankings: Dimensionality Reduction via Gradient Descent.
