,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
1799,1799,Han Liu,Carnegie Mellon University,Xi Chen,NYU,Towards More Practical Adversarial Attacks on Graph Neural Networks.
1800,1800,Nino Shervashidze,"INRIA, Laboratoire d'Informatique de l'ENS",Karsten Borgwardt,ETH Zurich,Boundary thickness and robustness in learning models.
1801,1801,Allie Fletcher,UCLA,Sundeep Rangan,Qualcomm,Exploiting weakly supervised visual patterns to learn from partial annotations.
1802,1802,Jong Kyoung Kim,POSTECH,Seungjin Choi,BARO AI,Dual T: Reducing Estimation Error for Transition Matrix in Label-noise Learning.
1803,1803,Emily Fox,"University of Washington, Apple",Alan S Willsky,Massachusetts Institute of Technology,Part-dependent Label Noise: Towards Instance-dependent Label Noise.
1804,1804,Xiaolin Yang,Carnegie Mellon University,Eric Xing,Petuum Inc. /  Carnegie Mellon University,Digraph Inception Convolutional Networks.
1805,1805,Yee Whye Teh,"University of Oxford, DeepMind",DILAN Gorur,DeepMind,What Neural Networks Memorize and Why: Discovering the Long Tail via Influence Estimation.
1806,1806,Shobha Venkataraman,AT&T Labs -- Research,Oliver Spatscheck,None,Self-Adaptive Training: beyond Empirical Risk Minimization.
1807,1807,Jack Culpepper,UC Berkeley,Bruno Olshausen,Redwood Center/UC Berkeley,Debugging Tests for Model Explanations.
1808,1808,Sundeep Rangan,Qualcomm,Vivek K Goyal,Massachusetts Institute of Technology,Point process models for sequence detection in high-dimensional neural spike trains.
1809,1809,Daniel Cavagnaro,Cal State Fullerton,Jay Myung,Ohio State University,"Lamina-specific neuronal properties promote robust, stable signal propagation in feedforward networks."
1810,1810,Raghu Meka,None,Inderjit Dhillon,UT Austin & Amazon,Reconstructing Perceptive Images from Brain Activity by Shape-Semantic GAN.
1811,1811,Katherine Heller,Duke,Nick Chater,None,High-contrast “gaudy” images improve the training of deep neural network models of visual cortex.
1812,1812,Martin A Zinkevich,Yahoo! Inc.,John Langford,None,Weakly-Supervised Reinforcement Learning for Controllable Behavior.
1813,1813,Hamed Valizadegan,Michigan State University,Jianchang Mao,Yahoo! Labs,Predictive Information Accelerates Learning in RL.
1814,1814,Matthias Hein,University of Tübingen,Matthias Hein,University of Tübingen,The route to chaos in routing games: When is price of anarchy too optimistic?.
1815,1815,Liang Sun,Opera Solutions,Jieping Ye,Arizona State University,Graph Meta Learning via Local Subgraphs.
1816,1816,Arthur Gretton,"Gatsby Unit, UCL",Bharath Sriperumbudur,The Pennsylvania State University,Towards Scale-Invariant Graph-related Problem Solving by Iterative Homogeneous GNNs.
1817,1817,Han Liu,Carnegie Mellon University,Xi Chen,NYU,Tree! I am no Tree! I am a low dimensional Hyperbolic Embedding.
1818,1818,Alexander Ihler,UC Irvine,Padhraic Smyth,"University of California, Irvine",Scalable Graph Neural Networks via Bidirectional Propagation.
