,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
1819,1819,Kai Yu,Baidu,Yihong Gong,None,Neural Message Passing for Multi-Relational Ordered and Recursive Hypergraphs.
1820,1820,Percy Liang,Stanford University,Michael Jordan,UC Berkeley,A graph similarity for deep learning.
1821,1821,Kurt T Miller,PDT Partners,Michael Jordan,UC Berkeley,Implicit Graph Neural Networks.
1822,1822,Lawrence Cayton,Max Planck Institute for Biological Cybernetics,Lawrence Cayton,Max Planck Institute for Biological Cybernetics,Self-supervised Auxiliary Learning with Meta-paths for Heterogeneous Graphs.
1823,1823,Alekh Agarwal,UC Berkeley,Martin J Wainwright,UC Berkeley,Disentangling Human Error from Ground Truth in Segmentation of Medical Images.
1824,1824,Mike Mozer,Google Research and U. Colorado Boulder,Edward Vul,Massachusetts Institute of Technology,Graph Policy Network for Transferable Active Learning on Graphs.
1825,1825,Arno Onken,University of Glasgow,Klaus H Obermayer,Technical University of Berlin,Open Graph Benchmark: Datasets for Machine Learning on Graphs.
1826,1826,Emanuel Todorov,University of Washington,Emanuel Todorov,University of Washington,Factorizable Graph Convolutional Networks.
1827,1827,Yusuke Fujiwara,ATR,Yukiyasu Kamitani,None,Graduated Assignment for Joint Multi-Graph Matching and Clustering with Application to Unsupervised Graph Matching Network Learning.
1828,1828,Tetsuro Morimura,IBM,Kenji Doya,Okinawa Institute of Science and Technology Graduate University,Natural Graph Networks.
1829,1829,Tetsuro Morimura,IBM,Kenji Doya,Okinawa Institute of Science and Technology Graduate University,Optimization and Generalization Analysis of Transduction through Gradient Boosting and Application to Multi-scale Graph Neural Networks.
1830,1830,Kamalika Chaudhuri,UCSD,Daniel Hsu,Columbia University,Ridge Rider: Finding Diverse Solutions by Following Eigenvectors of the Hessian.
1831,1831,Marek Petrik,IBM,Shlomo Zilberstein,Univ of Mass,Sinkhorn Natural Gradient for Generative Models.
1832,1832,Sebastian Gerwinn,MPI for Biological Cybernetics & University of Tübingen,Matthias Bethge,University Tübingen,Nonconvex Sparse Graph Learning under Laplacian Constrained Graphical Model.
1833,1833,Raman Arora,Johns Hopkins University,Raman Arora,Johns Hopkins University,Effective Dimension Adaptive Sketching Methods for Faster Regularized Least-Squares Optimization.
1834,1834,Baback Moghaddam,Caltech,Kevin P Murphy,Google,Faster Randomized Infeasible Interior Point Methods for Tall/Wide Linear Programs.
1835,1835,Yiming Ying,State University of New York at Albany,Mark A Girolami,University of Glasgow,Debiasing Distributed Second Order Optimization with Surrogate Sketching and Scaled Regularization.
1836,1836,Dilip Krishnan,NYU,Rob Fergus,DeepMind / NYU,Tight last-iterate convergence rates for no-regret learning in multi-player games.
1837,1837,Nir Ailon,Technion,Claire Monteleoni,University of Colorado Boulder,A General Large Neighborhood Search Framework for Solving Integer Linear Programs.
1838,1838,Yiming Ying,State University of New York at Albany,Mark A Girolami,University of Glasgow,Sinkhorn Barycenter via Functional Gradient Descent.
