,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
1859,1859,Arthur Choi,UCLA,Adnan Darwiche,UCLA,Escaping Saddle-Point Faster under Interpolation-like Conditions.
1860,1860,Mike Mozer,Google Research and U. Colorado Boulder,Edward Vul,Massachusetts Institute of Technology,Learning Loss for Test-Time Augmentation.
1861,1861,Menachem Fromer,Hebrew University,Amir Globerson,"Tel Aviv University, Google",Towards Crowdsourced Training of Large Neural Networks using Decentralized Mixture-of-Experts.
1862,1862,Stefan Klampfl,Graz University of Technology,Wolfgang Maass,Graz University of Technology,MMA Regularization: Decorrelating Weights of Neural Networks by Maximizing the Minimal Angles.
1863,1863,David P Wipf,AWS,Sri Nagarajan,UCSF,The Dilemma of TriHard Loss and an Element-Weighted TriHard Loss for Person Re-Identification.
1864,1864,Zenglin Xu,University of Electronic Science & Technology of China,Zhirong Yang,Aalto University,Is normalization indispensable for training deep neural network? .
1865,1865,Menachem Fromer,Hebrew University,Amir Globerson,"Tel Aviv University, Google",SCOP: Scientific Control for Reliable Neural Network Pruning.
1866,1866,Mike Mozer,Google Research and U. Colorado Boulder,Edward Vul,Massachusetts Institute of Technology,Train-by-Reconnect: Decoupling Locations of Weights from Their Values.
1867,1867,Bernhard Nessler,TU-Graz,Wolfgang Maass,Graz University of Technology,Deep Metric Learning with Spherical Embedding.
1868,1868,Youngmin Cho,"University of California, San Diego",Lawrence Saul,UC San Diego,Kernel Based Progressive Distillation for Adder Neural Networks.
1869,1869,Alekh Agarwal,UC Berkeley,Martin J Wainwright,UC Berkeley,Top-KAST: Top-K Always Sparse Training.
1870,1870,Jaakko Luttinen,Aalto University,Alexander Ilin,Helsinki University of Technology,Task-Oriented Feature Distillation.
1871,1871,David P Wipf,AWS,Sri Nagarajan,UCSF,Rotated Binary Neural Network.
1872,1872,HongJing Lu,UCLA,Alan L Yuille,UCLA,Agree to Disagree: Adaptive Ensemble Knowledge Distillation in Gradient Space.
1873,1873,Robert Legenstein,Graz University of Technology,Wolfgang Maass,Graz University of Technology,Sparse Weight Activation Training.
1874,1874,Katherine Heller,Duke,Nick Chater,None,Recurrent Quantum Neural Networks.
1875,1875,Piyush Rai,Duke University,Hal Daumé III,Univ of Maryland / Microsoft Research,Efficient Variational Inference for Sparse Deep Learning with Theoretical Guarantee.
