539,539,Jonathan Chang,Facebook,David Blei,Columbia University,FLAMBE: Structural Complexity and Representation Learning of Low Rank MDPs.
540,540,Vinayak Rao,Purdue University,Yee Whye Teh,"University of Oxford, DeepMind",Sample-Efficient Reinforcement Learning of Undercomplete POMDPs.
541,541,Shuai Huang,Arizona State University,Jieping Ye,Arizona State University,Provably Efficient Online Hyperparameter Optimization with Population-Based Bandits.
542,542,Michael Wick,Oracle Labs,Andrew McCallum,UMass Amherst,Self-Supervised MultiModal Versatile Networks.
543,543,Sundeep Rangan,Qualcomm,Vivek K Goyal,Massachusetts Institute of Technology,Deep Subspace Clustering with Data Augmentation.
544,544,Marius Kloft,TU Kaiserslautern,Alexander Zien,LIFE Biosystems GmbH,Learning Retrospective Knowledge with Reverse Reinforcement Learning.
545,545,Allie Fletcher,UCLA,Sundeep Rangan,Qualcomm,The MAGICAL Benchmark for Robust Imitation.
546,546,Charles Kemp,Carnegie Mellon University,Alan Jern,Rose-Hulman Institute of Technology,Sample Efficient Reinforcement Learning via Low-Rank Matrix Estimation.
547,547,Theodore Perkins,Ottawa Hospital Research Institute,Theodore Perkins,Ottawa Hospital Research Institute,Counterfactual Data Augmentation using Locally Factored Dynamics.
548,548,Jonathan Huang,google.com,Carlos Guestrin,University of Washington,POMDPs in Continuous Time and Discrete Spaces.
549,549,Raman Arora,Johns Hopkins University,Raman Arora,Johns Hopkins University,Long-Horizon Visual Planning with Goal-Conditioned Hierarchical Predictors.
550,550,Liefeng Bo,Intel Labs,Cristian Sminchisescu,Lund University/Google,Forethought and Hindsight in Credit Assignment.
551,551,Jonathan Huang,google.com,Carlos Guestrin,University of Washington,Learning Multi-Agent Communication through Structured Attentive Reasoning.
552,552,Robert Legenstein,Graz University of Technology,Wolfgang Maass,Graz University of Technology,MultiON: Benchmarking Semantic Map Memory using Multi-Object Navigation.
553,553,Kaushik Sinha,The Ohio State University,Mikhail Belkin,Ohio State University,Influence-Augmented Online Planning for Complex Environments.
554,554,Ofer Dekel,Microsoft Research,Ofer Dekel,Microsoft Research,Security Analysis of Safe and Seldonian Reinforcement Learning Algorithms.
555,555,Martin Allen,Connecticut College,Shlomo Zilberstein,Univ of Mass,Provably Efficient Neural GTD for Off-Policy Learning.
556,556,Katherine Heller,Duke,Nick Chater,None,An Equivalence between Loss Functions and Non-Uniform Sampling in Experience Replay.
557,557,Michael Wick,Oracle Labs,Andrew McCallum,UMass Amherst,Comparator-Adaptive Convex Bandits.
558,558,Chonghai Hu,Zhejiang University,Weike Pan,Hong Kong UST,Conservative Q-Learning for Offline Reinforcement Learning.
