659,659,Cosmin A Bejan,The University of Texas at Dallas,Sanda Harabagiu,University of Texas at Dallas,On the Trade-off between Adversarial and Backdoor Robustness.
660,660,Andrew McCallum,UMass Amherst,Sameer Singh,"University of California, Irvine",An Efficient Adversarial Attack for Tree Ensembles.
661,661,Vinod Nair,University of Toronto,Geoffrey E Hinton,Google & University of Toronto,Adversarial Self-Supervised Contrastive Learning.
662,662,Yusuke Fujiwara,ATR,Yukiyasu Kamitani,None,Adversarial Weight Perturbation Helps Robust Generalization.
663,663,Ian H Stevenson,University of Connecticut,Konrad Koerding,None,Large-Scale Adversarial Training for Vision-and-Language Representation Learning.
664,664,Le Song,Carnegie Mellon University,Eric Xing,Petuum Inc. /  Carnegie Mellon University,GreedyFool: Distortion-Aware Sparse Adversarial Attack.
665,665,Menachem Fromer,Hebrew University,Amir Globerson,"Tel Aviv University, Google",Consistency Regularization for Certified Robustness of Smoothed Classifiers.
666,666,Russ Salakhutdinov,Carnegie Mellon University,Geoffrey E Hinton,Google & University of Toronto,Measuring Robustness to Natural Distribution Shifts in Image Classification.
667,667,Andrea Montanari,Stanford,José Bento,Boston College,Certified Monotonic Neural Networks.
668,668,Sennay Ghebreab,None,Arnold Smeulders,None,Backpropagating Linearly Improves Transferability of Adversarial Examples.
669,669,Menachem Fromer,Hebrew University,Amir Globerson,"Tel Aviv University, Google",Practical No-box Adversarial Attacks against DNNs.
670,670,Novi Quadrianto,University of Sussex and HSE,Dale Schuurmans,Google Brain & University of Alberta,Learning to Adapt to Evolving Domains.
671,671,Russ Salakhutdinov,Carnegie Mellon University,Geoffrey E Hinton,Google & University of Toronto,MetaPerturb: Transferable Regularizer for Heterogeneous Tasks and Architectures.
672,672,Chunxiao Zhou,NIH (National Institutes of Health),Yongmei Michelle Wang,None,Heuristic Domain Adaptation.
673,673,Corinna Cortes,Google Research,Afshin Rostamizadeh,Google Research,Adversarial Style Mining for One-Shot Unsupervised Domain Adaptation.
674,674,Anne Hsu,UC Berkeley,Tom Griffiths,Princeton,Robust Recovery via Implicit Bias of Discrepant Learning Rates for Double Over-parameterization.
675,675,Jaakko Luttinen,Aalto University,Alexander Ilin,Helsinki University of Technology,Self-paced Contrastive Learning with Hybrid Memory for Domain Adaptive Object Re-ID.
676,676,Vinayak Rao,Purdue University,Yee Whye Teh,"University of Oxford, DeepMind",Implicit Neural Representations with Periodic Activation Functions.
677,677,Wenming Zheng,Southeast University,Zhouchen Lin,Microsoft Research Asia,Rethinking Pre-training and Self-training.
678,678,Cosmin A Bejan,The University of Texas at Dallas,Sanda Harabagiu,University of Texas at Dallas,MetaSDF: Meta-Learning Signed Distance Functions.
