699,699,Samuel J Gershman,Harvard University,Josh Tenenbaum,MIT,Quantifying the Empirical Wasserstein Distance to a Set of Measures: Beating the Curse of Dimensionality.
700,700,Theodore Perkins,Ottawa Hospital Research Institute,Theodore Perkins,Ottawa Hospital Research Institute,Distributional Robustness with IPMs and links to Regularization and GANs.
701,701,Jaakko Luttinen,Aalto University,Alexander Ilin,Helsinki University of Technology,Towards Convergence Rate Analysis of Random Forests for Classification.
702,702,David P Wipf,AWS,Sri Nagarajan,UCSF,Learning to Mutate with Hypergradient Guided Population.
703,703,Xiao-Ming Wu,Columbia University,Shuo-Yen Robert Li,None,Robust Disentanglement of a Few Factors at a Time using rPU-VAE.
704,704,Raghu Meka,None,Inderjit Dhillon,UT Austin & Amazon,Self-Supervised Graph Transformer on Large-Scale Molecular Data.
705,705,John Duchi,UC Berkeley,Yoram Singer,Princeton,TorsionNet: A Reinforcement Learning Approach to Sequential Conformer Search.
706,706,Peter Orbanz,Columbia University,Peter Orbanz,Columbia University,TaylorGAN: Neighbor-Augmented Policy Update Towards Sample-Efficient Natural Language Generation.
707,707,Anne Hsu,UC Berkeley,Tom Griffiths,Princeton,Towards Interpretable Natural Language Understanding with Explanations as Latent Variables.
708,708,Amarnag Subramanya,Google Inc.,Jeff A Bilmes,"University of Washington, Seattle",Learning to summarize with human feedback.
709,709,Tai Sing Lee,Carnegie Mellon University,Tai Sing Lee,Carnegie Mellon University,Language-Conditioned Imitation Learning for Robot Manipulation Tasks.
710,710,Sahand N Negahban,"University of California, Berkeley",Bin Yu,None,Guiding Deep Molecular Optimization with Genetic Exploration.
711,711,Katherine Heller,Duke,Nick Chater,None,What is being transferred in transfer learning? .
712,712,Emily Fox,"University of Washington, Apple",Alan S Willsky,Massachusetts Institute of Technology,"What shapes feature representations? Exploring datasets, architectures, and training."
713,713,Le Song,Carnegie Mellon University,Eric Xing,Petuum Inc. /  Carnegie Mellon University,FracTrain: Fractionally Squeezing Bit Savings Both Temporally and Spatially for Efficient DNN Training.
714,714,Yacov Crammer,Technion,Mark Dredze,Johns Hopkins,Benchmarking Deep Learning Interpretability in Time Series Predictions.
715,715,Andrew McCallum,UMass Amherst,Sameer Singh,"University of California, Irvine",Stochastic Deep Gaussian Processes over Graphs.
716,716,Ingo Steinwart,Los Alamos National Laboratory,Andreas Christmann,University of Bayreuth,Minimax Lower Bounds for Transfer Learning with Linear and One-hidden Layer Neural Networks.
717,717,Kevin G Waugh,University of Alberta,Michael Bowling,DeepMind / University of Alberta,Rethinking Learnable Tree Filter for Generic Feature Transform.
718,718,Theodore Perkins,Ottawa Hospital Research Institute,Theodore Perkins,Ottawa Hospital Research Institute,SOLOv2: Dynamic and Fast Instance Segmentation.
