719,719,Corinna Cortes,Google Research,Afshin Rostamizadeh,Google Research,HOI Analysis: Integrating and Decomposing Human-Object Interaction.
720,720,Kai Yu,Baidu,Yihong Gong,None,RANet: Region Attention Network for Semantic Segmentation.
721,721,Xiao-Ming Wu,Columbia University,Shuo-Yen Robert Li,None,ICNet: Intra-saliency Correlation Network for Co-Saliency Detection.
722,722,Bing Bai,NEC Labs America,Mehryar Mohri,Google Research & Courant Institute of Mathematical Sciences,Few-Cost Salient Object Detection with Adversarial-Paced Learning.
723,723,Roger Luo,Snap Inc.,Vittorio Ferrari,University of Edinburgh,Detecting Hands and Recognizing Physical Contact in the Wild.
724,724,Tomer D Ullman,Massachusetts Institute of Technology,Josh Tenenbaum,MIT,Targeted Adversarial Perturbations for Monocular Depth Prediction.
725,725,Samuel Rota Bulò,Università Ca' Foscari,Marcello Pelillo,Università Ca' Foscari di Venezia,Self-Supervised Visual Representation Learning from Hierarchical Grouping.
726,726,Jack Culpepper,UC Berkeley,Bruno Olshausen,Redwood Center/UC Berkeley,Learning Affordance Landscapes for Interaction Exploration in 3D Environments.
727,727,Jian Peng,TTI Chicago,Jinbo Xu,Toyota Tech Inst at Chicago,Deep Variational Instance Segmentation.
728,728,Bryan C Russell,U Washington,Andrew Zisserman,DeepMind & University of Oxford,Auto-Panoptic: Cooperative Multi-Component Architecture Search for Panoptic Segmentation.
729,729,James Bergstra,Kindred,Yoshua Bengio,University of Montreal,Fine-Grained Dynamic Head for Object Detection.
730,730,Guillermo Cecchi,IBM Research,Jean-Baptiste Poline,CEA-INSERM,Learning About Objects by Learning to Interact with Them.
731,731,Zenglin Xu,University of Electronic Science & Technology of China,Zhirong Yang,Aalto University,Rel3D: A Minimally Contrastive Benchmark for Grounding Spatial Relations in 3D.
732,732,Jaakko Luttinen,Aalto University,Alexander Ilin,Helsinki University of Technology,Optimal visual search based on a model of target detectability in natural images.
733,733,Eric K Garcia,University of Washington,Maya R Gupta,University of Washington,Online Influence Maximization under Linear Threshold Model.
734,734,Dilip Krishnan,NYU,Rob Fergus,DeepMind / NYU,Profile Entropy: A Fundamental Measure for the Learnability and Compressibility of Distributions.
735,735,Mike Mozer,Google Research and U. Colorado Boulder,Edward Vul,Massachusetts Institute of Technology,Model Fusion via Optimal Transport.
736,736,Jaakko Luttinen,Aalto University,Alexander Ilin,Helsinki University of Technology,What if Neural Networks had SVDs?.
737,737,Yoshinobu Kawahara,Osaka University / RIKEN,Jeff A Bilmes,"University of Washington, Seattle",Understanding and Improving Fast Adversarial Training.
738,738,Sundeep Rangan,Qualcomm,Vivek K Goyal,Massachusetts Institute of Technology,Posterior Re-calibration for Imbalanced Datasets.
