859,859,Stefan Klampfl,Graz University of Technology,Wolfgang Maass,Graz University of Technology,How do fair decisions fare in long-term qualification?.
860,860,Xiao-Ming Wu,Columbia University,Shuo-Yen Robert Li,None,Fair regression with Wasserstein barycenters.
861,861,Jon McAuliffe,UC Berkeley and Voleon,Jon McAuliffe,UC Berkeley and Voleon,Learning Certified Individually Fair Representations.
862,862,Wenming Zheng,Southeast University,Zhouchen Lin,Microsoft Research Asia,Fairness with Overlapping Groups; a Probabilistic Perspective.
863,863,Brian Kulis,UC Berkeley,Trevor Darrell,UC Berkeley,Consistent Plug-in Classifiers for Complex Objectives and Constraints.
864,864,Emily Fox,"University of Washington, Apple",Alan S Willsky,Massachusetts Institute of Technology,Causal Discovery in Physical Systems from Videos.
865,865,Nir Ailon,Technion,Claire Monteleoni,University of Colorado Boulder,Causal Imitation Learning With Unobserved Confounders.
866,866,Sennay Ghebreab,None,Arnold Smeulders,None,A Class of Algorithms for General Instrumental Variable Models.
867,867,Zhihua Zhang,Shanghai Jiao Tong University,guang dai,zju,Active Invariant Causal Prediction: Experiment Selection through Stability.
868,868,Kevin G Waugh,University of Alberta,Michael Bowling,DeepMind / University of Alberta,Causal Discovery from Soft Interventions with Unknown Targets: Characterization and Learning.
869,869,Odalric-Ambrym Maillard,INRIA,Remi Munos,Google DeepMind,Deep Structural Causal Models for Tractable Counterfactual Inference.
870,870,Wenming Zheng,Southeast University,Zhouchen Lin,Microsoft Research Asia,Reconsidering Generative Objectives For Counterfactual Reasoning.
871,871,Zenglin Xu,University of Electronic Science & Technology of China,Zhirong Yang,Aalto University,High-recall causal discovery for autocorrelated time series with latent confounders.
872,872,George Konidaris,Duke University,Andrew G Barto,University of Massachusetts,Applications of Common Entropy for Causal Inference.
873,873,Theodore Perkins,Ottawa Hospital Research Institute,Theodore Perkins,Ottawa Hospital Research Institute,Entropic Causal Inference: Identifiability and Finite Sample Results.
874,874,Aaron Courville,U. Montreal,Aaron Courville,U. Montreal,General Transportability of Soft Interventions: Completeness Results.
875,875,Antonio Torralba,Massachusetts Institute of Technology,Antonio Torralba,Massachusetts Institute of Technology,Learning Causal Effects via Weighted Empirical Risk Minimization.
876,876,Tomer D Ullman,Massachusetts Institute of Technology,Josh Tenenbaum,MIT,Differentiable Causal Discovery from Interventional Data.
877,877,Shuai Huang,Arizona State University,Jieping Ye,Arizona State University,Generalized Independent Noise Condition for Estimating Latent Variable Causal Graphs.
878,878,Andrew Guillory,University of Washington,Jeff A Bilmes,"University of Washington, Seattle",Bayesian Causal Structural Learning with Zero-Inflated Poisson Bayesian Networks.
