959,959,Vivek Farias,Massachusetts Institute of Technology,Devavrat Shah,Massachusetts Institute of Technology,What Did You Think Would Happen? Explaining Agent Behaviour through Intended Outcomes.
960,960,Peter Orbanz,Columbia University,Peter Orbanz,Columbia University,Sequence to Multi-Sequence Learning via Conditional Chain Mapping for Mixture Signals.
961,961,Robert C Wilson,Princeton University,Leif Finkel,None,Learning Mutational Semantics.
962,962,Lin Xiao,Facebook AI Research,Lin Xiao,Facebook AI Research,Zero-Resource Knowledge-Grounded Dialogue Generation.
963,963,Andrea Montanari,Stanford,José Bento,Boston College,Representation Learning for Integrating Multi-domain Outcomes to Optimize Individualized Treatment.
964,964,Sundeep Rangan,Qualcomm,Vivek K Goyal,Massachusetts Institute of Technology,Causal analysis of Covid-19 Spread in Germany.
965,965,Kamalika Chaudhuri,UCSD,Daniel Hsu,Columbia University,Dynamic Fusion of Eye Movement Data and Verbal Narrations in Knowledge-rich Domains.
966,966,Daniel Hsu,Columbia University,Tong Zhang,Tencent,X-CAL: Explicit Calibration for Survival Analysis.
967,967,Hamed Pirsiavash,University of California Irvine,Charless Fowlkes,UC Irvine,Experimental design for MRI by greedy policy search.
968,968,Jon McAuliffe,UC Berkeley and Voleon,Jon McAuliffe,UC Berkeley and Voleon,How Robust are the Estimated Effects of Nonpharmaceutical Interventions against COVID-19?.
969,969,Marius Leordeanu,None,Rahul Sukthankar,Intel Labs and CMU,OrganITE: Optimal transplant donor organ offering using an individual treatment effect.
970,970,Liefeng Bo,Intel Labs,Cristian Sminchisescu,Lund University/Google,When Counterpoint Meets Chinese Folk Melodies.
971,971,Kevin G Waugh,University of Alberta,Michael Bowling,DeepMind / University of Alberta,BERT Loses Patience: Fast and Robust Inference with Early Exit.
972,972,George Konidaris,Duke University,Andrew G Barto,University of Massachusetts,Unsupervised Text Generation by Learning from Search.
973,973,Sebastian Gerwinn,MPI for Biological Cybernetics & University of Tübingen,Matthias Bethge,University Tübingen,Leap-Of-Thought: Teaching Pre-Trained Models to Systematically Reason Over Implicit Knowledge.
974,974,Matthew Wilder,University of Colorado at Boulder,Mike Mozer,Google Research and U. Colorado Boulder,A Spectral Energy Distance for Parallel Speech Synthesis.
975,975,Russ Salakhutdinov,Carnegie Mellon University,Russ Salakhutdinov,Carnegie Mellon University,Compositional Generalization by Learning Analytical Expressions.
976,976,Yang Wang,University of Manitoba,Greg Mori,Borealis AI,A Measure-Theoretic Approach to Kernel Conditional Mean Embeddings.
977,977,Yee Whye Teh,"University of Oxford, DeepMind",DILAN Gorur,DeepMind,Kernel Alignment Risk Estimator: Risk Prediction from Training Data.
978,978,Piyush Rai,Duke University,Hal Daumé III,Univ of Maryland / Microsoft Research,Fourier Sparse Leverage Scores and Approximate Kernel Learning.
