1059,1059,Chenghui Cai,Cantor Fitzgerald,Lawrence Carin,Duke University,Asymmetric Shapley values: incorporating causal knowledge into model-agnostic explainability.
1060,1060,Garvesh Raskutti,SAMSI,Bin Yu,None,Towards Safe Policy Improvement for Non-Stationary MDPs.
1061,1061,Kevin G Waugh,University of Alberta,Michael Bowling,DeepMind / University of Alberta,"Decisions, Counterfactual Explanations and Strategic Behavior."
1062,1062,Hamed Pirsiavash,University of California Irvine,Charless Fowlkes,UC Irvine,From Predictions to Decisions: Using Lookahead Regularization.
1063,1063,Novi Quadrianto,University of Sussex and HSE,Dale Schuurmans,Google Brain & University of Alberta,Model Agnostic Multilevel Explanations.
1064,1064,Brian Kulis,UC Berkeley,Trevor Darrell,UC Berkeley,Achieving Equalized Odds by Resampling Sensitive Attributes.
1065,1065,Sundeep Rangan,Qualcomm,Vivek K Goyal,Massachusetts Institute of Technology,Regularizing Black-box Models for Improved Interpretability.
1066,1066,Hanna Wallach,Microsoft,Andrew McCallum,UMass Amherst,Glyph: Fast and Accurately Training Deep Neural Networks on Encrypted Data.
1067,1067,Rob Fergus,DeepMind / NYU,Antonio Torralba,Massachusetts Institute of Technology,MetaPoison: Practical General-purpose Clean-label Data Poisoning.
1068,1068,Robert Legenstein,Graz University of Technology,Wolfgang Maass,Graz University of Technology,Understanding Gradient Clipping in Private SGD: A Geometric Perspective.
1069,1069,Shobha Venkataraman,AT&T Labs -- Research,Oliver Spatscheck,None,Coresets via Bilevel Optimization for Continual Learning and Streaming.
1070,1070,Kurt T Miller,PDT Partners,Michael Jordan,UC Berkeley,Linear Dynamical Systems as a Core Computational Primitive.
1071,1071,Shakir Mohamed,DeepMind,Finale P Doshi-Velez,Harvard,BanditPAM: Almost Linear Time k-Medoids Clustering via Multi-Armed Bandits.
1072,1072,Garvesh Raskutti,SAMSI,Bin Yu,None,Sliding Window Algorithms for k-Clustering Problems.
1073,1073,Yacov Crammer,Technion,Mark Dredze,Johns Hopkins,Fast and Accurate $k$-means++ via Rejection Sampling.
1074,1074,Ingo Steinwart,Los Alamos National Laboratory,Andreas Christmann,University of Bayreuth,NeuMiss networks: differentiable programming for supervised learning with missing values..
1075,1075,Ian H Stevenson,University of Connecticut,Konrad Koerding,None,Debiasing Averaged Stochastic Gradient Descent to handle missing values.
1076,1076,Tai Sing Lee,Carnegie Mellon University,Tai Sing Lee,Carnegie Mellon University,Coresets for Near-Convex Functions.
1077,1077,Gal Chechik,"NVIDIA, BIU",Samy Bengio,Apple,HiPPO: Recurrent Memory with Optimal Polynomial Projections.
1078,1078,Jonathan Huang,google.com,Carlos Guestrin,University of Washington,Online MAP Inference of Determinantal Point Processes.
