1179,1179,Marius Kloft,TU Kaiserslautern,Alexander Zien,LIFE Biosystems GmbH,Probabilistic Active Meta-Learning.
1180,1180,Chonghai Hu,Zhejiang University,Weike Pan,Hong Kong UST,Meta-Consolidation for Continual Learning.
1181,1181,Vivek Farias,Massachusetts Institute of Technology,Devavrat Shah,Massachusetts Institute of Technology,Understanding the Role of Training Regimes in Continual Learning.
1182,1182,Marco Cuturi,Google Brain  &  CREST - ENSAE,Alexandre d'Aspremont,CNRS - ENS,Supermasks in Superposition.
1183,1183,Matthias Hein,University of Tübingen,Matthias Hein,University of Tübingen,Improved Schemes for Episodic Memory-based Lifelong Learning.
1184,1184,Corinna Cortes,Google Research,Afshin Rostamizadeh,Google Research,Continual Learning with Node-Importance based Adaptive Group Sparse Regularization.
1185,1185,Vinod Nair,University of Toronto,Geoffrey E Hinton,Google & University of Toronto,GAN Memory with No Forgetting.
1186,1186,Alexandre Bouchard-Côté,UBC,Dan Klein,UC Berkeley,Meta-Learning with Adaptive Hyperparameters.
1187,1187,Samuel Rota Bulò,Università Ca' Foscari,Marcello Pelillo,Università Ca' Foscari di Venezia,Online Structured Meta-learning.
1188,1188,Martin A Zinkevich,Yahoo! Inc.,John Langford,None,Modeling and Optimization Trade-off in Meta-learning.
1189,1189,Kurt T Miller,PDT Partners,Michael Jordan,UC Berkeley,Structured Prediction for Conditional Meta-Learning.
1190,1190,Jake Bouvrie,Massachusetts Institute of Technology,Tomaso Poggio,MIT,Meta-learning from Tasks with Heterogeneous Attribute Spaces.
1191,1191,Emily Fox,"University of Washington, Apple",Alan S Willsky,Massachusetts Institute of Technology,Gradient-EM Bayesian Meta-Learning.
1192,1192,Sebastian Gerwinn,MPI for Biological Cybernetics & University of Tübingen,Matthias Bethge,University Tübingen,MATE: Plugging in Model Awareness to Task Embedding for Meta Learning.
1193,1193,Lawrence Cayton,Max Planck Institute for Biological Cybernetics,Lawrence Cayton,Max Planck Institute for Biological Cybernetics,Neural Complexity Measures.
1194,1194,Samuel J Gershman,Harvard University,Josh Tenenbaum,MIT,Modular Meta-Learning with Shrinkage.
1195,1195,Cosmin A Bejan,The University of Texas at Dallas,Sanda Harabagiu,University of Texas at Dallas,Gradient Surgery for Multi-Task Learning.
1196,1196,Liefeng Bo,Intel Labs,Cristian Sminchisescu,Lund University/Google,Organizing recurrent network dynamics by task-computation to enable continual learning.
1197,1197,Tao Hu,"JFRC, HHMI",Dmitri B Chklovskii,HHMI,Finding the Homology of Decision Boundaries with Active Learning.
1198,1198,Daniel Hsu,Columbia University,Tong Zhang,Tencent,Exemplar Guided Active Learning.
