1219,1219,Boaz Nadler,Weizmann Institute of Science,Xueyuan Zhou,None,Counterfactual Vision-and-Language Navigation: Unravelling the Unseen.
1220,1220,Vijay Desai,None,Ciamac C Moallemi,Columbia University,Neural FFTs for Universal Texture Image Synthesis.
1221,1221,Sennay Ghebreab,None,Arnold Smeulders,None,CodeCMR: Cross-Modal Retrieval For Function-Level Binary Source Code Matching.
1222,1222,Kevin G Waugh,University of Alberta,Michael Bowling,DeepMind / University of Alberta,"Synthesize, Execute and Debug: Learning to Repair for Neural Program Synthesis."
1223,1223,Honglak Lee,U. Michigan,Andrew Y Ng,DeepLearning.AI,EvolveGraph: Multi-Agent Trajectory Prediction with Dynamic Relational Reasoning.
1224,1224,Elad Hazan,Princeton University,Satyen Kale,Google,Adaptive Graph Convolutional Recurrent Network for Traffic Forecasting.
1225,1225,Ingo Steinwart,Los Alamos National Laboratory,Andreas Christmann,University of Bayreuth,JAX MD: A Framework for Differentiable Physics.
1226,1226,Kurt T Miller,PDT Partners,Michael Jordan,UC Berkeley,Multi-agent Trajectory Prediction with Fuzzy Query Attention.
1227,1227,Andrew Guillory,University of Washington,Jeff A Bilmes,"University of Washington, Seattle",Learning Agent Representations for Ice Hockey.
1228,1228,Kurt T Miller,PDT Partners,Michael Jordan,UC Berkeley,Correlation Robust Influence Maximization.
1229,1229,Jake Bouvrie,Massachusetts Institute of Technology,Tomaso Poggio,MIT,On Adaptive Distance Estimation.
1230,1230,Lin Xiao,Facebook AI Research,Lin Xiao,Facebook AI Research,Recovery of sparse linear classifiers from mixture of responses.
1231,1231,Jaakko Luttinen,Aalto University,Alexander Ilin,Helsinki University of Technology,Robustness of Community Detection to Random Geometric Perturbations.
1232,1232,Brian Kulis,UC Berkeley,Trevor Darrell,UC Berkeley,Entrywise convergence of iterative methods for eigenproblems.
1233,1233,Vivek Farias,Massachusetts Institute of Technology,Devavrat Shah,Massachusetts Institute of Technology,Optimal Iterative Sketching Methods with the Subsampled Randomized Hadamard Transform.
1234,1234,Le Song,Carnegie Mellon University,Eric Xing,Petuum Inc. /  Carnegie Mellon University,Beyond Lazy Training for Over-parameterized Tensor Decomposition.
1235,1235,Tai Sing Lee,Carnegie Mellon University,Tai Sing Lee,Carnegie Mellon University,Estimating Rank-One Spikes from Heavy-Tailed Noise via Self-Avoiding Walks.
1236,1236,Peter Sollich,King's College London,Camille Coti,INRIA Saclay-Île de France,Improved guarantees and a multiple-descent curve for Column Subset Selection and the Nystrom method.
1237,1237,Marek Petrik,IBM,Shlomo Zilberstein,Univ of Mass,Precise expressions for random projections: Low-rank approximation and randomized Newton.
1238,1238,Lawrence Cayton,Max Planck Institute for Biological Cybernetics,Lawrence Cayton,Max Planck Institute for Biological Cybernetics,Matrix Completion with Hierarchical Graph Side Information.
