1239,1239,Emily Fox,"University of Washington, Apple",Alan S Willsky,Massachusetts Institute of Technology,A Matrix Chernoff Bound for Markov Chains and Its Application to Co-occurrence Matrices.
1240,1240,Cosmin A Bejan,The University of Texas at Dallas,Sanda Harabagiu,University of Texas at Dallas,Fairness constraints can help exact inference in structured prediction.
1241,1241,Baback Moghaddam,Caltech,Kevin P Murphy,Google,Exact expressions for double descent and implicit regularization via surrogate random design.
1242,1242,Gideon S Mann,Google Inc.,Dan Walker,None,"SURF: A Simple, Universal, Robust, Fast Distribution Learning Algorithm."
1243,1243,Joel Veness,DeepMind,Alan Blair,None,Uncertainty Aware Semi-Supervised Learning on Graph Data.
1244,1244,Menachem Fromer,Hebrew University,Amir Globerson,"Tel Aviv University, Google",Calibrated Reliable Regression using Maximum Mean Discrepancy.
1245,1245,Joseph Schlecht,University of Arizona,Kobus Barnard,University of Arizona,Energy-based Out-of-distribution Detection.
1246,1246,Kwang In Kim,Saarland University,Matthias Hein,University of Tübingen,Neural Manifold Ordinary Differential Equations.
1247,1247,Amarnag Subramanya,Google Inc.,Jeff A Bilmes,"University of Washington, Seattle",NanoFlow: Scalable Normalizing Flows with Sublinear Parameter Complexity.
1248,1248,Alexander Ihler,UC Irvine,Padhraic Smyth,"University of California, Irvine",Learning to search efficiently for causally near-optimal treatments.
1249,1249,Mingyuan Zhou,University of Texas at Austin,Larry Carin,None,General Control Functions for Causal Effect Estimation from IVs.
1250,1250,George Konidaris,Duke University,Andrew G Barto,University of Massachusetts,Characterizing Optimal Mixed Policies: Where to Intervene and What to Observe.
1251,1251,Brian Kulis,UC Berkeley,Trevor Darrell,UC Berkeley,Active Structure Learning of Causal DAGs via Directed Clique Trees.
1252,1252,Paris Smaragdis,University of Illinois Urbana-Champaign,Bhiksha Raj,Carnegie Mellon University,Adaptive Experimental Design with Temporal Interference: A Maximum Likelihood Approach.
1253,1253,Bryan C Russell,U Washington,Andrew Zisserman,DeepMind & University of Oxford,Deep Relational Topic Modeling via Graph Poisson Gamma Belief Network.
1254,1254,Manqi Zhao,Boston Univesity,Venkatesh Saligrama,Boston University,Promoting Stochasticity for Expressive Policies via a Simple and Efficient Regularization Method.
1255,1255,Andrew Guillory,University of Washington,Jeff A Bilmes,"University of Washington, Seattle",Evaluating and Rewarding Teamwork Using Cooperative Game Abstractions.
1256,1256,Anne Hsu,UC Berkeley,Tom Griffiths,Princeton,Efficient Distance Approximation for Structured High-Dimensional Distributions via Learning.
1257,1257,Ian H Stevenson,University of Connecticut,Konrad Koerding,None,Unreasonable Effectiveness of Greedy Algorithms in Multi-Armed Bandit with Many Arms.
1258,1258,Shakir Mohamed,DeepMind,Finale P Doshi-Velez,Harvard,Batched Coarse Ranking in Multi-Armed Bandits.
