1339,1339,Matt Streeter,Duolingo,Andreas Krause,ETH Zurich,Manifold GPLVMs for discovering non-Euclidean latent structure in neural data.
1340,1340,Bill Triggs,CNRS,Bill Triggs,CNRS,Online Neural Connectivity Estimation with Noisy Group Testing.
1341,1341,Aaron Courville,U. Montreal,Aaron Courville,U. Montreal,Recurrent Switching Dynamical Systems Models for Multiple Interacting Neural Populations.
1342,1342,Hanna Wallach,Microsoft,Andrew McCallum,UMass Amherst,Rescuing neural spike train models from bad MLE.
1343,1343,M. Pawan Kumar,Stanford University,Daphne Koller,insitro,Flows for simultaneous manifold learning and density estimation.
1344,1344,Kurt T Miller,PDT Partners,Michael Jordan,UC Berkeley,Multimodal Generative Learning Utilizing Jensen-Shannon-Divergence.
1345,1345,Shobha Venkataraman,AT&T Labs -- Research,Oliver Spatscheck,None,SurVAE Flows: Surjections to Bridge the Gap between VAEs and Flows.
1346,1346,Siamac Fazli,TU Berlin,Klaus-Robert Müller,TU Berlin,User-Dependent Neural Sequence Models for Continuous-Time Event Data.
1347,1347,Chong Wang,ByteDance Inc.,David Blei,Columbia University,Adversarially-learned Inference via an Ensemble of Discrete Undirected Graphical Models.
1348,1348,Xiao-Ming Wu,Columbia University,Shuo-Yen Robert Li,None,Hierarchical Quantized Autoencoders.
1349,1349,James Bergstra,Kindred,Yoshua Bengio,University of Montreal,Riemannian Continuous Normalizing Flows.
1350,1350,Liang Sun,Opera Solutions,Jieping Ye,Arizona State University,Efficient Learning of Generative Models via Finite-Difference Score Matching.
1351,1351,Joao V Graca,L2F INESC-ID Lisboa,Fernando Pereira,Google,Learning Latent Space Energy-Based Prior Model.
1352,1352,Pari Ram,IBM Research,Alexander Gray,Skytree Inc. and Georgia Tech,Gaussian Process Bandit Optimization of the Thermodynamic Variational Objective.
1353,1353,Shobha Venkataraman,AT&T Labs -- Research,Oliver Spatscheck,None,VAEM: a Deep Generative Model for Heterogeneous Mixed Type Data.
1354,1354,Manqi Zhao,Boston Univesity,Venkatesh Saligrama,Boston University,Stochastic Normalizing Flows.
1355,1355,Guillermo Cecchi,IBM Research,Jean-Baptiste Poline,CEA-INSERM,Fast and Flexible Temporal Point Processes with Triangular Maps.
1356,1356,Zenglin Xu,University of Electronic Science & Technology of China,Zhirong Yang,Aalto University,Deep Rao-Blackwellised Particle Filters for Time Series Forecasting.
1357,1357,Martin A Zinkevich,Yahoo! Inc.,John Langford,None,Neural Dynamic Policies for End-to-End Sensorimotor Learning.
1358,1358,Lei ShiUpdateMe,"University of California, Berkeley",Tom Griffiths,Princeton,Critic Regularized Regression.
