1479,1479,Jack Culpepper,UC Berkeley,Bruno Olshausen,Redwood Center/UC Berkeley,Convergence of Meta-Learning with Task-Specific Adaptation over Partial Parameters.
1480,1480,Ruben Coen-Cagli,Albert Einstein College of Medicine,Odelia Schwartz,Albert Einstein College of Medicine,Online Sinkhorn: Optimal Transport distances from sample streams.
1481,1481,Samory Kpotufe,Princeton University,Samory Kpotufe,Princeton University,A Non-Asymptotic Analysis for Stein Variational Gradient Descent.
1482,1482,Amarnag Subramanya,Google Inc.,Jeff A Bilmes,"University of Washington, Seattle",SVGD as a kernelized Wasserstein gradient flow of the chi-squared divergence.
1483,1483,Feng Zhou,Carnegie Mellon University,Fernando D De la Torre,Carnegie Mellon University,Lifelong Policy Gradient Learning of Factored Policies for Faster Training Without Forgetting.
1484,1484,Lei ShiUpdateMe,"University of California, Berkeley",Tom Griffiths,Princeton,The NetHack Learning Environment.
1485,1485,Kaushik Sinha,The Ohio State University,Mikhail Belkin,Ohio State University,Discovering Reinforcement Learning Algorithms.
1486,1486,Boaz Nadler,Weizmann Institute of Science,Xueyuan Zhou,None,Latent World Models For Intrinsically Motivated Exploration.
1487,1487,Raghu Meka,None,Inderjit Dhillon,UT Austin & Amazon,Promoting Coordination through Policy Regularization in Multi-Agent Deep Reinforcement Learning.
1488,1488,Sundeep Rangan,Qualcomm,Vivek K Goyal,Massachusetts Institute of Technology,Shared Experience Actor-Critic for Multi-Agent Reinforcement Learning.
1489,1489,Piyush Rai,Duke University,Hal Daumé III,Univ of Maryland / Microsoft Research,Learning to Incentivize Other Learning Agents.
1490,1490,Roger Luo,Snap Inc.,Vittorio Ferrari,University of Edinburgh,Calibration of Shared Equilibria in General Sum Partially Observable Markov Games.
1491,1491,Yee Whye Teh,"University of Oxford, DeepMind",DILAN Gorur,DeepMind,A game-theoretic analysis of networked system control for common-pool resource management using multi-agent reinforcement learning.
1492,1492,Hanna Wallach,Microsoft,Andrew McCallum,UMass Amherst,Learning to Play No-Press Diplomacy with Best Response Policy Iteration.
1493,1493,Shuai Huang,Arizona State University,Jieping Ye,Arizona State University,A Boolean Task Algebra for Reinforcement Learning.
1494,1494,Vinod Nair,University of Toronto,Geoffrey E Hinton,Google & University of Toronto,Knowledge Transfer in Multi-Task Deep Reinforcement Learning for Continuous Control.
1495,1495,Vijay Desai,None,Ciamac C Moallemi,Columbia University,Munchausen Reinforcement Learning.
1496,1496,Brian Kulis,UC Berkeley,Trevor Darrell,UC Berkeley,Information-theoretic Task Selection for Meta-Reinforcement Learning.
1497,1497,Jonathan Chang,Facebook,David Blei,Columbia University,Automatic Curriculum Learning through Value Disagreement.
1498,1498,Shakir Mohamed,DeepMind,Finale P Doshi-Velez,Harvard,Combining Deep Reinforcement Learning and Search for Imperfect-Information Games.
