1639,1639,Allie Fletcher,UCLA,Sundeep Rangan,Qualcomm,Directional convergence and alignment in deep learning.
1640,1640,Jian Peng,TTI Chicago,Jinbo Xu,Toyota Tech Inst at Chicago,Black-Box Ripper: Copying black-box models using generative evolutionary algorithms.
1641,1641,Marius Leordeanu,None,Rahul Sukthankar,Intel Labs and CMU,Consistent feature selection for analytic deep neural networks.
1642,1642,Sennay Ghebreab,None,Arnold Smeulders,None,Fast Adversarial Robustness Certification of Nearest Prototype Classifiers for Arbitrary Seminorms.
1643,1643,Shuai Huang,Arizona State University,Jieping Ye,Arizona State University,Sampling from a k-DPP without looking at all items.
1644,1644,Marco Cuturi,Google Brain  &  CREST - ENSAE,Alexandre d'Aspremont,CNRS - ENS,Optimal Learning from Verified Training Data.
1645,1645,Baback Moghaddam,Caltech,Kevin P Murphy,Google,Empirical Likelihood for Contextual Bandits.
1646,1646,Joao V Graca,L2F INESC-ID Lisboa,Fernando Pereira,Google,Sufficient dimension reduction for classification using principal optimal transport direction.
1647,1647,Roger Luo,Snap Inc.,Vittorio Ferrari,University of Edinburgh,The Advantage of Conditional Meta-Learning for Biased Regularization and Fine Tuning.
1648,1648,Bharath Sriperumbudur,The Pennsylvania State University,Gert Lanckriet,U.C. San Diego,On the Role of Sparsity and DAG Constraints for Learning Linear DAGs.
1649,1649,Garvesh Raskutti,SAMSI,Bin Yu,None,Listening to Sounds of Silence for Speech Denoising.
1650,1650,Yusuke Watanabe,The Institute of Statistical Mathematics,Kenji Fukumizu,Institute of Statistical Mathematics / Preferred Networks / RIKEN AIP,A Convolutional Auto-Encoder for Haplotype Assembly and Viral Quasispecies Reconstruction.
1651,1651,Maxim Raginsky,University of Illinois at Urbana-Champaign,Svetlana Lazebnik,UIUC,Geometric All-way Boolean Tensor Decomposition.
1652,1652,Xiao-Ming Wu,Columbia University,Shuo-Yen Robert Li,None,A novel variational form of the Schatten-$p$ quasi-norm.
1653,1653,Siamac Fazli,TU Berlin,Klaus-Robert Müller,TU Berlin,Distributionally Robust Parametric Maximum Likelihood Estimation.
1654,1654,Roger Luo,Snap Inc.,Vittorio Ferrari,University of Edinburgh,Adaptive Probing Policies for Shortest Path Routing.
1655,1655,Ian H Stevenson,University of Connecticut,Konrad Koerding,None,Optimal Approximation - Smoothness Tradeoffs for Soft-Max Functions.
1656,1656,Sennay Ghebreab,None,Arnold Smeulders,None,Content Provider Dynamics and Coordination in Recommendation Ecosystems.
1657,1657,Ruben Coen-Cagli,Albert Einstein College of Medicine,Odelia Schwartz,Albert Einstein College of Medicine,Non-parametric Models for Non-negative Functions.
1658,1658,John Duchi,UC Berkeley,Yoram Singer,Princeton,Program Synthesis with Pragmatic Communication.
