1719,1719,Maxim Raginsky,University of Illinois at Urbana-Champaign,Svetlana Lazebnik,UIUC,Learning Some Popular Gaussian Graphical Models without Condition Number Bounds.
1720,1720,Feng Zhou,Carnegie Mellon University,Fernando D De la Torre,Carnegie Mellon University,Fixed-Support Wasserstein Barycenters: Computational Hardness and Fast Algorithm.
1721,1721,Feng Zhou,Carnegie Mellon University,Fernando D De la Torre,Carnegie Mellon University,Projection Robust Wasserstein Distance and Riemannian Optimization.
1722,1722,Kwang In Kim,Saarland University,Matthias Hein,University of Tübingen,Theoretical Insights Into Multiclass Classification: A High-dimensional Asymptotic View.
1723,1723,Percy Liang,Stanford University,Michael Jordan,UC Berkeley,Minimax Bounds for Generalized Linear Models.
1724,1724,Raman Arora,Johns Hopkins University,Raman Arora,Johns Hopkins University,Generalization bound of globally optimal non-convex neural network training: Transportation map estimation by infinite dimensional Langevin dynamics.
1725,1725,Vinayak Rao,Purdue University,Yee Whye Teh,"University of Oxford, DeepMind",Deep reconstruction of strange attractors from time series.
1726,1726,Matthew Wilder,University of Colorado at Boulder,Mike Mozer,Google Research and U. Colorado Boulder,STEER : Simple Temporal Regularization For Neural ODE.
1727,1727,Matt Streeter,Duolingo,Andreas Krause,ETH Zurich,Learning Manifold Implicitly via Explicit Heat-Kernel Learning.
1728,1728,Chenghui Cai,Cantor Fitzgerald,Lawrence Carin,Duke University,Better Set Representations For Relational Reasoning.
1729,1729,Manqi Zhao,Boston Univesity,Venkatesh Saligrama,Boston University,Intra Order-preserving Functions for Calibration of Multi-Class Neural Networks.
1730,1730,Samuel J Gershman,Harvard University,Josh Tenenbaum,MIT,Model Inversion Networks for Model-Based Optimization.
1731,1731,Lei ShiUpdateMe,"University of California, Berkeley",Tom Griffiths,Princeton,Variational Amodal Object Completion.
1732,1732,Lei ShiUpdateMe,"University of California, Berkeley",Tom Griffiths,Princeton,Low Distortion Block-Resampling with Spatially Stochastic Networks.
1733,1733,Wu-Jun Li,Nanjing University,Zhihua Zhang,Shanghai Jiao Tong University,Understanding Deep Architecture with Reasoning Layer.
1734,1734,Bernhard Nessler,TU-Graz,Wolfgang Maass,Graz University of Technology,AdaTune: Adaptive Tensor Program Compilation Made Efficient.
1735,1735,Joseph Schlecht,University of Arizona,Kobus Barnard,University of Arizona,CircleGAN: Generative Adversarial Learning across Spherical Circles.
1736,1736,Brian Kulis,UC Berkeley,Trevor Darrell,UC Berkeley,SoftFlow: Probabilistic Framework for Normalizing Flow on Manifolds.
1737,1737,Jack Culpepper,UC Berkeley,Bruno Olshausen,Redwood Center/UC Berkeley,Improved Techniques for Training Score-Based Generative Models.
1738,1738,Theodore Perkins,Ottawa Hospital Research Institute,Theodore Perkins,Ottawa Hospital Research Institute,"UDH: Universal Deep Hiding for Steganography, Watermarking, and Light Field Messaging."
