,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
0,0,Leon A Gatys,University of Tübingen,Matthias Bethge,"CIN, University Tübingen",Texture Synthesis Using Convolutional Neural Networks.
1,1,Ming Liang,Tsinghua University,Bo Zhang,Tsinghua University,Convolutional Neural Networks with Intra-Layer Recurrent Connections for Scene Labeling.
2,2,Oriol Vinyals,Google,Geoffrey Hinton,Google,Grammar as a Foreign Language.
3,3,Kisuk Lee,MIT,H. Sebastian Seung,Princeton University,Recursive Training of 2D-3D Convolutional Networks for Neuronal Boundary Prediction.
4,4,Lucas Theis,U.Tuebingen,Matthias Bethge,"CIN, University Tübingen",Generative Image Modeling Using Spatial LSTMs.
5,5,Shaoqing Ren,USTC,Jian Sun,Microsoft Research Asia,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks.
6,6,Jimei Yang,UC Merced,Honglak Lee,U. Michigan,Weakly-supervised Disentangling with Recurrent Transformations for 3D View Synthesis.
7,7,Mengye Ren,University of Toronto,Richard Zemel,University of Toronto,Exploring Models and Data for Image Question Answering.
8,8,Haoyuan Gao,Baidu,Wei Xu,Baidu,Are You Talking to a Machine? Dataset and Methods for Multilingual Image Question.
9,9,Marijn F Stollenga,IDSIA,Jürgen Schmidhuber,IDSIA,"Parallel Multi-Dimensional LSTM, With Application to Fast Biomedical Volumetric Image Segmentation."
10,10,Özgür Şimşek,Max Plank Institute for Human Development,Marcus Buckmann,Max Planck Institute for Human Development,Learning From Small Samples: An Analysis of Simple Decision Heuristics.
11,11,Xiaozhi Chen,Tsinghua University,Raquel Urtasun,University of Toronto,3D Object Proposals for Accurate Object Class Detection.
12,12,Mingyuan Zhou,University of Texas at Austin,Bo Chen,Xidian University,The Poisson Gamma Belief Network.
13,13,Danilo Bzdok,INRIA,Gael Varoquaux,"Parietal Team, INRIA",Semi-Supervised Factored Logistic Regression for High-Dimensional Neuroimaging Data.
14,14,Matthieu Courbariaux,Université de Montréal,Jean-Pierre David,Polytechnique Montréal,BinaryConnect: Training Deep Neural Networks with binary weights during propagations.
15,15,Edward Grefenstette,Google DeepMind,Phil Blunsom,Google DeepMind,Learning to Transduce with Unbounded Memory.
16,16,Oren Rippel,MIT,Ryan Adams,Harvard,Spectral Representations for Convolutional Neural Networks.
17,17,Mike Shvartsman,Princeton Neuroscience Inst.,Jonathan D Cohen,Princeton University,A Theory of Decision Making Under Dynamic Context.
18,18,Mathias Berglund,Aalto University,Juha T Karhunen,Aalto University,Bidirectional Recurrent Neural Networks as Generative Models.
19,19,Emile Richard,Stanford University,chichilnisky Chichilnisky,Stanford,Recognizing retinal ganglion cells in the dark.
20,20,Junyoung Chung,University of Montreal,Yoshua Bengio,U. Montreal,A Recurrent Latent Variable Model for Sequential Data.
21,21,Chris Piech,Stanford,Jascha Sohl-Dickstein,stanford.edu,Deep Knowledge Tracing.
22,22,Zhe Gan,Duke University,Lawrence Carin,Duke University,Deep Temporal Sigmoid Belief Networks for Sequence Modeling.
23,23,D. Sculley,Google Research,Dan Dennison,"Google, Inc.",Hidden Technical Debt in Machine Learning Systems.
24,24,James R Lloyd,University of Cambridge,Zoubin Ghahramani,University of Cambridge,Statistical Model Criticism using Kernel Two Sample Tests.
25,25,Volodymyr Kuleshov,Stanford University,Percy Liang,Stanford University,Calibrated Structured Prediction.
26,26,Koosha Khalvati,University of Washington,Rajesh PN Rao,University of Washington,A Bayesian Framework for Modeling Confidence in Perceptual Decision Making.
27,27,Scott Linderman,Harvard University,Ryan Adams,Harvard,Dependent Multinomial Models Made Easy: Stick-Breaking with the Polya-gamma Augmentation.
28,28,Mike Hughes,Brown University,Erik Sudderth,Brown University,Scalable Adaptation of State Complexity for Nonparametric Hidden Markov Models.
29,29,Ehsan Adeli-Mosabbeb,UNC-Chapel Hill,Dinggang Shen,UNC-Chapel Hill,Robust Feature-Sample Linear Discriminant Analysis for Brain Disorders Diagnosis.
30,30,Jean-Baptiste SCHIRATTI,Ecole Polytechnique,Stanley DURRLEMAN,INRIA,Learning spatiotemporal trajectories from manifold-valued longitudinal data.
31,31,Minhyung Cho,Gracenote,Jaehyung Lee,Gracenote,Hessian-free Optimization for Learning Deep Multidimensional Recurrent Neural Networks.
32,32,Amir Dezfouli,The University of New South Wales,Edwin Bonilla,University of New South Wales,Scalable Inference for Gaussian Process Models with Black-Box Likelihoods.
33,33,Diederik Kingma,U. Amsterdam,Max Welling,University of Amsterdam,Variational Dropout and the Local Reparameterization Trick.
