,year,first-author,first-author-affiliation,last-author,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url
0,2012,Georg Langs,,Brian Murphy,,MLINI,"Machine Learning and Interpretation in Neuroimaging - International Workshop, MLINI 2011, Held at NIPS 2011, Sierra Nevada, Spain, December 16-17, 2011, Revised Selected and Invited Contributions",4,https://doi.org/10.1007/978-3-642-34713-9,https://dblp.org/rec/conf/nips/2011mlini
1,2011,Trine Julie Abrahamsen,,Lars Kai Hansen,,MLINI,Restoring the Generalizability of SVM Based Decoding in High Dimensional Neuroimage Data.,2,https://doi.org/10.1007/978-3-642-34713-9_32,https://dblp.org/rec/conf/nips/AbrahamsenH11
2,2011,Kasper Winther Andersen,,Morten Mørup,,MLINI,Identification of Functional Clusters in the Striatum Using Infinite Relational Modeling.,5,https://doi.org/10.1007/978-3-642-34713-9_29,https://dblp.org/rec/conf/nips/AndersenMSHM11
3,2011,Ariana E. Anderson,,Mark S. Cohen,,MLINI,Real-Time Functional MRI Classification of Brain States Using Markov-SVM Hybrid Models - Peering Inside the rt-fMRI Black Box.,5,https://doi.org/10.1007/978-3-642-34713-9_31,https://dblp.org/rec/conf/nips/AndersonHDBC11
4,2011,Ali Bahramisharif,,Tom Heskes,,MLINI,The Dynamic Beamformer.,5,https://doi.org/10.1007/978-3-642-34713-9_19,https://dblp.org/rec/conf/nips/BahramisharifGSGH11
5,2011,Felix Bießmann,,Frank C. Meinecke,,MLINI,Non-separable Spatiotemporal Brain Hemodynamics Contain Neural Information.,5,https://doi.org/10.1007/978-3-642-34713-9_18,https://dblp.org/rec/conf/nips/BiessmannMLMM11
6,2011,Michael A. Casey,,Thalia Wheatley,,MLINI,Population Codes Representing Musical Timbre for High-Level fMRI Categorization of Music Genres.,5,https://doi.org/10.1007/978-3-642-34713-9_5,https://dblp.org/rec/conf/nips/CaseyTKRW11
7,2011,Maxime Cauchoix,,Thomas Serre,,MLINI,The Neural Dynamics of Visual Processing in Monkey Extrastriate Cortex - A Comparison between Univariate and Multivariate Techniques.,4,https://doi.org/10.1007/978-3-642-34713-9_21,https://dblp.org/rec/conf/nips/CauchoixAFS11
8,2011,Kai-min Kevin Chang,,Marcel Adam Just,,MLINI,A Latent Feature Analysis of the Neural Representation of Conceptual Knowledge.,3,https://doi.org/10.1007/978-3-642-34713-9_30,https://dblp.org/rec/conf/nips/ChangMJ11
9,2011,George H. Chen,,Polina Golland,,MLINI,Deformation-Invariant Sparse Coding for Modeling Spatial Variability of Functional Patterns in the Brain.,4,https://doi.org/10.1007/978-3-642-34713-9_9,https://dblp.org/rec/conf/nips/ChenFKG11
