,first-author,first-author-affiliation,last-author,last-author-affiliation,title
0,Lingqiao Liu,Univeristy of Adelaide,Chao Wang,University of Wollongong,Encoding High Dimensional Local Features by Sparse Coding Based Fisher Vectors
1,Isabel Valera,UC3M,Zoubin Ghahramani,Uber and University of Cambridge,General Table Completion using a Bayesian Nonparametric Model
2,Dinesh Jayaraman,UC Berkeley,Kristen Grauman,University of Texas at Austin,Zero-shot recognition with unreliable attributes
3,Joseph G Makin,UCSF,Philip N Sabes,UCSF,Sensory Integration and Density Estimation
4,Xavier Boix,ETH Zurich,Luc V Gool,"Computer Vision Lab, ETH Zurich",Self-Adaptable Templates for Feature Coding
5,Changbo Zhu,National University of Singapore,Shuicheng Yan,National University of Singapore,Convex Optimization Procedure for Clustering: Theoretical Revisit
6,Ian En-Hsu Yen,University of Texas at Austin,Inderjit Dhillon,UT Austin & Amazon,Constant Nullspace Strong Convexity and Fast Convergence of Proximal Methods under High-Dimensional Settings
7,Debarghya Ghoshdastidar,University of Tübingen,Ambedkar Dukkipati,Indian Institute of Science,Consistency of Spectral Partitioning of Uniform Hypergraphs under Planted Partition Model
8,Soumyadeep Chatterjee,Quora Inc.,Arindam Banerjee,"University of Minnesota, Twin Cities",Generalized Dantzig Selector: Application to the k-support norm
9,Mohammadhossein Bateni,Google research,Vahab Mirrokni,Google Research NYC,Distributed Balanced Clustering via Mapping Coresets
10,Andrej Karpathy,Tesla,Li Fei-Fei,Stanford University,Deep Fragment Embeddings for Bidirectional Image Sentence Mapping
11,Marijn F Stollenga,TUM,Jürgen Schmidhuber,"Swiss AI Lab, IDSIA (USI & SUPSI) - NNAISENSE",Deep Networks with Internal Selective Attention through Feedback Connections
12,Brendan McMahan,Google,Matthew Streeter,Duolingo,Delay-Tolerant Algorithms for Asynchronous Distributed Online Learning
13,Devansh Arpit,SUNY Buffalo,Venu Govindaraju,SUNY Buffalo,Dimensionality Reduction with Subspace Structure Preservation
