,first-author,first-author-affiliation,last-author,last-author-affiliation,title
0,Moran Baruch,Bar Ilan University,Yoav Goldberg,Bar-Ilan University,A Little Is Enough: Circumventing Defenses For Distributed Learning
1,Shengyuan Hu,Cornell University,Kilian Weinberger,Cornell University / ASAPP Research,A New Defense Against Adversarial Images: Turning a Weakness into a Strength
2,Ali Shafahi,University of Maryland,Tom Goldstein,University of Maryland,Adversarial training for free!
3,Aleksandar Bojchevski,Technical University of Munich,Stephan Günnemann,Technical University of Munich,Certifiable Robustness to Graph Perturbations
4,Rémi Jézéquel,"INRIA, École Normale Supérieure",Alessandro Rudi,"INRIA, Ecole Normale Superieure",Efficient online learning with kernels for adversarial large scale problems
5,Saeed Mahloujifar,University of Virginia,David Evans,University of Virginia,Empirically Measuring Concentration: Fundamental Limits on Intrinsic Robustness
6,Gunjan Verma,ARL,Ananthram Swami,"Army Research Laboratory, Adelphi",Error Correcting Output Codes Improve Probability Estimation and Adversarial Robustness of Deep Neural Networks
7,Tianyu Guo,Peking University,Dacheng Tao,University of Sydney,Learning from Bad Data via Generation
8,Jiezhang Cao,South China University of Technology,Mingkui Tan,South China University of Technology,Multi-marginal Wasserstein GAN
9,Bao Wang,UCLA,Stanley Osher,UCLA,ResNets Ensemble via the Feynman-Kac Formalism to Improve Natural and Robust Accuracies
10,Xiangyi Chen,University of Minnesota,David Cox,MIT-IBM Watson AI Lab,ZO-AdaMM: Zeroth-Order Adaptive Momentum Method for Black-Box Optimization
11,Soumya Basu,University of Texas at Austin,Sanjay Shakkottai,University of Texas at Austin,Blocking Bandits
12,Aadirupa Saha,Indian Institute of Science,Aditya Gopalan,Indian Institute of Science,Combinatorial Bandits with Relative Feedback 
13,David Martínez-Rubio,University of Oxford,Patrick Rebeschini,University of Oxford,Decentralized Cooperative Stochastic Bandits
14,Gi-Soo Kim,Seoul National University,Myunghee Cho Paik,Seoul National University,Doubly-Robust Lasso Bandit
15,Tianyuan Jin,University of Science and Technology of China,Enhong Chen,University of Science and Technology of China,Efficient Pure Exploration in Adaptive Round Model
16,Sivan Sabato,Ben-Gurion University of the Negev,Sivan Sabato,Ben-Gurion University of the Negev,Epsilon-Best-Arm Identification in Pay-Per-Reward Multi-Armed Bandits
17,Tobias Sommer Thune,University of Copenhagen,Yevgeny Seldin,University of Copenhagen,Nonstochastic Multiarmed Bandits with Unrestricted Delays
18,Baekjin Kim,University of Michigan,Ambuj Tewari,University of Michigan,On the Optimality of Perturbations in Stochastic and Adversarial Multi-armed Bandit Problems
19,David Simchi-Levi,MIT,Yunzong Xu,MIT,Phase Transitions and Cyclic Phenomena in Bandits with Switching Constraints
20,Hedi Hadiji,"Laboratoire de Mathematiques d’Orsay, Univ. Paris-Sud,",Hedi Hadiji,"Laboratoire de Mathematiques d’Orsay, Univ. Paris-Sud,",Polynomial Cost of Adaptation for X-Armed Bandits
21,Virag Shah,Stanford University,Jose Blanchet,Stanford University,Semi-Parametric Dynamic Contextual Pricing
22,Marco Bressan,Sapienza University of Rome,Fabio Vitale,University of Lille - INRIA Lille (France),Correlation Clustering with Adaptive Similarity Queries
23,Sanchit Kalhan,Northwestern University,Timothy Zhou,University of Illinois at Urbana–Champaign,Correlation clustering with local objectives
24,Vincent Cohen-Addad,CNRS & Sorbonne Université,Chris Schwiegelshohn,"Sapienza, University of Rome",Fully Dynamic Consistent Facility Location
25,Aditya Bhaskara,University of Utah,Hong Xu,University of Utah,Greedy Sampling for Approximate Clustering in the Presence of Outliers
26,Yair Marom,University of Haifa,Dan Feldman,University of Haifa,k-Means Clustering of Lines for Big Data
27,Sariel Har-Peled,University of Illinois at Urbana-Champaign,Sepideh Mahabadi,Toyota Technological Institute at Chicago,Near Neighbor: Who is the Fairest of Them All?
28,Stefan Meintrup,TU Dortmund,Dennis Rohde,TU Dortmund,Random Projections and Sampling Algorithms for Clustering of High-Dimensional Polygonal Curves
29,Wasim Huleihel,Tel-Aviv University,Soumyabrata Pal,University of Massachusetts Amherst,Same-Cluster Querying for Overlapping Clusters
30,Shin Matsushima,The University of Tokyo,Maria Brbic,Stanford University,Selective Sampling-based Scalable Sparse Subspace Clustering
31,Yiannis Koutis,New Jersey Institute of Technology,Huong Le,NJIT,Spectral Modification of Graphs for Improved Spectral Clustering
32,Amir Abboud,IBM research,Hussein Houdrouge,Ecole Polytechnique,Subquadratic High-Dimensional Hierarchical Clustering
33,Tavor Baharav,Stanford University,David Tse,Stanford University,Ultra Fast Medoid Identification via Correlated Sequential Halving
34,Giovanni Chierchia,ESIEE Paris,Benjamin Perret,ESIEE/PARIS,Ultrametric Fitting by Gradient Descent
35,Wei Wang,EPFL,Mathieu Salzmann,EPFL,Backpropagation-Friendly Eigendecomposition
36,Piotr Indyk,MIT,Yang Yuan,Cornell University,Learning-Based Low-Rank Approximations
37,Chenwei DING,The University of Sydney,Dacheng Tao,University of Sydney,Likelihood-Free Overcomplete ICA and Applications In Causal Discovery
38,Youssef Mroueh,IBM T.J Watson Research Center,Cicero Nogueira dos Santos,Amazon AWS AI,Sobolev Independence Criterion 
39,Zhao Song,University of Washington,Peilin Zhong,Columbia University,Towards a Zero-One Law for Column Subset Selection
40,Song Liu,University of Bristol,Yu Chen,University of Bristol,Fisher Efficient Inference of Intractable Models
41,Paul Rubenstein,MPI for IS,Ilya Tolstikhin,MPI for Intelligent Systems,Practical and Consistent Estimation of f-Divergences
42,Guokun Lai,Carnegie Mellon University,Shinjae Yoo,Brookhaven National Lab,Re-examination of the Role of Latent Variables in Sequence Modeling
43,Arturs Backurs,MIT,Tal Wagner,MIT,Space and Time Efficient Kernel Density Estimation in High Dimensions
44,Antoine Wehenkel,ULiège,Gilles Louppe,University of Liège,Unconstrained Monotonic Neural Networks
45,Ricky T. Q. Chen,U of Toronto,David Duvenaud,University of Toronto,Neural Networks with Cheap Differential Operators
46,Motonobu Kanagawa,EURECOM,Philipp Hennig,University of Tübingen and MPI for Intelligent Systems Tübingen,Convergence Guarantees for Adaptive Bayesian Quadrature Methods
47,Ulysse Marteau-Ferey,DI ENS / INRIA,Alessandro Rudi,"INRIA, Ecole Normale Superieure",Globally Convergent Newton Methods for Ill-conditioned Generalized Self-concordant Losses
48,Jen Ning Lim,University College London,Wittawat Jitkrittum,Max Planck Institute for Intelligent Systems,Kernel Stein Tests for Multiple Model Comparison
49,Sanjeev Arora,Princeton University,Ruosong Wang,Carnegie Mellon University,On Exact Computation with an Infinitely Wide Neural Net
50,Wei Ma,Carnegie Mellon University,George H Chen,Carnegie Mellon University,Missing Not at Random in Matrix Completion: The Effectiveness of Estimating Missingness Probabilities Under a Low Nuclear Norm Assumption
51,Fenglin Liu,Peking University,Xu Sun,Peking University,Aligning Visual Regions and Textual Concepts for Semantic-Grounded Image Representations
52,Denis Mazur,Yandex,Artem Babenko,Yandex,Beyond Vector Spaces: Compact Data Representation as Differentiable Weighted Graphs
53,Jie Hu,Xiamen University,Qi Tian,Huawei Noah’s Ark Lab,Information Competing Process for Learning Diversified Representations
54,Yifan Sun,Carnegie Mellon University,Mengdi Wang,Princeton University,Learning low-dimensional state embeddings and metastable clusters from time series data
55,Mike Gartrell,Criteo AI Lab,Syrine Krichene,Google,Learning Nonsymmetric Determinantal Point Processes
56,Haggai Maron,NVIDIA Research,Yaron Lipman,Weizmann Institute of Science,Provably Powerful Graph Networks
57,SHUAI ZHANG,University of New South Wales,Qi Liu,Facebook AI Research,Quaternion Knowledge Graph Embeddings
58,Zaiqiao Meng,University of Glasgow,Teng Xiao,Sun Yat-sen University,Semi-supervisedly Co-embedding Attributed Networks
59,Arun Jambulapati,Stanford University,Kevin Tian,Stanford University,A Direct tilde{O}(1/epsilon) Iteration Parallel Algorithm for Optimal Transport
60,Alexis Bellot,University of Cambridge / Alan Turing Institute,Mihaela van der Schaar,"University of Cambridge, Alan Turing Institute and UCLA",Conditional Independence Testing using Generative Adversarial Networks
61,Soheil Kolouri,HRL Laboratories LLC,Gustavo Rohde,University of Virginia,Generalized Sliced Wasserstein Distances
62,Pascal Mettes,University of Amsterdam,Cees Snoek,University of Amsterdam,Hyperspherical Prototype Networks
63,Guillaume Charpiat,INRIA,Yuliya Tarabalka,Inria Sophia-Antipolis,Input Similarity from the Neural Network Perspective
64,Nikhil Ghosh,UC Berkeley,Yisong Yue,Caltech,Landmark Ordinal Embedding
65,Nikita Ivkin,Amazon,Raman Arora,Johns Hopkins University,Communication-efficient Distributed SGD with Sketching
66,Arsalan Sharifnassab,Sharif University of Technology,S. Jamaloddin Golestani,Sharif University of Technology,Order Optimal One-Shot Distributed Learning
67,Andrew Ilyas,MIT,Aleksander Madry,MIT,"Adversarial Examples Are Not Bugs, They Are Features"
68,Mark Bun,Boston University,Thomas Steinke,IBM Almaden,Average-Case Averages: Private Algorithms for Smooth Sensitivity and Mean Estimation
69,Ananda Theertha Suresh,Google,Ananda Theertha Suresh,Google,Differentially Private Anonymized Histograms
70,James Jordon,University of Oxford,Mihaela van der Schaar,"University of Cambridge, Alan Turing Institute and UCLA",Differentially Private Bagging: Improved utility and cheaper privacy than subsample-and-aggregate
71,Jonathan Ullman,Northeastern University,Adam Sealfon,UC Berkeley,Efficiently Estimating Erdos-Renyi Graphs with Node Differential Privacy
72,Matthew Joseph,University of Pennsylvania,Steven Wu,University of Minnesota,Locally Private Gaussian Estimation
73,Xiyang Liu,University of Washington,Sewoong Oh,University of Washington,Minimax Optimal Estimation of Approximate Differential Privacy on Neighboring Databases
74,Gautam Kamath,University of Waterloo,Jonathan Ullman,Northeastern University,Differentially Private Algorithms for Learning Mixtures of Separated Gaussians
75,Théo Ryffel,"ENS, CNRS, PSL University, INRIA Paris",Romain Gay,UC Berkeley,Partially Encrypted Deep Learning using Functional Encryption
76,Devin Reich,University of Washington Tacoma,Anderson Nascimento,UW,Privacy-Preserving Classification of Personal Text Messages with Secure Multi-Party Computation
77,Xueying Bai,Stony Brook University,Hongning Wang,University of Virginia,Model-Based Reinforcement Learning with Adversarial Training for Online Recommendation
78,Han Zhu,Alibaba Group,Kun Gai,Alibaba Group,Joint Optimization of Tree-based Index and Deep Model for Recommender Systems
79,Qianqian Xu,"Key Laboratory of Intelligent Information Processing, Institute of Computing Technology, Chinese Academy of Sciences",Yuan Yao,Hong Kong Univ. of Science & Technology,iSplit LBI: Individualized Partial Ranking with Ties via Split LBI
80,Dina Obeid,Harvard University,Cengiz Pehlevan,Harvard University,Structured and Deep Similarity Matching via  Structured and Deep Hebbian Networks
81,Mohamed Akrout,University of Toronto,Douglas Tweed,University of Toronto,Deep Learning without Weight Transport
82,Guruprasad Raghavan,California Institute of Technology,Matt Thomson,California Institute of Technology,Neural networks grown and self-organized by noise
83,Wenrui Zhang,"University of California, Santa Barbara",Peng Li,"University of California, Santa Barbara",Spike-Train Level Backpropagation for Training Deep Recurrent Spiking Neural Networks
84,Hosein Hasani,Sharif University of Technology,Hamid Aghajan,Sharif University of Technology,Surround Modulation: A Bio-inspired Connectivity Structure for Convolutional Neural Networks
85,Maxence Ernoult,Université Paris Sud,Benjamin Scellier,"Mila, University of Montreal",Updates of Equilibrium Prop Match Gradients of Backprop Through Time in an RNN with Static Input
86,Bichuan Guo,Tsinghua University,Jiangtao Wen,Tsinghua University,AGEM: Solving Linear Inverse Problems via Deep Priors and Sampling
87,Gunpil Hwang,KAIST,Hyeon-Min Bae,KAIST,Bat-G net: Bat-inspired High-Resolution 3D Image Reconstruction using Ultrasonic Echoes
88,Weizhe Hua,Cornell University,G. Edward Suh,Cornell University,Channel Gating Neural Networks
89,Hattie Zhou,Uber,Jason Yosinski,Uber AI; Recursion,"Deconstructing Lottery Tickets: Zeros, Signs, and the Supermask"
90,Zhijian Liu,MIT,Song Han,MIT,Point-Voxel CNN for Efficient 3D Deep Learning
91,Zhonghui You,Peking University,Ping Wang,Peking University,Gate Decorator: Global Filter Pruning Method for Accelerating Deep Convolutional Neural Networks
92,Georgios Detorakis,"University of California, Irvine",EON O Neftci,UC Irvine,Inherent Weight Normalization in Stochastic Neural Networks
93,Shangyu Chen,"Nanyang Technological University, Singapore",Sinno Jialin Pan,"Nanyang Technological University, Singapore",MetaQuant: Learning to Quantize by Learning to Penetrate Non-differentiable Quantization
94,Shupeng Gui,University of Rochester,Prof. Ji Liu Liu,Kwai Inc.,Model Compression with Adversarial Robustness: A Unified Optimization Framework
95,Yixing Xu,Huawei Noah's Ark Lab,Chang Xu,University of Sydney,Positive-Unlabeled Compression on the Cloud
96,Maxim Kuznetsov,Insilico Medicine,Alex Zhebrak,Insilico Medicine,A Prior of a Googol Gaussians: a Tensor Ring Induced Prior for Generative Models
97,Dina Bashkirova,Boston University,Kate Saenko,Boston University,Adversarial Self-Defense for Cycle-Consistent GANs
98,Bowen Li,University of Oxford,Philip Torr,University of Oxford,Controllable Text-to-Image Generation
99,Hsin-Ying Lee,"University of California, Merced",Jan Kautz,NVIDIA,Dancing to Music
100,Zelda Mariet,Google AI,Jasper Snoek,Google Brain,DppNet: Approximating Determinantal Point Processes with Deep Networks
101,Nicki Skafte,Technical University of Denmark,Søren Hauberg,Technical University of Denmark,Explicit Disentanglement of Appearance and Perspective in Generative Models
102,Ruho Kondo,"Toyota Central R&D Labs., Inc.",Takuro Kutsuna,Toyota Central R&D Labs. Inc.,Flow-based Image-to-Image Translation with Feature Disentanglement
103,Bingzhe Wu,Peeking University,Jun Zhou,Ant Financial,Generalization in Generative Adversarial Networks: A Novel Perspective from Privacy Protection
104,Tuomas Kynkäänniemi,NVIDIA; Aalto University,Timo Aila,NVIDIA,Improved Precision and Recall Metric for Assessing Generative Models
105,Jaemin Yoo,Seoul National University,U Kang,Seoul National University,Knowledge Extraction with No Observable Data
106,Tingting Qiao,Zhejiang University,Dacheng Tao,University of Sydney,"Learn, Imagine and Create: Text-to-Image Generation from Prior Knowledge"
107,Yikang LI,The Chinese University of Hong Kong; Sensetime,Xiaogang Wang,The Chinese University of Hong Kong,PasteGAN: A Semi-Parametric Method to Generate Image from Scene Graph
108,Yunji Kim,Yonsei University,Seon Joo Kim,Yonsei University / Facebook,Unsupervised Keypoint Learning for Guiding Class-Conditional Video Prediction
109,Difan Zou,"University of California, Los Angeles",Quanquan Gu,UCLA,An Improved Analysis of Training Over-parameterized Deep Neural Networks
110,Matan Atzmon,Weizmann Institute Of Science,Yaron Lipman,Weizmann Institute of Science,Controlling Neural Level Sets
111,Shaojie Bai,Carnegie Mellon University,Vladlen Koltun,Intel Labs,Deep Equilibrium Models
112,Junbang Liang,"University of Maryland, College Park",Vladlen Koltun,Intel Labs,Differentiable Cloth Simulation for Inverse Problems
113,Mahyar Fazlyab,University of Pennsylvania,George Pappas,University of Pennsylvania,Efficient and Accurate Estimation of Lipschitz Constants for Deep Neural Networks
114,Mete Ozay,Independent Researcher (N/A),Mete Ozay,Independent Researcher (N/A),Fine-grained Optimization of Deep Neural Networks
115,Yuan Cao,UCLA,Quanquan Gu,UCLA,Generalization Bounds of Stochastic Gradient Descent for Wide and Deep Neural Networks
116,Lili Su,MIT,Pengkun Yang,Princeton University,On Learning Over-parameterized Neural Networks: A Functional Approximation Perspective
117,Zhuoning Yuan,University of Iowa,Tianbao Yang,The University of Iowa,Stagewise Training Accelerates Convergence of Testing Error Over SGD
118,Yuanzhi Li,Princeton,Tengyu Ma,Stanford University,Towards Explaining the Regularization Effect of Initial Large Learning Rate in Training Neural Networks
119,Dinghuai Zhang,Peking University,Bin Dong,Peking University,You Only Propagate Once: Accelerating Adversarial Training via Maximal Principle
120,Wesley J Maddox,New York University,Andrew Gordon Wilson,New York University,A Simple Baseline for Bayesian Uncertainty in Deep Learning
121,Matthias Minderer,Google Research,Honglak Lee,Google Brain,Unsupervised learning of object structure and dynamics from videos
122,Zeyuan Allen-Zhu,Microsoft Research,Yuanzhi Li,Princeton,Can SGD Learn Recurrent Neural Networks with Provable Generalization?
123,Aya Abdelsalam Ismail,University of Maryland,Soheil Feizi,University of Maryland,Input-Cell Attention Reduces Vanishing Saliency of Recurrent Neural Networks
124,Giancarlo Kerg,MILA,Guillaume Lajoie,Université de Montréal / Mila,Non-normal Recurrent Neural Network (nnRNN): learning long time dependencies while improving expressivity with transient dynamics
125,Niru Maheswaranathan,Google Brain,David Sussillo,Google Inc.,Reverse engineering recurrent networks for sentiment classification reveals line attractor dynamics
126,Biao Zhang,University of Edinburgh,Rico Sennrich,University of Edinburgh,Root Mean Square Layer Normalization
