,affiliation,country
0,"IBM T. J. Watson Research Center, Yorktown Heights, NY",
1,"School of Information and Computer Science, University of California, Irvine",
2," Department of CSA, Indian Institute of Science, INDIA",
3," Department of Computer Science, University of Maryland, College Park, MD",
4," Department of Computer Science, Princeton University, Princeton, NJ",
5," Machine Learning Group, Computer Science Department, Faculty of Sciences, ULB, Université Libre de Bruxelles, Brussels, Belgium",
6,"LIP6, Université Paris 6. 104, Paris, France",
7,"INRIA - WILLOW Project (INRIA/ENS/CNRS UMR 8548), Paris, France and Courant Institute of Mathematical Sciences New York University, NY",
8," LIPADE, Universite Paris Descartes, Paris, FRANCE",
9," Machine Learning Department, Carnegie Mellon University, Pittsburgh, PA",
10," Department of Computer Science, Technion, Haifa, Israel",
11," LAL/LRI, University of Paris-Sud, CNRS, Orsay, France Research Group on Artificial Intelligence of the Hungarian Academy of Sciences and University of Szeged, Szeged, Hungary",
12," Computer Science Division, University of California, Berkeley, CA",
13,"Microsoft Corporation, Bellevue, WA, USA",
14," Electrical Engineering and Computer Science, School of Engineering, University of California, Merced",
15," DSI, Università di Milano, Italy",
16,"University of Milan, Italy",
17," Department of Computer Science, University of Texas, Austin, Texas",
18," Department of Computer Science, University of California, Irvine, CA",
19," Mathematics and Computer Science, Marburg University, Marburg, Germany",
20," University of Wisconsin-Madison, Madison, WI",
21," Google Research, New York, NY",
22,Paris Kanellakis Award,
23," Dept. of Computer Science, K.U. Leuven, Heverlee, Belgium",
24," Human Language Technology Research Institute, University of Texas at Dallas, Richardson, TX",
25," Department of Computer Science & Engineering, University of Washington, Seattle, WA",
26," Mathematics and Computer Science, Marburg University, Marburg, Germany and Institute of Computing Science, Poznań University of Technology, Poznań, Poland",
27," Computer Vision Laboratory, ETH Zurich, Zurich, Switzerland",
28," College of Computing, Georgia Institute of Technology, Atlanta, Georgia",
29," McGill University, School of Computer Science, Montreal, QC, CANADA",
30," Biomathematics and Statistics Scotland, JCMB, Edinburgh, UK and Institute for Adaptive and Neural Computation, School of Informatics, University of Edinburgh",
31," University of Massachusetts Amherst, Amherst, MA",
32," School of Computer Science and Engineering, Hebrew University, Jerusalem, Israel",
33, University of Chicago,United States
34,"LRI, CNRS UMR 8623 & INRIA-Saclay, Orsay, FRANCE",
35," Faculty of IE&M, Technion - Israel Institute of Technology, Haifa, Israel",
36," Microsoft Research Ltd., Cambridge, UK",
37," Courant Institute, New York University, New York, NY",
38," School of Computer Science, Carnegie Mellon University, Pittsburgh, PA",
39," University of Washington, Seattle, WA",
40," Department of Computer Science and Engineering, Indian Institute of Technology, Delhi, India",
41," Carnegie Mellon Univeresity, Pittsburgh, PA",
42,Adobe Research,
43," Stony Brook University, Stony Brook, NY",
44,"Mines ParisTech, Centre for Computational Biology, Fontainebleau, France and Institut Curie, Paris, France and INSERM, U900, Paris, France",
45," Institute of Theoretical Computer Science, ETH Zurich, Zurich, Switzerland",
46," Max Planck Institute for Biological Cybernetics, Tübingen, Germany",
47,"INRIA - WILLOW Project, Laboratoire d'Informatique de l'Ecole Normale Supérieure (INRIA/ENS/CNRS UMR 8548) Paris. France",
48," Arizona State University, Tempe, AZ",
49," Computer Science Department, Stanford University, Stanford, CA",
50," Dept. of Computer Science, University of Texas, Austin, TX",
51," Robotics Institute, Carnegie Mellon University, PA",
52," California Institute of Technology, Computer Science Department",
53," Computer Science & Engineering and Applied Mathematics, University of Washington, Seattle",
54," TU Berlin, Machine Learning and Robotics Group, Berlin, Germany",
55," Department of Scientific Computing, Florida State University, Tallahassee, Florida",
56," INRIA Lille - Nord Europe, Team SequeL, Villeneuve d'Ascq, France",
57," Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China",
58," Department of Computing Science, University of Alberta, AB, Canada",
59,"Stanford University, Computer Science Department",
60," Carnegie Mellon University, Pittsburgh, PA",
61," Department of Electrical Engineering, Columbia University, New York, NY",
62," Shanghai Jiao Tong University, Shanghai, China",
63," IBM T.J. Watson Research Center, Yorktown Heights, NY",
64," Department of Electrical and Computer Engineering, National University of Singapore, Singapore",
65," University of Michigan, Ann Arbor, MI",
66," Google, Mountain View, CA",
67," Department of Computing Science, University of Alberta, Edmonton, Canada",
68," School of Computer Science, The Australian National University, Canberra, Australia",
69," University of Toronto, Ontario, Canada",
70," Department of Electrical and Computer Engineering, Northeastern University, Boston, MA",
71," Statistical Visual Computing Laboratory, University of California, San Diego, La Jolla, CA",
72," NICTA and Australian National University, Canberra, Australia",
73," Department of Computer Science and Engineering, University of California, San Diego, CA",
