,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
0,Max Jaderberg,Male,DeepMind,koray kavukcuoglu,Male,DeepMind,Decoupled Neural Interfaces using Synthetic Gradients
1,Alexander Kolesnikov,Male,IST Austria,Christoph H. Lampert,Male,IST Austria,PixelCNN Models with Auxiliary Variables for Natural Image Modeling
2,Vahab Mirrokni,Male,Google Research,Sam Wong,Male,UC Berkeley,Tight Bounds for Approximate Carathéodory and Beyond
3,Lerrel Pinto,Male,Carnegie Mellon University,Abhinav Gupta,Male,Carnegie Mellon University,Robust Adversarial Reinforcement Learning
4,Yixin Wang,Female,Columbia University,David Blei,Female,Columbia University,Robust Probabilistic Modeling with Bayesian Data Reweighting
5,Robert Busa-Fekete,Male,Yahoo! Research,Shie Mannor,Male,Technion,Multi-objective Bandits: Optimizing the Generalized Gini Index
6,Dan Garber,Male,TTIC,Nati Srebro,Male,Toyota Technological Institute at Chicago,Communication-efficient Algorithms for Distributed Stochastic Principal Component Analysis
7,Salvatore Ruggieri,Male,Università di Pisa,Salvatore Ruggieri,Male,Università di Pisa,Enumerating Distinct Decision Trees
8,Wojciech Czarnecki,Male,DeepMind,koray kavukcuoglu,Male,DeepMind,Understanding Synthetic Gradients and Decoupled Neural Interfaces
9,Scott Reed,Male,Google Deepmind,Nando de Freitas,Male,DeepMind,Parallel Multiscale Autoregressive Density Estimation
10,Yossi Arjevani,Male,Weizmann Institute of Science,Ohad Shamir,Male,Weizmann Institute of Science,Oracle Complexity of Second-Order Methods for Finite-Sum Problems
11,Mohammad Gheshlaghi Azar,Male,Deepmind,Remi Munos,Male,DeepMind,Minimax Regret Bounds for Reinforcement Learning
12,Willie Neiswanger,Male,CMU,Eric Xing,Male,Carnegie Mellon University,Post-Inference Prior Swapping
13,Liran Szlak,Female,Weizmann Institute of Science,Ohad Shamir,Female,Weizmann Institute of Science,Online Learning with Local Permutations and Delayed Feedback
14,Jun-ichiro Hirayama,Male,RIKEN AIP / ATR,Motoaki Kawanabe,Male,ATR / RIKEN,SPLICE: Fully Tractable Hierarchical Extension of ICA with Pooling
15,Yacine Jernite,Male,New York University,David Sontag,Male,Massachusetts Institute of Technology,Simultaneous Learning of Trees and Representations for Extreme Classification and Density Estimation
16,Xu SUN,Male,Peking University,Houfeng Wang,Male,,meProp: Sparsified Back Propagation for Accelerated Deep Learning with Reduced Overfitting
17,Nal Kalchbrenner,Male,DeepMind,koray kavukcuoglu,Male,DeepMind,Video Pixel Networks
18,Cédric Malherbe,Male,ENS Paris-Saclay,Nicolas Vayatis,Male,ENS Cachan,Global optimization of Lipschitz functions
19,Shahin Jabbari,Male,University of Pennsylvania,Aaron Roth,Male,University of Pennsylvania,Fairness in Reinforcement Learning
20,Alp Kucukelbir,Male,Columbia University,David Blei,Male,Columbia University,Evaluating Bayesian Models with Posterior Dispersion Indices
21,Sharan Vaswani,Male,University of British Columbia,Mark Schmidt,Male,University of British Columbia,Model-Independent Online Learning for Influence Maximization
22,Ian Yen,Male,Carnegie Mellon University,Pradeep Ravikumar,Male,Carnegie Mellon University,Latent Feature Lasso
23,Ashish Kumar,Male,Microsoft Research,Manik Varma,Male,Microsoft Research,Resource-efficient Machine Learning in 2 KB RAM for the Internet of Things
24,Avanti Shrikumar,Female,Stanford University,Anshul Kundaje,Male,Stanford University,Learning Important Features Through Propagating Activation Differences
25,Lars Mescheder,Male,MPI Tübingen,Andreas Geiger,Male,MPI Tübingen,Adversarial Variational Bayes: Unifying Variational Autoencoders and Generative Adversarial Networks
26,Yichen Chen,Male,Princeton University,Hao Yin,Male,Stanford University,Strong NP-Hardness for Sparse Optimization with Concave Penalty Functions
27,Samuele Tosatto,Male,Politecnico di Milano,Marcello Restelli,Male,Politecnico di Milano,Boosted Fitted Q-Iteration
28,Isabel Valera,Female,University of Cambridge,Zoubin Ghahramani,Male,University of Cambridge & Uber,Automatic Discovery of the Statistical Types of Variables in a Dataset
29,Masrour Zoghi,Male,Independent Researcher,Zheng Wen,Male,Adobe Research,Online Learning to Rank in Stochastic Click Models
30,Zhehui Chen,Male,Georgia Institute of Technology,Tuo Zhao,Male,Georgia Institute of Technology,Online Partial Least Square Optimization: Dropping Convexity for Better Efficiency and Scalability
31,Teng Zhang,Male,Nanjing University,Zhi-Hua Zhou,Male,Nanjing University,Multi-Class Optimal Margin Distribution Machine
32,Seiya Tokui,Male,Preferred Networks / The University of Tokyo,Issei Sato,Male,University of Tokyo / RIKEN,Evaluating the Variance of Likelihood-Ratio Gradient Estimators
33,Urs M Bergmann,Male,Zalando Research,Roland Vollgraf,Male,Zalando Research,Learning Texture Manifolds with the Periodic Spatial GAN
34,Yi Xu,Male,The University of Iowa,Tianbao Yang,Male,The University of Iowa,Stochastic Convex Optimization: Faster Local Growth Implies Faster Global Convergence
35,Ian Osband,Male,Deepmind,Benjamin Van Roy,Male,Stanford University,Why is Posterior Sampling Better than Optimism for Reinforcement Learning?
36,Andres Masegosa,Male,University of Almeria,Anders Madsen,Male,Hugin Expert A/S,Bayesian Models of Data Streams with Hierarchical Power Priors
