,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
79,Tammo Rukat,Male,University of Oxford,Christopher Yau,Male,University of Birmingham,Bayesian Boolean Matrix Factorisation
80,Daniele Calandriello,Male,INRIA Lille,Michal Valko,Male,Inria Lille - Nord Europe,Second-Order Kernel Online Convex Optimization with Adaptive Sketching
81,Sebastian Mair,Male,Leuphana University Lüneburg,Ulf Brefeld,Male,Leuphana University,Frame-based Data Factorizations
82,Liang Zhao,Male,The City University of New York,Bo Yuan,Male,"City College of New York, CUNY",Theoretical Properties for Neural Networks with Weight Matrices of Low Displacement Rank
83,Pang Wei Koh,Male,Stanford University,Percy Liang,Male,Stanford University,Understanding Black-box Predictions via Influence Functions
84,Mingsheng Long,Male,Tsinghua University,Michael Jordan,Male,UC Berkeley,Deep Transfer Learning with Joint Adaptation Networks
85,Shengjia Zhao,Male,Stanford University,Stefano Ermon,Male,Stanford University,Learning Hierarchical Features from Deep Generative Models
86,Mingyi Hong,Male,Iowa State University,Ming-Min Zhao,Male,Zhejiang University,Prox-PDA: The Proximal Primal-Dual Algorithm for Fast Distributed Nonconvex Optimization and Learning Over Networks
87,Deepak Pathak,Male,UC Berkeley,Prof. Darrell,Male,University of California at Berkeley,Curiosity-driven Exploration by Self-supervised Prediction
88,Stephen Bach,Male,Stanford University,Christopher Re,Male,Stanford,Learning the Structure of Generative Models without Labeled Data
89,Bangrui Chen,Male,Cornell University,Peter I Frazier,Male,Cornell University,Dueling Bandits with Weak Regret
90,Yeshwanth Cherapanamjeri,Male,Microsoft Research,Kartik Gupta,Male,Microsoft Research,Nearly Optimal Robust Matrix Completion
91,Alon Brutzkus,Male,Tel Aviv University,Amir Globerson,Male,Tel Aviv University,Globally Optimal Gradient Descent for a ConvNet with Gaussian Inputs
92,Chenzi Zhang,Female,HKU,Hubert Chan,Male,University of Hong Kong,Re-revisiting Learning on Hypergraphs: Confidence Interval and Subgradient Method
93,Tsendsuren Munkhdalai,Male,University of Massachusetts,Hong Yu,Male,University of Massachusetts,Meta Networks
94,Rui Shu,Male,Stanford University,Mohammad Ghavamzadeh,Male,Adobe Research & INRIA,Bottleneck Conditional Density Estimation
95,Jialei Wang,Male,University of Chicago,Lin Xiao,Male,Microsoft Research,Exploiting Strong Convexity from Data with Primal-Dual First-Order Algorithms
96,James MacGlashan,Male,Cogitai,Michael L. Littman,Male,Brown University,Interactive Learning from Policy-Dependent Human Feedback
97,Eugene Belilovsky,Male,CentraleSupelec,Matthew B Blaschko,Male,KU Leuven,Learning to Discover Sparse Graphical Models
98,Claudio Gentile,Male,Universita dell'Insubria,Evans Etrue Howard,Male,University of Insubria,On Context-Dependent Clustering of Bandits
