,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
119,Weiyang Liu,Male,Georgia Tech,Le Song,Male,Georgia Institute of Technology,Iterative Machine Teaching
120,Corinna Cortes,Female,Google Research,Scott Yang,Male,Courant Institute,AdaNet: Adaptive Structural Learning of Artificial Neural Networks
121,Tom Goldstein,Male,University of Maryland,Christoph Studer,Male,Cornell University,Convex Phase Retrieval without Lifting via PhaseMax
122,Irina Higgins,Female,DeepMind,Alexander Lerchner,Male,DeepMind,DARLA: Improving Zero-Shot Transfer in Reinforcement Learning
123,Arthur Choi,Male,UCLA,Adnan Darwiche,Male,UCLA,On Relaxing Determinism in Arithmetic Circuits
124,Jiecao (Jack) Chen,Male,Indiana University Bloomington,Yuan Zhou,Male,Indiana University Bloomington,Adaptive Multiple-Arm Identification
125,Masaaki Imaizumi,Male,Institute of Statistical Mathematics,Kohei Hayashi,Male,AIST / RIKEN,Tensor Decomposition with Smoothness
126,Alex Graves,Male,DeepMind,koray kavukcuoglu,Male,DeepMind,Automated Curriculum Learning for Neural Networks
127,Pranav Shyam,Male,R. V. College of Engineering & Indian Institute of Science,Ambedkar Dukkipati,Male,Indian Institute of Science,Attentive Recurrent Comparators
128,Colin Dawson,Male,Oberlin College,Clayton T. Morrison,Male,University of Arizona,An Infinite Hidden Markov Model With Similarity-Biased Transitions
129,Shali Jiang,Male,Washington University in St. Louis,Roman Garnett,Male,Washington University in St. Louis,Efficient Nonmyopic Active Search
130,Kuniaki Saito,Male,The University of Tokyo,Tatsuya Harada,Male,The Univ. of Tokyo / RIKEN,Asymmetric Tri-training for Unsupervised Domain Adaptation
131,Hao Hu,Male,University of Central Florida,Guo-Jun Qi,Male,University of Central Florida,State-Frequency Memory Recurrent Neural Networks
132,Zi Wang,Male,MIT,Pushmeet Kohli,Male,Microsoft Research,Batched High-dimensional Bayesian Optimization via Structural Kernel Learning
133,John Lipor,Male,University of Michigan,Laura Balzano,Female,University of Michigan,Leveraging Union of Subspace Structure to Improve Constrained Clustering
134,PENGFEI WEI,Male,"Nanyang Technological University, Singapore",CHI GOH,Male,AI2 Labs,Source-Target Similarity Modelings for Multi-Source Transfer Gaussian Process Regression
135,Daniel Neil,Male,Institute of Neuroinformatics,Shih-Chii Liu,Male,Institute of Neuroinformatics,Delta Networks for Optimized Recurrent Network Computation
136,Geng Ji,Male,Brown University,Erik Sudderth,Male,"University of California, Irvine",From Patches to Images: A Nonparametric Generative Model
137,Kamalika Chaudhuri,Female,University of California at San Diego,Nagarajan Natarajan,Male,Microsoft Research,Active Heteroscedastic Regression
138,Anastasia Pentina,Female,IST Austria,Christoph H. Lampert,Male,IST Austria,Multi-task Learning with Labeled and Unlabeled Tasks
