,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
239,Francois-Xavier Briol,Male,University of Warwick,Mark Girolami,Male,Imperial College London,On the Sampling Problem for Kernel Quadrature
240,Moein Falahatgar,Male,UCSD,Ananda Theertha Suresh,Male,Google Research,Maximum Selection and Ranking under Noisy Comparisons
241,Eunho Yang,Male,KAIST / AItrics,Aurelie Lozano,Female,IBM,Sparse + Group-Sparse Dirty Models: Statistical Guarantees without Unreasonable Conditions and a Case for Non-Convexity
242,Tongliang Liu,Male,The University of Sydney,Dacheng Tao,Male,,Algorithmic Stability and Hypothesis Complexity
243,Cinjon Resnick,Male,Google Brain,Mohammad Norouzi,Male,Google,Neural Audio Synthesis of Musical Notes with WaveNet Autoencoders
244,Hongseok Namkoong,Male,Stanford University,John Duchi,Male,Stanford University,Adaptive Sampling Probabilities for Non-Smooth Optimization
245,Kimin Lee,Male,KAIST,Jinwoo Shin,Male,KAIST,Confident Multiple Choice Learning
246,Jackson Gorham,Male,STANFORD,Lester Mackey,Male,Microsoft Research,Measuring Sample Quality with Kernels
247,Soheil Mohajer,Male,University of Minnesota,Adel Elmahdy,Male,University of Minnesota,Active Learning for Top-$K$ Rank Aggregation from Noisy Comparisons
248,Ashish Bora,Male,University of Texas at Austin,Alex Dimakis,Male,UT Austin,Compressed Sensing using Generative Models
249,Krzysztof Dembczynski,Male,Poznan University of Technology,Nagarajan Natarajan,Male,Microsoft Research,Consistency Analysis for Binary Classification Revisited
250,David Krueger,Male,MILA,Simon Lacoste-Julien,Male,University of Montreal,A Closer Look at Memorization in Deep Networks
251,Ruben Villegas,Male,University of Michigan,Honglak Lee,Male,Google / U. Michigan,Learning to Generate Long-term Future via Hierarchical Prediction
252,Jonas Kohler,Male,ETH Zurich,Aurelien Lucchi,Male,ETH,Sub-sampled Cubic Regularization for Non-convex Optimization
253,Gabriele Farina,Female,Carnegie Mellon University,Tuomas Sandholm,Male,Carnegie Mellon University,Regret Minimization in Behaviorally-Constrained Zero-Sum Games
254,Andrew Miller,Male,Harvard,Ryan P. Adams,Male,Google Brain and Princeton University,Variational Boosting: Iteratively Refining Posterior Approximations
255,Dor Levy,Male,Tel Aviv University,Lior Wolf,Male,Facebook AI Research and Tel Aviv University,Learning to Align the Source Code to the Compiled Object Code
256,Weizhong Zhang,Male,Zhejiang University & Tencent AI Lab,Jie Wang,Male,University of Michigan,Scaling Up Sparse Support Vector Machines by Simultaneous Feature and Sample Reduction
257,Ananda Theertha Suresh,Male,Google Research,Brendan McMahan,Male,Google,Distributed Mean Estimation with Limited Communication
258,Sam Ritter,Male,DeepMind,Matthew Botvinick,Male,DeepMind,Cognitive Psychology for Deep Neural Networks: A Shape Bias Case Study
