,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
279,Alex Gaunt,Male,Microsoft,Daniel Tarlow,Male,Google Brain,Differentiable Programs with Neural Libraries
280,Shinya Suzumura,Undefined,Nagoya Institute of Technology,Ichiro Takeuchi,Male,Nagoya Institute of Technology / RIKEN,Selective Inference for Sparse High-Order Interaction Models
281,Rashish Tandon,Male,University of Texas at Austin,Nikos Karampatziakis,Male,Microsoft,Gradient Coding: Avoiding Stragglers in Distributed Learning
282,Chuan Guo,Male,Cornell University,Kilian Weinberger,Male,Cornell University,On Calibration of Modern Neural Networks
283,Manzil Zaheer,Male,Carnegie Mellon University,Alex Smola,Male,Amazon,Latent LSTM Allocation: Joint clustering and non-linear dynamic modeling of sequence data
284,Chi Jin,Male,UC Berkeley,Michael Jordan,Male,UC Berkeley,How to Escape Saddle Points Efficiently
285,Shayegan Omidshafiei,Male,MIT,John L Vian,Male,The Boeing Company,Deep Decentralized Multi-task Multi-Agent Reinforcement Learning under Partial Observability
286,Pengtao Xie,Male,Carnegie Mellon University,Eric Xing,Male,Carnegie Mellon University,Learning Latent Space Models with Angular Constraints
287,Daniel Selsam,Male,Stanford University,David L Dill,Male,Stanford University,Developing Bug-Free Machine Learning Systems With Formal Mathematics
288,Pedram Pad,Male,Ecole Polytechnique Federale de Lausanne (EPFL),Michael Unser,Male,,Dictionary Learning Based on Sparse Distribution Tomography
289,Weihua Hu,Male,The University of Tokyo / RIKEN,Masashi Sugiyama,Male,RIKEN / The University of Tokyo,Learning Discrete Representations via Information Maximizing Self-Augmented Training
290,Shusen Wang,Male,UC Berkeley,Michael Mahoney,Male,UC Berkeley,"Sketched Ridge Regression: Optimization Perspective, Statistical Perspective, and Model Averaging"
291,Aditi Raghunathan,Male,Stanford,James Zou,Male,Stanford,Estimating the unseen from multiple populations
292,Michael Kearns,Male,University of Pennsylvania,Steven Wu,Male,UPenn,Meritocratic Fairness for Cross-Population Selection
293,Matus Telgarsky,Male,UIUC,Matus Telgarsky,Male,UIUC,Neural networks and rational functions
294,Brandon Amos,Male,Carnegie Mellon University,Zico Kolter,Male,Carnegie Mellon University,Input Convex Neural Networks
295,Charlotte Laclau,Female,LIG,Vincent Brault,Male,Univ. Grenoble Alpes,Co-clustering through Optimal Transport
296,Brandon Amos,Male,Carnegie Mellon University,Zico Kolter,Male,Carnegie Mellon University,OptNet: Differentiable Optimization as a Layer in Neural Networks
297,Yale Chang,Male,Northeastern University,Jennifer Dy,Female,Northeastern University,Multiple Clustering Views from Multiple Uncertain Experts
298,Moustapha Cisse,Male,Facebook AI Research,Nicolas Usunier,Male,Facebook AI Research,Parseval Networks: Improving Robustness to Adversarial Examples
