,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
319,Ari Pakman,Male,Columbia University,Liam Paninski,Male,Columbia University,Stochastic  Bouncy  Particle Sampler
320,Zi Wang,Male,MIT,Stefanie Jegelka,Female,MIT,Max-value Entropy Search for Efficient Bayesian Optimization
321,Shashanka Ubaru,Male,University of Minnesota,Arya Mazumdar,Male,University of Massachusetts Amherst,Multilabel Classification with Group Testing and Codes
322,Bryan Cai,Male,MIT,Gautam Kamath,Male,MIT,Priv’IT: Private and Sample Efficient Identity Testing
323,Ahmed M. Alaa,Male,UCLA,Mihaela van der Schaar,Male,Oxford University and UCLA,Learning from Clinical Judgments: Semi-Markov-Modulated Marked Hawkes Processes for Risk Prognosis
324,Minsik Cho,Male,IBM Research,Daniel Brand,Male,IBM Research,MEC: Memory-efficient Convolution for Deep Neural Network
325,Lili Mou,Male,Peking University,Zhi Jin,Male,Peking University,Coupling Distributed and Symbolic Execution for Natural Language Queries
326,Kevin Scaman,Male,MSR-INRIA Joint Center,Laurent Massoulié,Male,MSR-INRIA Joint Center,Optimal Algorithms for Smooth and Strongly Convex Distributed Optimization in Networks
327,Yunpeng Pan,Male,Georgia Tech,Byron Boots,Male,Georgia Tech,Prediction under Uncertainty in Sparse Spectrum Gaussian Processes with Applications to Filtering and Control
328,Manzil Zaheer,Male,Carnegie Mellon University,Alex Smola,Male,Amazon,Canopy --- Fast Sampling with Cover Trees
329,Rodolphe Jenatton,Male,Amazon,Matthias Seeger,Male,Amazon.com,Bayesian Optimization with Tree-structured Dependencies
330,Vidyashankar Sivakumar,Male,University of Minnesota,Arindam Banerjee,Male,University of Minnesota,High-Dimensional Structured Quantile Regression
331,Marko Mitrovic,Male,Yale University,Amin Karbasi,Male,Yale,Differentially Private Submodular Maximization: Data Summarization in Disguise
332,Joseph Futoma,Male,Duke University,Katherine Heller,Female,Duke University,Learning to Detect Sepsis with a Multitask Gaussian Process RNN Classifier
333,Yunhe Wang,Male,Peking University,Dacheng Tao,Male,,Beyond Filters: Compact Feature Map for Portable Deep Model
334,Yuntian Deng,Male,Harvard University,Alexander Rush,Male,Harvard University,Image-to-Markup Generation with Coarse-to-Fine Attention
335,Wenpeng Zhang,Male,Tsinghua University,Tong Zhang,Male,HKUST,Projection-free Distributed Online Learning in Networks
336,Jonas Umlauft,Male,Technical University of Munich,Sandra Hirche,Female,Technical University of Munich,Learning Stable Stochastic Nonlinear Dynamical Systems
337,Jianbo Ye,Male,Penn State University,Jia Li,Male,Penn State University,A Simulated Annealing Based Inexact Oracle for Wasserstein Loss Minimization
338,kirthevasan kandasamy,Male,CMU,Jeff Schneider,Male,CMU/Uber,Multi-fidelity Bayesian Optimisation with Continuous Approximations
