,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
359,Christos Louizos,Male,University of Amsterdam,Max Welling,Male,University of Amsterdam,Multiplicative Normalizing Flows for Variational Bayesian Neural Networks
360,Yishu Miao,Male,University of Oxford,Philip Blunsom,Male,Oxford University and DeepMind,Discovering Discrete Latent Topics with Neural Variational Inference
361,Yatao Bian,Male,ETH Zurich,Sebastian Tschiatschek,Male,ETH,Guarantees for Greedy Maximization of Non-submodular Functions with Applications
362,Junhyuk Oh,Male,University of Michigan,Pushmeet Kohli,Male,Microsoft Research,Zero-Shot Task Generalization with Multi-Task Deep Reinforcement Learning
363,Vu Dinh,Male,Fred Hutchinson Cancer Center,Erick Matsen,Male,Fred Hutchinson Cancer Center,Probabilistic Path Hamiltonian Monte Carlo
364,Massil Achab,Male,Ecole Polytechnique,Jean-François Muzy,Male,Université de Corse,Uncovering Causality from Multivariate Hawkes Integrated Cumulants
365,Lingxiao Wang,Male,University of Virginia,Quanquan Gu,Male,University of Virginia,Robust Gaussian Graphical Model Estimation with Arbitrary Corruption
366,Ben Rubinstein,Male,University​ of Melbourne,Francesco Aldà,Male,Ruhr-Universität Bochum,Pain-Free Random Differential Privacy with Sensitivity Sampling
367,Hongteng Xu,Male,Georgia Institute of Technology,Hongyuan Zha,Male,Georgia Institute of Technology,Learning Hawkes Processes from Short Doubly-Censored Event Sequences
368,Dmitry Molchanov,Male,Skoltech,Dmitry Vetrov,Male,HSE,Variational Dropout Sparsifies Deep Neural Networks
369,Zhiting Hu,Male,Carnegie Mellon University,Eric Xing,Male,Carnegie Mellon University,Toward Controlled Generation of Text
370,Ilija Bogunovic,Male,EPFL,Volkan Cevher,Male,EPFL,Robust Submodular Maximization: A Non-Uniform Partitioning Approach
371,Jakob Foerster,Male,University of Oxford,Shimon Whiteson,Male,University of Oxford,Stabilising Experience Replay for Deep Multi-Agent Reinforcement Learning
372,Yizhe Zhang,Male,Duke university,Lawrence Carin,Male,Duke,Stochastic Gradient Monomial Gamma Sampler
373,Murat Kocaoglu,Male,University of Texas at Austin,Sriram Vishwanath,Male,,Cost-Optimal Learning of Causal Graphs
374,Greg Ongie,Male,University of Michigan,Robert Nowak,Male,University of Wisconsion-Madison,Algebraic Variety Models for High-Rank Matrix Completion
375,Nina Balcan,Female,Carnegie Mellon University,Hongyang Zhang,Male,Carnegie Mellon University,Differentially Private Clustering in High-Dimensional Euclidean Spaces
376,Souhaib Ben Taieb,Male,Monash University,Rob Hyndman,Male,Monash University,Coherent probabilistic forecasts for hierarchical time series
377,Christopher Beckham,Male,MILA,Christopher Pal,Male,MILA,Unimodal Probability Distributions for Deep Ordinal Classification
378,Yizhe Zhang,Male,Duke university,Lawrence Carin,Male,Duke,Adversarial Feature Matching for Text Generation
,,,,,,,
