,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
419,David Belanger,Male,Google Brain,Andrew McCallum,Male,UMass Amherst,End-to-End Learning for Structured Prediction Energy Networks
420,Justin Gilmer,Male,Google Brain,George Dahl,Male,Google Brain,Neural Message Passing for Quantum Chemistry
421,Matt J. Kusner,Male,Alan Turing Institute,Jose Miguel Hernandez-Lobato,Male,University of Cambridge,Grammar Variational Autoencoder
422,Matthew J Staib,Male,MIT,Stefanie Jegelka,Female,MIT,Robust Budget Allocation via Continuous Submodular Functions
423,Irwan Bello,Male,Google Brain,Quoc Le,Male,Google Brain,Neural Optimizer Search using Reinforcement Learning
424,Hao Peng,Male,Purdue University,Alan Qi,Male,Ant Financial,Asynchronous Distributed Variational Gaussian Processes for Regression
425,Andrew Forney,Male,UCLA,Elias Bareinboim,Male,Purdue,Counterfactual Data-Fusion for Online Reinforcement Learners
426,Esteban Real,Male,Google Inc.,Alex Kurakin,Male,Google Brain,Large-Scale Evolution of Image Classifiers
427,Yueming LYU,Male,city university of hong kong,Yueming LYU,Male,city university of hong kong,Spherical Structured Feature Maps for Kernel Approximation
428,Xi-Zhu Wu,Male,Nanjing University,Zhi-Hua Zhou,Male,Nanjing University,A Unified View of Multi-Label Performance Measures
429,Jonathan Tompson,Male,Google Brain,Ken Perlin,Male,New York University,Accelerating Eulerian Fluid Simulation With Convolutional Networks
430,Jonathan Eckstein,Male,Rutgers University,Ai Kagawa,Female,Rutgers Univeristy,Rule-Enhanced Penalized Regression by Column Generation using Rectangular Maximum Agreement
431,Santu Rana,Male,Deakin University,Svetha Venkatesh,Female,Deakin University,High Dimensional Bayesian Optimization with Elastic Gaussian Process
432,Dino Oglic,Male,University of Bonn,Thomas Gaertner,Male,The University of Nottingham,Nyström Method with Kernel K-means++ Samples as Landmarks
433,Vikas Jain,Male,Indian Institute of Technology Kanpur,Piyush Rai,Male,IIT Kanpur,Scalable Generative Models for Multi-label Learning with Missing Labels
,,,,,,,
,,,,,,,
