,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
139,University of California Xuanqing Liu,Male,"University of California, Davis",Cho-Jui Hsieh,Male,"University of California, Davis",Fast Variance Reduction Method with Stochastic Batch Size
140,Adrien Taylor,Male,INRIA/ENS,Laurent Lessard,Male,University of Wisconsin-Madison,Lyapunov Functions for First-Order Methods: Tight Automated Convergence Guarantees
141,Yichong Xu,Male,Carnegie Mellon University,Artur Dubrawski,Male,CMU,Nonparametric Regression with Comparisons: Escaping the Curse of Dimensionality with Ordinal Information
142,Yuanzhi Li,Male,Princeton University,Yoram Singer,Male,Princeton University and Google Brain,The Well-Tempered Lasso
143,Ying WEI,Female,Tencent AI Lab,Qiang Yang,Male,Hong Kong UST,Transfer Learning via Learning to Transfer
144,Elliot Meyerson,Male,UT Austin - Sentient Technologies,Risto Miikkulainen,Male,UT Austin - Sentient Technologies,Pseudo-task Augmentation: From Deep Multitask Learning to Intratask Sharing—and Back
145,Hideaki Imamura,Male,The University of Tokyo,Masashi Sugiyama,Male,RIKEN / The University of Tokyo,Analysis of Minimax Error Rate for Crowdsourcing and Its Application to Worker Clustering Model
146,Lukas Ruff,Male,Hasso Plattner Institute,Marius Kloft,Male,TU Kaiserslautern,Deep One-Class Classification
147,Eduardo Laber,Male,PUC-RIO,Felipe de A. Mello Pereira,Male,PUC-Rio,Binary Partitions with Approximate  Minimum Impurity
148,Ashkan Norouzi-Fard,Male,EPFL,Ola Svensson,Male,EPFL,Beyond 1/2-Approximation for Submodular Maximization on Massive Data Streams
149,Yuling Yao,Male,Columbia University,Andrew Gelman,Male,Columbia University,"Yes, but Did It Work?: Evaluating Variational Inference"
150,Tom Ryder,Male,Newcastle University,Dennis Prangle,Male,Newcastle University,Black-Box Variational Inference for Stochastic Differential Equations
151,Yaqing WANG,Male,Hong Kong University of Science and Technology,Lionel NI,Male,University of Macau,Online Convolutional Sparse Coding with Sample-Dependent Dictionary
152,Xingyuan Pan,Male,University of Utah,Vivek Srikumar,Male,University of Utah,Learning to Speed Up Structured Output Prediction
153,Maryam Aliakbarpour,Male,MIT,MIT Ronitt Rubinfeld,Male,"MIT, TAU",Differentially Private Identity and Equivalence Testing of Discrete Distributions
154,Ibrahim Alabdulmohsin,Male,Saudi Aramco,Ibrahim Alabdulmohsin,Male,Saudi Aramco,Information Theoretic Guarantees for Empirical Risk Minimization with Applications to Model Selection and Large-Scale Optimization
155,ChangYong Oh,Male,University of Amsterdam,Max Welling,Male,University of Amsterdam,BOCK : Bayesian Optimization with Cylindrical Kernels
156,Stefan Falkner,Male,University of Freiburg,Frank Hutter,Male,University of Freiburg,BOHB: Robust and Efficient Hyperparameter Optimization at Scale
157,Yuancheng Zhu,Male,University of Pennsylvania,John Lafferty,Male,Yale University,Distributed Nonparametric Regression under Communication Constraints
158,Ganggang Xu,Male,SUNY-Binghamton University,Guang Cheng,Male,Purdue University,Optimal Tuning for Divide-and-conquer Kernel Ridge Regression with Massive Data
