,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
159,Marine LE MORVAN,Female,Mines Paristech,JP Vert,Male,ENS Paris,WHInter: A Working set algorithm for High-dimensional sparse second order Interaction models
160,Weizhong Zhang,Male,Tencent AI Lab,Tong Zhang,Male,Tecent AI Lab,Safe Element Screening for Submodular Function Minimization
161,Daniel Jiang,Male,Facebook,Han Liu,Male,Northwestern,Feedback-Based Tree Search for Reinforcement Learning
162,Andre Barreto,Male,DeepMind,Remi Munos,Male,DeepMind,Transfer in Deep Reinforcement Learning Using Successor Features and Generalised Policy Improvement
163,Ilja Kuzborskij,Male,University of Milan,Christoph H. Lampert,Male,IST Austria,Data-Dependent Stability of Stochastic Gradient Descent
164,Gellért Weisz,Male,DeepMind,Csaba Szepesvari,Male,Deepmind,LeapsAndBounds: A Method for Approximately Optimal Algorithm Configuration
165,Ehsan Kazemi,Male,Yale,Amin Karbasi,Male,Yale,Scalable Deletion-Robust Submodular Maximization: Data Summarization with Privacy and Fairness Constraints
166,Jinghui Chen,Male,University of Virginia,Quanquan Gu,Male,UCLA,Covariate Adjusted Precision Matrix Estimation via Nonconvex Optimization
167,Marco Baity-Jesi,Male,Columbia University,Giulio Biroli,Male,,Comparing Dynamics: Deep Neural Networks versus Glassy Systems
168,Qianxiao Li,Male,"Institute of High Performance Computing, A*STAR, Singapore",IHPC Shuji Hao,Male,"IHPC, A*STAR",An Optimal Control Approach to Deep Learning and Applications to Discrete-Weight Neural Networks
169,Angelos Katharopoulos,Male,Idiap,Francois Fleuret,Male,Idiap research institute,Not All Samples Are Created Equal: Deep Learning with Importance Sampling
170,Lechao Xiao,Male,Google AI,Jeffrey Pennington,Male,Google Brain,"Dynamical Isometry and a Mean Field Theory of CNNs: How to Train 10,000-Layer Vanilla Convolutional Neural Networks"
171,Yinlam Chow,Male,DeepMind,Mohammad Ghavamzadeh,Male,Facebook AI Research,Path Consistency Learning in Tsallis Entropy Regularized MDPs
172,Kavosh Asadi,Male,Brown University,Michael L. Littman,Male,Brown University,Lipschitz Continuity in Model-based Reinforcement Learning
173,Ramina Ghods,Female,Cornell University,Christoph Studer,Male,Cornell University,Linear Spectral Estimators and an Application to Phase Retrieval
174,Mohammad Mehrabi,Male,Sharif University of Technology,MANSOOR I YOUSEFI,Male,Telecom ParisTech,Bounds on the Approximation Power of Feedforward Neural Networks
175,Siddharth Barman,Male,Indian Institute of Science,Suprovat Ghoshal,Male,Indian Institute of Science,Testing Sparsity over Known and Unknown Bases
176,Chris Cremer,Male,University of Toronto,David Duvenaud,Male,University of Toronto,Inference Suboptimality in Variational Autoencoders
177,Mingzhang Yin,Male,University of Texas at Austin,Mingyuan Zhou,Male,University of Texas at Austin,Semi-Implicit Variational Inference
178,Hang Wu,Male,Georgia Institute of Technology,May Wang,Female,Georgia Institute of Technology,Variance Regularized Counterfactual Risk Minimization via Variational Divergence Minimization
