,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
199,Simon Olofsson,Male,Imperial College London,Ruth Misener,Female,Imperial College London,Design of Experiments for Model Discrimination Hybridising Analytical and Data-Driven Approaches
200,Sergey Ivanov,Male,Criteo,Evgeny Burnaev,Male,Skoltech,Anonymous Walk Embeddings
201,Robert Bamler,Male,UC Irvine,Stephan Mandt,Male,UC Irvine,Improving Optimization in Models With Continuous Symmetry Breaking
202,Ciwan Ceylan,Male,RWTH,Michael Gutmann,Male,University of Edinburgh,Conditional Noise-Contrastive Estimation of Unnormalised Models
203,Timothee Lacroix,Male,Facebook,Guillaume Obozinski,Male,Ecole des Ponts - ParisTech,Canonical Tensor Decomposition for Knowledge Base Completion
204,Siyuan Ma,Male,The Ohio State University,Mikhail Belkin,Male,Ohio State University,The Power of Interpolation:  Understanding the Effectiveness of SGD in Modern Over-parametrized Learning
205,Kaiwen Zhou,Male,The Chinese University of Hong Kong,James Cheng,Male,CUHK,A Simple Stochastic Variance Reduced Algorithm with Fast Convergence Rates
206,Hadi Daneshmand,Male,ETH Zurich,Thomas Hofmann,Male,ETH Zurich,Escaping Saddles with Stochastic Gradients
207,Hanlin Tang,Male,University of Rochester,Ji Liu,Male,University of Rochester,$D^2$: Decentralized Training over Decentralized Data
208,Neil Rabinowitz,Male,DeepMind,Matthew Botvinick,Male,DeepMind,Machine Theory of Mind
209,Sam Ritter,Male,DeepMind,Matthew Botvinick,Male,DeepMind,"Been There, Done That: Meta-Learning with Episodic Recall"
210,Bin Gu,Male,University of Pittsburgh,Heng Huang,Male,University of Pittsburgh,Faster Derivative-Free Stochastic Algorithm for Shared Memory Machines
211,Sinong Wang,Male,The Ohio State University,Ness Shroff,Male,The Ohio State University,Coded Sparse Matrix Multiplication
212,Francisco Ruiz,Male,University of Cambridge / Columbia University,David Blei,Male,Columbia University,Augment and Reduce: Stochastic Inference for Large Categorical Distributions
213,Oleg Arenz,Male,TU Darmstadt,Mingjun Zhong,Male,University of Lincoln,Efficient Gradient-Free Variational Inference using Policy Search
214,Alex Alemi,Male,Google,Kevin Murphy,Male,Google Brain,Fixing a Broken ELBO
215,Liqun Chen,Female,Duke University,Lawrence Carin,Male,Duke,Variational Inference and Model Selection with Generalized Evidence Bounds
216,ALEXANDROS GEORGOGIANNIS,Male,TECHNICAL UNIVERSITY OF CRETE,ALEXANDROS GEORGOGIANNIS,Male,TECHNICAL UNIVERSITY OF CRETE,The Generalization Error of Dictionary Learning with Moreau Envelopes
217,Jiashun Jin,Male,Carnegie Mellon University,Shengming Luo,Male,CMU,Network Global Testing by Counting Graphlets
218,Richard Zhang,Male,"University of California, Berkeley",Somayeh Sojoudi,Female,"University of California, Berkeley",Large-Scale Sparse Inverse Covariance Estimation via Thresholding and Max-Det Matrix Completion
