,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
339,Keegan Kang,Male,Singapore University Of Technology And Design,Wei Pin Wong,Male,Singapore University of Technology and Design,Improving Sign Random Projections With Additional Information
340,Ciara Pike-Burke,Female,Lancaster University,Steffen Grünewälder,Male,Lancaster University,"Bandits with Delayed, Aggregated Anonymous Feedback"
341,Zeyuan Allen-Zhu,Male,Microsoft Research AI,Yuanzhi Li,Male,Princeton University,Make the Minority Great Again: First-Order Regret Bound for Contextual Bandits
342,Aditya Grover,Male,Stanford University,Harrison Edwards,Male,OpenAI / University of Edinburgh,Learning Policy Representations in Multiagent Systems
343,Eugenio Bargiacchi,Male,Vrije Universiteit Brussel,Hado van Hasselt,Male,DeepMind,Learning to Coordinate with Coordination Graphs in Repeated Single-Stage Multi-Agent Decision Problems
344,Yiping Lu,Male,Peking University,Bin Dong,Male,Peking University,Beyond Finite Layer Neural Networks: Bridging Deep Architectures and Numerical Differential Equations
345,Bin Dai,Male,Tsinghua University,David Wipf,Male,Microsoft Research,Compressing Neural Networks using the Variational Information Bottelneck
346,Yichen Chen,Male,Princeton University,Mengdi Wang,Male,Princeton University,Scalable Bilinear Pi Learning Using State and Action Features
347,Fabio Pardo,Male,Imperial College London,Petar Kormushev,Male,Imperial College London,Time Limits in Reinforcement Learning
348,Tal Wagner,Male,MIT,Nina Mishra,Male,Amazon,Semi-Supervised Learning on Data Streams via Temporal Label Propagation
349,Cong Ma,Male,Princeton University,Yuxin Chen,Male,Princeton University,Implicit Regularization in Nonconvex Statistical Estimation: Gradient Descent Converges Linearly for Phase Retrieval and Matrix Completion
350,Beilun Wang,Male,University of Virginia,Yanjun Qi,Male,University of Virginia,A Fast and Scalable Joint Estimator for Integrating Additional Knowledge in Learning Multiple Related Sparse Gaussian Graphical Models
351,Sungsoo Ahn,Male,KAIST,Jinwoo Shin,Male,KAIST,Bucket Renormalization for Approximate Inference
352,Takafumi Kajihara,Male,NEC,Kenji Fukumizu,Male,Institute of Statistical Mathematics,Kernel Recursive ABC: Point Estimation with Intractable Likelihood
353,Roberta Raileanu,Female,NYU,Facebook Rob Fergus,Male,"Facebook AI Research, NYU",Modeling Others using Oneself in Multi-Agent Reinforcement Learning
354,Liwen Zhang,Male,University of Chicago,Lek-Heng Lim,Male,University of Chicago,Tropical Geometry of Deep Neural Networks
355,Arnu Pretorius,Male,Stellenbosch University,Herman Kamper,Male,Stellenbosch University,Learning Dynamics of Linear Denoising Autoencoders
356,Jean Feng,Female,University of Washington,Marco Carone,Male,University of Washington,Nonparametric variable importance using an augmented neural network with multi-task learning
357,Matthew Mirman,Male,ETH Zürich,Martin Vechev,Male,ETH Zurich,Training Neural Machines with Trace-Based Supervision
358,Si Liu,Female,Oregon State University,Dan Hendrycks,Male,UC Berkeley,Open Category Detection with PAC Guarantees
