,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
359,Aaditya Ramdas,Male,UC Berkeley,Michael Jordan,Male,UC Berkeley,SAFFRON: an Adaptive Algorithm for Online Control of the False Discovery Rate
360,Muhammad Osama,Male,Uppsala University,Thomas Schön,Male,Uppsala University,Learning Localized Spatio-Temporal Models From Streaming Data
361,Julian Katz-Samuels,Male,University of Michigan,Clay Scott,Male,University of Michigan,Feasible Arm Identification
362,Alan Kuhnle,Male,University of Florida,My T. Thai,Male,University of Florida,"Fast Maximization of Non-Submodular, Monotonic Functions on the Integer Lattice"
363,Aryan Mokhtari,Male,MIT,Amin Karbasi,Male,Yale,Decentralized Submodular Maximization: Bridging Discrete and Continuous Settings
364,Lily Weng,Female,MIT,Inderjit Dhillon,Male,UT Austin & Amazon,Towards Fast Computation of Certified Robustness for ReLU Networks
365,Huidong Liu,Male,Stony Brook University,Samaras Dimitris,Male,Stony Brook University,A Two-Step Computation of the Exact GAN Wasserstein Distance
366,Jeremias Knoblauch,Male,Warwick University,Theo Damoulas,Male,University of Warwick,Spatio-temporal Bayesian On-line Changepoint Detection with Model Selection
367,Mingrui Liu,Male,The University of Iowa,Tianbao Yang,Male,The University of Iowa,Fast Stochastic AUC Maximization with $O(1/n)$-Convergence Rate
368,Volodymyr Kuleshov,Male,Stanford University,Stefano Ermon,Male,Stanford University,Accurate Uncertainties for Deep Learning Using Calibrated Regression
369,Chin-Wei Huang,Male,MILA,Aaron Courville,Male,University of Montreal,Neural Autoregressive Flows
370,Tammo Rukat,Male,University of Oxford,Christopher Yau,Male,University of Birmingham,Probabilistic Boolean Tensor Decomposition
371,Xiao Zhang,Male,University of Virginia,Quanquan Gu,Male,UCLA,A Primal-Dual Analysis of Global Optimality in Nonconvex Low-Rank Matrix Recovery
372,Konstantin Mishchenko,Male,King Abdullah University of Science & Technology (KAUST),Massih-Reza Amini,Male,Univ. Grenoble Alpes,A Delay-tolerant Proximal-Gradient Algorithm for Distributed Learning
373,Nikita Doikov,Male,National Research University Higher School of Economics,Peter Richtarik,Male,"King Abdullah University of Science and Technology (KAUST) - University of Edinburgh, Scotland",Randomized Block Cubic Newton Method
374,Grigory Yaroslavtsev,Male,Indiana University,Adithya Vadapalli,Male,INDIANA UNIVERSITY,Massively Parallel Algorithms and Hardness for Single-Linkage Clustering under $\ell_p$ Distances
375,Xian Wu,Male,Stanford University,Vishnu Natchu,Male,Apple,Local Density Estimation in High Dimensions
376,Mikhail Belkin,Male,Ohio State University,Soumik Mandal,Male,,To Understand Deep Learning We Need to Understand Kernel Learning
377,Dino Oglic,Male,King's College London,Thomas Gaertner,Male,The University of Nottingham,Learning in Reproducing Kernel Kreı̆n Spaces
378,Atsushi Nitanda,Male,The University of Tokyo / RIKEN,Taiji Suzuki,Male,The University of Tokyo / RIKEN,Functional Gradient Boosting based on Residual Network Perception
