,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
399,Philip Thomas,Male,University of Massachusetts Amherst,Emma Brunskill,Female,Stanford University,Decoupling Gradient-Like Learning Rules from Representations
400,Russell Tsuchida,Male,The University of Queensland,Marcus Gallagher,Male,University of Queensland,Invariance of Weight Distributions in Rectified MLPs
401,Sanjeev Arora,Male, Princeton University and Institute for Advanced Study,Yi Zhang,Male,Princeton University,Stronger Generalization Bounds for Deep Nets via a Compression Approach
402,Zengfeng Huang,Male,Fudan University,Zengfeng Huang,Male,Fudan University,Near Optimal Frequent Directions for Sketching Dense and Sparse Matrices
403,Ian Yen,Male,Carnegie Mellon University,Pradeep Ravikumar,Male,Carnegie Mellon University,Loss Decomposition for Fast Learning in Large Output Spaces
404,Michael Natole Jr,Male,University at Albany,Siwei Lyu,Male,"University at Albany, State University of New York",Stochastic Proximal Algorithms for AUC Maximization
405,Arpit Agarwal,Male,University of Pennsylvania,Shivani Agarwal,Male,University of Pennsylvania,Accelerated Spectral Ranking
406,Stefan Depeweg,Male,TU Munich,Steffen Udluft,Male,Siemens AG,Decomposition of Uncertainty in Bayesian Deep Learning for Efficient and Risk-sensitive Learning
407,Emti Khan,Male,RIKEN,Akash Srivastava,Male,"MIT, IBM",Fast and Scalable Bayesian Deep Learning by Weight-Perturbation in Adam
408,Surbhi Goel,Male,University of Texas at Austin,Raghu Meka,Male,UCLA,Learning One Convolutional Layer with Overlapping Patches
409,Randall Balestriero,Male,Rice University,Richard Baraniuk,Male,OpenStax / Rice University,A Spline Theory of Deep Learning
410,Soumya Ghosh,Male,IBM Research,Finale Doshi-Velez,Female,Harvard University,Structured Variational Learning of Bayesian Neural Networks with Horseshoe Priors
411,Jiri Hron,Male,University of Cambridge,Zoubin Ghahramani,Male,University of Cambridge & Uber,Variational Bayesian dropout: pitfalls and fixes
412,Jiezhang Cao,,South China University of Technology,Mingkui Tan,Male,South China University of Technology,Adversarial Learning with Local Coordinate Coding
413,Panos Achlioptas,Male,Stanford,Leonidas Guibas,Male,Stanford University,Learning Representations and Generative Models for 3D Point Clouds
414,Mattias Teye,Male,KTH / EA SEED,Kevin Smith,Male,KTH Royal Institute of Technology,Bayesian Uncertainty Estimation for Batch Normalized Deep Networks
415,Guodong Zhang,Male,University of Toronto,Roger Grosse,Male,University of Toronto and Vector Institute,Noisy Natural Gradient as Variational Inference
416,Maximilian Igl,Male,University of Oxford,Shimon Whiteson,Male,University of Oxford,Deep Variational Reinforcement Learning for POMDPs
417,Ahmed Hefny,Male,Carnegie Mellon University,Geoff Gordon,Male,Carnegie Mellon University,Recurrent Predictive State Policy Networks
418,David Balduzzi,Male,DeepMind,Thore Graepel,Male,DeepMind,The Mechanics of n-Player Differentiable Games
