,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
419,Duhyeon Bang,Male,Yonsei univ.,Hyunjung Shim,Female,Yonsei University,Improved Training of Generative Adversarial Networks Using Representative Features
420,Jonatas Wehrmann,Male,Pontifícia Universidade Catolica do Rio Grande do Sul - PUCRS,Rodrigo Barros,Male,PUCRS,Hierarchical Multi-Label Classification Networks
421,Suraj Srinivas,Male,Idiap,Francois Fleuret,Male,Idiap research institute,Knowledge Transfer with Jacobian Matching
422,Weiyang Liu,Male,Georgia Tech,Le Song,Male,Georgia Institute of Technology,Towards Black-box Iterative Machine Teaching
423,Borja de Balle Pigem,Male,Amazon Research,Yu-Xiang Wang,Male,UC Santa Barbara,Improving the Gaussian Mechanism for Differential Privacy: Analytical Calibration and Optimal Denoising
424,Andrea Tirinzoni,Male,Politecnico di Milano,Marcello Restelli,Male,Politecnico di Milano,Importance Weighted Transfer of Samples in Reinforcement Learning
425,Yonathan Efroni,Male,Technion,Shie Mannor,Male,Technion,Beyond the One-Step Greedy Approach in Reinforcement Learning
426,Mark McLeod,Male,University of Oxford,Michael A Osborne,Male,U Oxford,"Optimization, fast and slow: optimally switching between local and Bayesian optimization"
427,Wenlong Lyu,Male,Fudan University,Xuan Zeng,Female,Fudan University,Batch Bayesian Optimization via Multi-objective Acquisition Ensemble for Automated Analog Circuit Design
428,Qiang Sun,Male,University of Toronto,Tong Zhang,Male,Tecent AI Lab,Graphical Nonconvex Optimization via an Adaptive Convex Relaxation
429,Junjie Ma,Male,Columbia University,Arian Maleki,Male,Columbia,Approximate message passing for amplitude based optimization
430,Lydia T. Liu,Female,University of California Berkeley,University of California Moritz Hardt,Male,"University of California, Berkeley",Delayed Impact of Fair Machine Learning
431,Mehdi S. M. Sajjadi,Male,Max Planck Institute for Intelligent Systems,Bernhard Schölkopf,Male,"MPI for Intelligent Systems Tübingen, Germany",Tempered Adversarial Networks
432,Robin Ru,Male,University of Oxford,Diego Granziol,Male,Oxford,Fast Information-theoretic Bayesian Optimisation
433,Jonathan Scarlett,Male,National University of Singapore,Jonathan Scarlett,Male,National University of Singapore,Tight Regret Bounds for Bayesian Optimization in One Dimension
434,Niki Parmar,Female,Google,Dustin Tran,Male,Google,Image Transformer
435,Lorenz Müller,Male,ETH Zurich and University of Zurich,Giacomo Indiveri,Male,University of Zurich,Kernelized Synaptic Weight Matrices
436,Celestine Mendler-Dünner,Female,IBM Research,Martin Jaggi,Male,EPFL,A Distributed Second-Order Algorithm You Can Trust
437,Michael Cohen,Male,,Orecchia Lorenzo,Male,Boston,On Acceleration with Noise-Corrupted Gradients
438,Netanel Raviv,Male,California Institute of Technology,Itzhak Tamo,Male,Tel-Aviv University,Gradient Coding from Cyclic MDS Codes and Expander Graphs
