,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
439,Haihao Lu,Male,MIT,Vahab Mirrokni,Male,Google Research,Accelerating Greedy Coordinate Descent Methods
440,Boris Sharchilev,Male,Yandex,Maarten de Rijke,Male,University of Amsterdam,Finding Influential Training Samples for Gradient Boosted Decision Trees
441,Ehsan Imani,Male,University of Alberta,Martha White,Female,University of Alberta,Improving Regression Performance with Distributional Losses
442,Tabish Rashid,Male,University of Oxford,Shimon Whiteson,Male,University of Oxford,QMIX: Monotonic Value Function Factorisation for Deep Multi-Agent Reinforcement Learning
443,Jilles Dibangoye,Male,INRIA,Olivier Buffet,Male,INRIA,Learning to Act in Decentralized Partially Observable MDPs
444,Clarice Poon,Female,University of Cambridge,Carola-Bibiane Schönlieb,Female,University of Cambridge,Local Convergence Properties of SAGA/Prox-SVRG and Acceleration
445,Wilson Ye Chen,Male,University of Technology Sydney,Chris J Oates,Male,Newcastle University,Stein Points
446,Ti John,Male,PROWLER.io,James Hensman,Male,PROWLER.io,Large-Scale Cox Process Inference using Variational Fourier Features
447,Zaiyi Chen,Male,University of Science and Technology of China,Tianbao Yang,Male,The University of Iowa,SADAGRAD: Strongly Adaptive Stochastic Gradient Methods
448,Mingyi Hong,Male,University of Minnesota,Jason Lee,Male,University of Southern California,Gradient Primal-Dual Algorithm Converges to Second-Order Stationary Solution for  Nonconvex Distributed Optimization Over Networks
449,Raghu Bollapragada,Male,Northwestern University,Ping Tak Tang,Male,Intel Corporation,A Progressive Batching L-BFGS Method for Machine Learning
450,Xiaojie Jin,Male,National University of Singapore,Shuicheng Yan,Male,Qihoo/360,WSNet: Compact and Efficient Networks Through Weight Sampling
451,Gintare Karolina Dziugaite,Male,University of Cambridge,Daniel Roy,Male,Univ of Toronto | Toronto,Entropy-SGD optimizes the prior of a PAC-Bayes bound: Generalization properties of Entropy-SGD and data-dependent priors
452,Tim Pearce,Male,University of Cambridge / The Alan Turing Institute,Andy Neely,Male,,"High-Quality Prediction Intervals for Deep Learning: A Distribution-Free, Ensembled Approach"
453,Thodoris Lykouris,Male,Cornell University,Sergei Vassilvitskii,Male,Google,Competitive Caching with Machine Learned Advice
454,Matthew Streeter,Male,Google,Matthew Streeter,Male,Google,Approximation Algorithms for Cascading Prediction Models
455,Ilias Zadik,Male,MIT,Vasilis Syrgkanis,Male,Microsoft Research,Orthogonal Machine Learning: Power and Limitations
456,Akihiro Yabe,Male,NEC Corporation,Ken-ichi Kawarabayashi,Male,National Institute of Informatics,Causal Bandits with Propagating Inference
457,Wojciech Czarnecki,Male,DeepMind,Razvan Pascanu,Male,DeepMind,Mix & Match - Agent Curricula for Reinforcement Learning
458,Brendan O'Donoghue,Male,DeepMind,Vlad Mnih,Male,Google Deepmind,The Uncertainty Bellman Equation and Exploration
