,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
479,Manolis Tsakiris,Male,Johns Hopkins University,Rene Vidal,Male,Johns Hopkins University,Theoretical Analysis of Sparse Subspace Clustering with Missing Entries
480,Steve Huntsman,Male,BAE Systems FAST Labs,Steve Huntsman,Male,BAE Systems FAST Labs,Topological mixture estimation
481,Francesco Locatello,Male,MPI - ETH,Martin Jaggi,Male,EPFL,On Matching Pursuit and Coordinate Descent
482,Thomas Kerdreux,Male,INRIA,Alex d'Aspremont,Male,"CNRS, Ecole Normale Superieure",Frank-Wolfe with Subsampling Oracle
483,Yangchen Pan,Male,University of Alberta,Daniel Nikovski,Male,Mitsubishi Electric Research Labs,Reinforcement Learning with Function-Valued Action Spaces for Partial Differential Equation Control
484,Matthew Fellows,Male,University of Oxford,Shimon Whiteson,Male,University of Oxford,Fourier Policy Gradients
485,Fabian Pedregosa,Male,UC Berkeley,Gauthier Gidel,Male,MILA,Adaptive Three Operator Splitting
486,Alp Yurtsever,Male,EPFL,Volkan Cevher,Male,EPFL,A Conditional Gradient Framework for Composite Convex Minimization with Applications to Semidefinite Programming
487,Shaoan Xie,Male,Sun Yat-sen University,Chuan Chen,Male,Sun Yat-sen University,Learning Semantic Representations for Unsupervised Domain Adaptation
488,David Madras,Male,University of Toronto,Richard Zemel,Male,Vector Institute,Learning Adversarially Fair and Transferable Representations
489,Itay Safran,Male,Weizmann Institute of Science,Ohad Shamir,Male,Weizmann Institute of Science,Spurious Local Minima are Common in Two-Layer ReLU Neural Networks
490,Yeonwoo Jeong,Male,Seoul National University,Hyun Oh Song,Male,Seoul National University,Efficient end-to-end learning for quantizable representations
491,Charu Sharma,Male,Indian Institute of Technology Hyderabad,Manu Kaul,Male,IIT Hyderabad,Solving Partial Assignment Problems using Random Clique Complexes
492,Siyuan Qi,Male,UCLA,Song-Chun Zhu,Male,UCLA,Generalized Earley Parser: Bridging Symbolic Grammars and Sequence Data for Future Prediction
493,Koulik Khamaru,Male,University Of California Berkeley,Martin Wainwright,Male,University of California at Berkeley,Convergence guarantees for a class of non-convex and   non-smooth optimization problems
494,XUDONG LI,Male,Princeton Univerisity,Anru Zhang,Male,University of Wisconsin-Madison,Estimation of Markov Chain via Rank-constrained Likelihood
495,Dmitrii Ostrovskii,Male,INRIA,Zaid Harchaoui,Male,University of Washington,Efficient First-Order Algorithms for Adaptive Signal Denoising
496,Pan Xu,Male,"University of California, Los Angeles",Quanquan Gu,Male,UCLA,Continuous and Discrete-time Accelerated Stochastic Mirror Descent for Strongly Convex Functions
497,Adji Bousso Dieng,Male,Columbia University,David Blei,Male,Columbia University,Noisin: Unbiased Regularization for Recurrent Neural Networks
498,Zhengping Che,Male,University of Southern California,Yan Liu,Male,University of Southern California,Hierarchical Deep Generative Models for Multi-Rate Multivariate Time Series
