,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
499,Yingzhen Li,Female,Microsoft Research Cambridge,Stephan Mandt,Male,UC Irvine,Disentangled Sequential Autoencoder
500,Emily Denton,Female,New York University,Rob Fergus,Male,Facebook / NYU,Stochastic Video Generation with a Learned Prior
501,Mohamed Ishmael Belghazi,Male,MILA,Aaron Courville,Male,University of Montreal,Mutual Information Neural Estimation
502,Jake Zhao,Male,NYU / Facebook AI Research,Yann LeCun,Male,New York University,Adversarially Regularized Autoencoders
503,RUIYI (ROY) ZHANG,Male,Duke University,Lawrence Carin,Male,Duke,Policy Optimization as Wasserstein Gradient Flows
504,Junhyuk Oh,Male,University of Michigan,Honglak Lee,Male,Google / U. Michigan,Self-Imitation Learning
505,Andreas Loukas,Male,EPFL,Pierre Vandergheynst,Male,École polytechnique fédérale de Lausanne,Spectrally Approximating Large Graphs with Smaller Graphs
506,Zhenyu Liao,Male,"L2S, CentraleSupelec",Romain Couillet,Male,CentralSupélec,On the Spectrum of Random Features Maps of High Dimensional Data
507,Hongteng Xu,Male,"InfiniaML, Inc.",Hongyuan Zha,Male,Georgia Institute of Technology,Learning Registered Point Processes from Idiosyncratic Observations
508,Aonan Zhang,Male,Columbia University,John Paisley,Male,Columbia University,Deep Bayesian Nonparametric Tracking
509,Sat Chatterjee,Male,Two Sigma Investments,Sat Chatterjee,Male,Two Sigma Investments,Learning and Memorization
510,Maximilian Ilse,Male,University of Amsterdam,Max Welling,Male,University of Amsterdam,Attention-based Deep Multiple Instance Learning
511,Han Bao,Male,The University of Tokyo / RIKEN,Masashi Sugiyama,Male,RIKEN / The University of Tokyo,Classification from Pairwise Similarity and Unlabeled Data
512,Yizhen Wang,Male,UCSD,Kamalika Chaudhuri,Female,University of California at San Diego,Analyzing the Robustness of Nearest Neighbors to Adversarial Examples
513,Poorya Mianjy,Male,Johns Hopkins University,Rene Vidal,Male,Johns Hopkins University,On the Implicit Bias of Dropout
514,Qingyun Sun,Male,Stanford University,stephen boyd,Male,stanford university,Convolutional Imputation of Matrix Networks
515,Zachary Lipton,Male,Carnegie Mellon University,Alexander Smola,Male,Amazon,Detecting and Correcting for Label Shift with Black Box Predictors
516,Pengtao Xie,Male,Carnegie Mellon University,Eric Xing,Male,Petuum Inc. and CMU,Orthogonality-Promoting Distance Metric Learning: Convex Relaxation and Theoretical Analysis
517,Siavash Haghiri,Male,University of Tübingen,Ulrike von Luxburg,Male,University of Tübingen,Comparison-Based Random Forests
518,Robin Vogel,Male,Télécom ParisTech,Stéphan Clémençon,Male,Télécom ParisTech,A Probabilistic Theory of Supervised Similarity Learning for Pointwise ROC Curve Optimization
